event_feed_targeted_events_tables
1
unknown0	unknown1	unknown2	unknown3	unknown4	unknown5	unknown6	unknown7
agent_action_vs_army_with_immortal_general	event_agent_activity_neutral.png	True	event_feed_none	True	wh_event_feed_string_agent_action_all_primary_detail	event_feed_target_agent_faction	event_feed_target_criteria_result_and_agent
agent_action_vs_army_with_immortal_general	event_agent_activity_negative.png	True	event_feed_none	True	wh_event_feed_string_agent_action_all_primary_detail	event_feed_target_target_faction	event_feed_target_criteria_result_and_agent
agent_action_vs_army	event_agent_activity_neutral.png	True	event_feed_none	True	wh_event_feed_string_agent_action_all_primary_detail	event_feed_target_agent_faction	event_feed_target_criteria_result_and_agent
agent_action_vs_army	event_agent_activity_negative.png	True	event_feed_none	True	wh_event_feed_string_agent_action_all_primary_detail	event_feed_target_target_faction	event_feed_target_criteria_result_and_agent
agent_action_vs_character	event_agent_activity_neutral.png	True	event_feed_none	True	wh_event_feed_string_agent_action_all_primary_detail	event_feed_target_agent_faction	event_feed_target_criteria_result_and_agent
agent_action_vs_character	event_agent_activity_negative.png	True	event_feed_none	True	wh_event_feed_string_agent_action_all_primary_detail	event_feed_target_target_faction	event_feed_target_criteria_result_and_agent
agent_action_vs_immortal_character	event_agent_activity_neutral.png	True	event_feed_none	True	wh_event_feed_string_agent_action_all_primary_detail	event_feed_target_agent_faction	event_feed_target_criteria_result_and_agent
agent_action_vs_immortal_character	event_agent_activity_negative.png	True	event_feed_none	True	wh_event_feed_string_agent_action_all_primary_detail	event_feed_target_target_faction	event_feed_target_criteria_result_and_agent
agent_action_vs_settlement	event_agent_activity_neutral.png	True	event_feed_location_target	True	wh_event_feed_string_agent_action_all_primary_detail	event_feed_target_agent_faction	event_feed_target_criteria_result_and_agent
agent_action_vs_settlement	event_agent_activity_negative.png	True	event_feed_location_target	True	wh_event_feed_string_agent_action_all_primary_detail	event_feed_target_target_faction	event_feed_target_criteria_result_and_agent
agent_recruited	event_agent_activity_positive.png	False	event_feed_context_location_agent	True	wh_event_feed_string_agent_recruited_primary_detail	event_feed_target_agent_faction	event_feed_none
character_ancillary_gained	event_char_activity_positive.png	True	event_feed_none	True	wh_event_feed_string_character_ancillary_all_primary_detail	event_feed_target_character_faction	event_feed_none
character_ancillary_lost_stolen	event_char_activity_negative.png	True	event_feed_none	True	wh_event_feed_string_character_ancillary_all_primary_detail	event_feed_target_character_faction	event_feed_none
