faction_agent_permitted_subtypes_tables
0
unknown0	unknown1	unknown2
champion	wh2_main_brt_knights_of_origo	brt_paladin
colonel	wh2_main_brt_knights_of_origo	brt_lord
dignitary	wh2_main_brt_knights_of_origo	default
engineer	wh2_main_brt_knights_of_origo	default
general	wh2_main_brt_knights_of_origo	brt_lord
minister	wh2_main_brt_knights_of_origo	default
runesmith	wh2_main_brt_knights_of_origo	default
spy	wh2_main_brt_knights_of_origo	default
wizard	wh2_main_brt_knights_of_origo	brt_damsel
champion	wh2_main_brt_knights_of_the_flame	brt_paladin
colonel	wh2_main_brt_knights_of_the_flame	brt_lord
dignitary	wh2_main_brt_knights_of_the_flame	default
engineer	wh2_main_brt_knights_of_the_flame	default
general	wh2_main_brt_knights_of_the_flame	brt_lord
minister	wh2_main_brt_knights_of_the_flame	default
runesmith	wh2_main_brt_knights_of_the_flame	default
spy	wh2_main_brt_knights_of_the_flame	default
wizard	wh2_main_brt_knights_of_the_flame	brt_damsel
champion	wh2_main_brt_thegans_crusaders	brt_paladin
colonel	wh2_main_brt_thegans_crusaders	brt_lord
dignitary	wh2_main_brt_thegans_crusaders	default
engineer	wh2_main_brt_thegans_crusaders	default
general	wh2_main_brt_thegans_crusaders	brt_lord
minister	wh2_main_brt_thegans_crusaders	default
runesmith	wh2_main_brt_thegans_crusaders	default
spy	wh2_main_brt_thegans_crusaders	default
wizard	wh2_main_brt_thegans_crusaders	brt_damsel
champion	wh2_main_bst_blooded_axe_brayherd	dlc03_bst_gorebull
colonel	wh2_main_bst_blooded_axe_brayherd	dlc03_bst_beastlord
dignitary	wh2_main_bst_blooded_axe_brayherd	default
engineer	wh2_main_bst_blooded_axe_brayherd	default
general	wh2_main_bst_blooded_axe_brayherd	dlc03_bst_beastlord
minister	wh2_main_bst_blooded_axe_brayherd	default
runesmith	wh2_main_bst_blooded_axe_brayherd	default
spy	wh2_main_bst_blooded_axe_brayherd	default
wizard	wh2_main_bst_blooded_axe_brayherd	dlc03_bst_bray_shaman_beasts
wizard	wh2_main_bst_blooded_axe_brayherd	dlc03_bst_bray_shaman_death
wizard	wh2_main_bst_blooded_axe_brayherd	dlc03_bst_bray_shaman_shadows
wizard	wh2_main_bst_blooded_axe_brayherd	dlc03_bst_bray_shaman_wild
champion	wh2_main_bst_blooded_axe	dlc03_bst_gorebull
colonel	wh2_main_bst_blooded_axe	dlc03_bst_beastlord
dignitary	wh2_main_bst_blooded_axe	default
engineer	wh2_main_bst_blooded_axe	default
general	wh2_main_bst_blooded_axe	dlc03_bst_beastlord
minister	wh2_main_bst_blooded_axe	default
runesmith	wh2_main_bst_blooded_axe	default
spy	wh2_main_bst_blooded_axe	default
wizard	wh2_main_bst_blooded_axe	dlc03_bst_bray_shaman_beasts
wizard	wh2_main_bst_blooded_axe	dlc03_bst_bray_shaman_death
wizard	wh2_main_bst_blooded_axe	dlc03_bst_bray_shaman_shadows
wizard	wh2_main_bst_blooded_axe	dlc03_bst_bray_shaman_wild
champion	wh2_main_bst_manblight_brayherd	dlc03_bst_gorebull
colonel	wh2_main_bst_manblight_brayherd	dlc03_bst_beastlord
dignitary	wh2_main_bst_manblight_brayherd	default
engineer	wh2_main_bst_manblight_brayherd	default
general	wh2_main_bst_manblight_brayherd	dlc03_bst_beastlord
minister	wh2_main_bst_manblight_brayherd	default
runesmith	wh2_main_bst_manblight_brayherd	default
spy	wh2_main_bst_manblight_brayherd	default
wizard	wh2_main_bst_manblight_brayherd	dlc03_bst_bray_shaman_beasts
wizard	wh2_main_bst_manblight_brayherd	dlc03_bst_bray_shaman_death
wizard	wh2_main_bst_manblight_brayherd	dlc03_bst_bray_shaman_shadows
wizard	wh2_main_bst_manblight_brayherd	dlc03_bst_bray_shaman_wild
champion	wh2_main_bst_manblight	dlc03_bst_gorebull
colonel	wh2_main_bst_manblight	dlc03_bst_beastlord
dignitary	wh2_main_bst_manblight	default
engineer	wh2_main_bst_manblight	default
general	wh2_main_bst_manblight	dlc03_bst_beastlord
minister	wh2_main_bst_manblight	default
runesmith	wh2_main_bst_manblight	default
spy	wh2_main_bst_manblight	default
wizard	wh2_main_bst_manblight	dlc03_bst_bray_shaman_beasts
wizard	wh2_main_bst_manblight	dlc03_bst_bray_shaman_death
wizard	wh2_main_bst_manblight	dlc03_bst_bray_shaman_shadows
wizard	wh2_main_bst_manblight	dlc03_bst_bray_shaman_wild
champion	wh2_main_bst_ripper_horn_brayherd	dlc03_bst_gorebull
colonel	wh2_main_bst_ripper_horn_brayherd	dlc03_bst_beastlord
dignitary	wh2_main_bst_ripper_horn_brayherd	default
engineer	wh2_main_bst_ripper_horn_brayherd	default
general	wh2_main_bst_ripper_horn_brayherd	dlc03_bst_beastlord
minister	wh2_main_bst_ripper_horn_brayherd	default
runesmith	wh2_main_bst_ripper_horn_brayherd	default
spy	wh2_main_bst_ripper_horn_brayherd	default
wizard	wh2_main_bst_ripper_horn_brayherd	dlc03_bst_bray_shaman_beasts
wizard	wh2_main_bst_ripper_horn_brayherd	dlc03_bst_bray_shaman_death
wizard	wh2_main_bst_ripper_horn_brayherd	dlc03_bst_bray_shaman_shadows
wizard	wh2_main_bst_ripper_horn_brayherd	dlc03_bst_bray_shaman_wild
champion	wh2_main_bst_ripper_horn	dlc03_bst_gorebull
colonel	wh2_main_bst_ripper_horn	dlc03_bst_beastlord
dignitary	wh2_main_bst_ripper_horn	default
engineer	wh2_main_bst_ripper_horn	default
general	wh2_main_bst_ripper_horn	dlc03_bst_beastlord
minister	wh2_main_bst_ripper_horn	default
runesmith	wh2_main_bst_ripper_horn	default
spy	wh2_main_bst_ripper_horn	default
wizard	wh2_main_bst_ripper_horn	dlc03_bst_bray_shaman_beasts
wizard	wh2_main_bst_ripper_horn	dlc03_bst_bray_shaman_death
wizard	wh2_main_bst_ripper_horn	dlc03_bst_bray_shaman_shadows
wizard	wh2_main_bst_ripper_horn	dlc03_bst_bray_shaman_wild
champion	wh2_main_bst_shadowgor_brayherd	dlc03_bst_gorebull
colonel	wh2_main_bst_shadowgor_brayherd	dlc03_bst_beastlord
dignitary	wh2_main_bst_shadowgor_brayherd	default
engineer	wh2_main_bst_shadowgor_brayherd	default
general	wh2_main_bst_shadowgor_brayherd	dlc03_bst_beastlord
minister	wh2_main_bst_shadowgor_brayherd	default
runesmith	wh2_main_bst_shadowgor_brayherd	default
spy	wh2_main_bst_shadowgor_brayherd	default
wizard	wh2_main_bst_shadowgor_brayherd	dlc03_bst_bray_shaman_beasts
wizard	wh2_main_bst_shadowgor_brayherd	dlc03_bst_bray_shaman_death
wizard	wh2_main_bst_shadowgor_brayherd	dlc03_bst_bray_shaman_shadows
wizard	wh2_main_bst_shadowgor_brayherd	dlc03_bst_bray_shaman_wild
champion	wh2_main_bst_shadowgor	dlc03_bst_gorebull
colonel	wh2_main_bst_shadowgor	dlc03_bst_beastlord
dignitary	wh2_main_bst_shadowgor	default
engineer	wh2_main_bst_shadowgor	default
general	wh2_main_bst_shadowgor	dlc03_bst_beastlord
minister	wh2_main_bst_shadowgor	default
runesmith	wh2_main_bst_shadowgor	default
spy	wh2_main_bst_shadowgor	default
wizard	wh2_main_bst_shadowgor	dlc03_bst_bray_shaman_beasts
wizard	wh2_main_bst_shadowgor	dlc03_bst_bray_shaman_death
wizard	wh2_main_bst_shadowgor	dlc03_bst_bray_shaman_shadows
wizard	wh2_main_bst_shadowgor	dlc03_bst_bray_shaman_wild
champion	wh2_main_bst_skrinderkin_brayherd	dlc03_bst_gorebull
colonel	wh2_main_bst_skrinderkin_brayherd	dlc03_bst_beastlord
dignitary	wh2_main_bst_skrinderkin_brayherd	default
