faction_banners_tables
0
key	primary_blue	primary_green	primary_red	secondary_blue	secondary_green	secondary_red	symbol	tertiary_blue	tertiary_green	tertiary_red
att_fact_blue	220	50	50	170	60	60		200	80	80
att_fact_red	50	50	220	60	60	170		80	80	200
att_fact_yellow	50	220	220	60	170	170		80	200	200
wh2_main_brt_knights_of_origo	0	0	214	251	255	255		0	0	214
wh2_main_brt_knights_of_the_flame	231	253	255	0	0	188		231	253	255
wh2_main_brt_thegans_crusaders	189	129	79	231	253	255		189	129	79
wh2_main_bst_blooded_axe	1	48	91	0	0	192		1	48	91
wh2_main_bst_blooded_axe_brayherd	1	48	91	0	0	192		1	48	91
wh2_main_bst_manblight	0	0	172	217	217	217		0	0	172
wh2_main_bst_manblight_brayherd	0	0	172	217	217	217		0	0	172
wh2_main_bst_ripper_horn	124	99	112	90	124	130		124	99	112
wh2_main_bst_ripper_horn_brayherd	124	99	112	90	124	130		124	99	112
wh2_main_bst_shadowgor	31	59	89	113	113	113		31	59	89
wh2_main_bst_shadowgor_brayherd	31	59	89	113	113	113		31	59	89
wh2_main_bst_skrinderkin	0	135	225	90	124	130		0	135	225
wh2_main_bst_skrinderkin_brayherd	0	135	225	90	124	130		0	135	225
wh2_main_bst_stone_horn	217	217	217	99	71	55		217	217	217
wh2_main_bst_stone_horn_brayherd	217	217	217	99	71	55		217	217	217
wh2_main_chs_chaos_incursion_def	48	38	50	160	48	112		48	38	50
wh2_main_chs_chaos_incursion_hef	51	40	37	243	238	218		51	40	37
wh2_main_chs_chaos_incursion_lzd	42	49	39	121	121	37		42	49	39
wh2_main_chs_chaos_incursion_skv	38	46	50	6	71	151		38	46	50
wh2_main_def_bleak_holds	77	174	149	230	230	234		97	158	179
wh2_main_def_blood_hall_coven	52	53	68	0	0	116		97	158	179
wh2_main_def_clar_karond	0	0	176	43	62	245		38	38	38
wh2_main_def_cult_of_excess	235	0	201	255	201	245		38	38	38
wh2_main_def_cult_of_pleasure	124	70	171	226	217	228		97	158	179
wh2_main_def_cult_of_pleasure_separatists	126	126	126	60	60	60		0	0	0
wh2_main_def_dark_elves	143	62	146	255	241	225		97	158	179
wh2_main_def_dark_elves_intervention	26	91	125	114	1	102		97	158	179
wh2_main_def_dark_elves_qb1	218	204	218	38	38	38		97	158	179
wh2_main_def_dark_elves_qb2	218	204	218	38	38	38		97	158	179
wh2_main_def_dark_elves_qb3	218	204	218	38	38	38		97	158	179
wh2_main_def_dark_elves_qb4	218	204	218	38	38	38		97	158	179
wh2_main_def_dark_elves_rebels	218	204	218	38	38	38		97	158	179
wh2_main_def_deadwood_sentinels	204	213	199	128	128	0		191	191	191
wh2_main_def_drackla_coven	164	117	67	38	38	38		191	191	191
wh2_main_def_ghrond	188	94	89	31	198	237		97	158	179
wh2_main_def_hag_graef	195	95	201	0	0	192		191	191	191
wh2_main_def_har_ganeth	52	52	53	97	158	179		191	191	191
wh2_main_def_karond_kar	128	196	95	128	128	0		97	158	179
wh2_main_def_naggarond	143	62	146	255	241	225		97	158	179
wh2_main_def_naggarond_separatists	104	104	104	36	36	36		0	0	0
wh2_main_def_scourge_of_khaine	0	121	255	38	38	38		97	158	179
wh2_main_def_ssildra_tor	0	0	231	0	0	116		191	191	191
wh2_main_def_the_forgebound	203	89	152	97	158	179		97	158	179
wh2_main_dwf_greybeards_prospectors	217	217	217	38	38	38		2	186	244
wh2_main_dwf_karak_zorn	0	0	170	223	229	237		172	176	55
wh2_main_dwf_spine_of_sotek_dwarfs	156	100	60	151	189	196		59	104	59
wh2_main_emp_new_world_colonies	0	0	214	68	209	253		251	255	255
wh2_main_emp_pirates_of_sartosa	54	39	16	251	255	255		54	39	16
wh2_main_emp_sudenburg	0	0	188	231	253	255		71	51	21
wh2_main_grn_arachnos	82	120	75	0	234	240		0	0	0
wh2_main_grn_arachnos_waaagh	82	120	75	0	234	240		0	0	0
wh2_main_grn_blue_vipers	126	188	194	255	177	1		0	0	0
wh2_main_grn_blue_vipers_waaagh	126	188	194	255	177	1		0	0	0
wh2_main_hef_avelorn	150	224	116	0	0	255		150	224	116
wh2_main_hef_caledor	35	39	219	80	208	146		35	39	219
wh2_main_hef_chrace	35	39	219	242	242	242		35	39	219
wh2_main_hef_citadel_of_dusk	225	141	159	19	98	203		38	38	38
wh2_main_hef_cothique	104	111	53	2	168	220		244	232	144
wh2_main_hef_eataine	242	242	242	190	110	30		0	0	195
wh2_main_hef_ellyrion	213	159	205	242	242	242		230	0	186
wh2_main_hef_fortress_of_dawn	232	222	183	10	147	240		38	38	38
wh2_main_hef_high_elves	242	242	242	190	110	30		0	0	195
wh2_main_hef_high_elves_intervention	242	242	242	12	12	12		38	57	205
wh2_main_hef_high_elves_qb1	235	152	96	11	197	255		213	141	83
wh2_main_hef_high_elves_qb2	235	152	96	11	197	255		213	141	83
wh2_main_hef_high_elves_qb3	235	152	96	11	197	255		213	141	83
wh2_main_hef_high_elves_qb4	235	152	96	11	197	255		213	141	83
wh2_main_hef_high_elves_rebels	235	152	96	11	197	255		213	141	83
wh2_main_hef_nagarythe	0	51	51	155	255	255		29	52	189
wh2_main_hef_order_of_loremasters	38	57	205	68	209	253		231	94	45
wh2_main_hef_saphery	113	61	24	242	237	230		113	61	24
wh2_main_hef_tiranoc	242	242	242	68	209	253		70	172	138
wh2_main_hef_tor_elasor	108	245	252	64	64	64		108	245	252
wh2_main_hef_yvresse	213	141	83	242	242	242		213	141	83
wh2_main_lzd_hexoatl	9	53	195	9	192	255		88	143	61
wh2_main_lzd_itza	242	242	242	68	209	253		38	38	38
wh2_main_lzd_last_defenders	175	71	1	242	242	242		220	205	146
wh2_main_lzd_lizardmen	9	53	195	0	192	255		88	143	61
wh2_main_lzd_lizardmen_intervention	43	202	233	6	58	218		88	143	61
wh2_main_lzd_lizardmen_qb1	170	204	76	173	3	72		88	143	61
wh2_main_lzd_lizardmen_qb2	170	204	76	173	3	72		88	143	61
wh2_main_lzd_lizardmen_qb3	170	204	76	173	3	72		88	143	61
wh2_main_lzd_lizardmen_qb4	170	204	76	173	3	72		88	143	61
wh2_main_lzd_lizardmen_rebels	170	204	76	173	3	72		88	143	61
wh2_main_lzd_sentinels_of_xeti	204	76	122	242	242	242		0	192	255
wh2_main_lzd_southern_sentinels	88	143	61	9	53	195		0	192	255
wh2_main_lzd_teotiqua	240	176	0	242	242	242		9	53	195
wh2_main_lzd_tlaqua	10	107	226	9	53	195		242	242	242
wh2_main_lzd_tlaxtlan	92	54	22	242	242	242		153	255	255
wh2_main_lzd_xlanhuapec	220	205	146	128	128	128		242	242	242
wh2_main_lzd_zlatan	0	192	255	175	71	1		10	107	226
wh2_main_nor_aghol	8	92	176	217	217	217		8	92	176
wh2_main_nor_hung_incursion_def	114	91	119	106	32	74		114	91	119
wh2_main_nor_hung_incursion_hef	127	99	91	117	73	37		127	99	91
wh2_main_nor_hung_incursion_lzd	102	119	95	89	90	27		102	119	95
wh2_main_nor_hung_incursion_skv	113	136	147	5	63	133		113	136	147
wh2_main_nor_mung	40	98	79	217	217	217		40	98	79
wh2_main_nor_skeggi	0	165	204	117	73	37		0	165	204
wh2_main_rogue_abominations	38	38	38	221	221	221		0	0	128
wh2_main_rogue_beastcatchas	38	38	38	221	221	221		0	0	128
wh2_main_rogue_bernhoffs_brigands	38	38	38	221	221	221		0	0	128
wh2_main_rogue_black_spider_tribe	38	38	38	221	221	221		0	0	128
wh2_main_rogue_boneclubbers_tribe	38	38	38	221	221	221		0	0	128
wh2_main_rogue_celestial_storm	38	38	38	221	221	221		0	0	128
wh2_main_rogue_college_of_pyrotechnics	38	38	38	221	221	221		0	0	128
wh2_main_rogue_def_chs_vashnaar	38	38	38	221	221	221		0	0	128
wh2_main_rogue_def_mengils_manflayers	38	38	38	221	221	221		0	0	128
wh2_main_rogue_doomseekers	38	38	38	221	221	221		0	0	128
wh2_main_rogue_gerhardts_mercenaries	38	38	38	221	221	221		0	0	128
wh2_main_rogue_hef_tor_elithis	38	38	38	221	221	221		0	0	128
wh2_main_rogue_hung_warband	38	38	38	221	221	221		0	0	128
wh2_main_rogue_jerrods_errantry	38	38	38	221	221	221		0	0	128
wh2_main_rogue_mangy_houndz	38	38	38	221	221	221		0	0	128
wh2_main_rogue_morrsliebs_howlers	38	38	38	221	221	221		0	0	128
wh2_main_rogue_pirates_of_the_far_sea	38	38	38	221	221	221		0	0	128
wh2_main_rogue_pirates_of_the_southern_ocean	38	38	38	221	221	221		0	0	128
wh2_main_rogue_pirates_of_trantio	38	38	38	221	221	221		0	0	128
wh2_main_rogue_scions_of_tesseninck	38	38	38	221	221	221		0	0	128
wh2_main_rogue_scourge_of_aquitaine	38	38	38	221	221	221		0	0	128
wh2_main_rogue_stuff_snatchers	38	38	38	221	221	221		0	0	128
wh2_main_rogue_teef_snatchaz	38	38	38	221	221	221		0	0	128
wh2_main_rogue_the_wandering_dead	38	38	38	221	221	221		0	0	128
wh2_main_rogue_troll_skullz	38	38	38	221	221	221		0	0	128
wh2_main_rogue_vauls_expedition	38	38	38	221	221	221		0	0	128
wh2_main_rogue_vmp_heirs_of_mourkain	38	38	38	221	221	221		0	0	128
wh2_main_rogue_wef_hunters_of_kurnous	38	38	38	221	221	221		0	0	128
wh2_main_rogue_worldroot_rangers	38	38	38	221	221	221		0	0	128
wh2_main_rogue_wrath_of_nature	38	38	38	221	221	221		0	0	128
wh2_main_skv_clan_eshin	30	32	25	231	238	241		0	0	0
wh2_main_skv_clan_gnaw	10	76	160	51	66	74		0	0	0
wh2_main_skv_clan_mordkin	9	57	152	239	252	255		0	0	0
wh2_main_skv_clan_mors	16	40	196	64	64	64		0	0	0
wh2_main_skv_clan_mors_separatists	91	91	91	64	64	64		0	0	0
wh2_main_skv_clan_moulder	104	156	169	7	148	134		15	20	156
wh2_main_skv_clan_pestilens	50	102	63	0	0	168		0	0	0
wh2_main_skv_clan_pestilens_separatists	72	72	72	100	100	100		0	0	0
wh2_main_skv_clan_septik	78	146	80	78	202	166		0	0	0
