frontend_faction_effect_groups_tables
0
unknown0	unknown1	unknown2	unknown3
False	wh_dlc07_political_party_bretonnia_alberic	wh2_main_alberic_faction	faction_traits
False	wh_dlc07_political_party_bretonnia_alberic	wh2_main_alberic_leader	lord_traits
False	wh_main_political_party_chaos_ruler	wh2_main_archaon_faction	faction_traits
False	wh_main_political_party_chaos_ruler	wh2_main_archaon_leader	lord_traits
False	wh_main_political_party_greenskins_azhag	wh2_main_azhag_faction	faction_traits
False	wh_main_political_party_greenskins_azhag	wh2_main_azhag_leader	lord_traits
False	wh_main_political_party_empire_balthasar	wh2_main_balthasar_faction	faction_traits
False	wh_main_political_party_empire_balthasar	wh2_main_balthasar_leader	lord_traits
False	wh_dlc06_political_party_belegar_ruler	wh2_main_belegar_faction	faction_traits
False	wh_dlc06_political_party_belegar_ruler	wh2_main_belegar_leader	lord_traits
False	wh_dlc05_political_party_wood_elves_durthu	wh2_main_durthu_faction	faction_traits
False	wh_dlc05_political_party_wood_elves_durthu	wh2_main_durthu_leader	lord_traits
False	wh_dlc07_political_party_bretonnia_fay	wh2_main_fay_enchantress_faction	faction_traits
False	wh_dlc07_political_party_bretonnia_fay	wh2_main_fay_enchantress_leader	lord_traits
False	wh_main_political_party_greenskins_ruler	wh2_main_grimgor_faction	faction_traits
False	wh_main_political_party_greenskins_ruler	wh2_main_grimgor_leader	lord_traits
False	wh_main_political_party_dwarf_grombrindal	wh2_main_grombrindal_faction	faction_traits
False	wh_main_political_party_dwarf_grombrindal	wh2_main_grombrindal_leader	lord_traits
False	wh_main_political_party_vampire_heinrich	wh2_main_heinrich_faction	faction_traits
False	wh_main_political_party_vampire_heinrich	wh2_main_heinrich_leader	lord_traits
False	wh_dlc04_political_party_vampire_helman	wh2_main_helman_ghorst_faction	faction_traits
False	wh_dlc04_political_party_vampire_helman	wh2_main_helman_ghorst_leader	lord_traits
False	wh_pro02_political_party_vampire_isabella	wh2_main_isabella_faction	faction_traits
False	wh_pro02_political_party_vampire_isabella	wh2_main_isabella_leader	lord_traits
False	wh_main_political_party_empire_ruler	wh2_main_karl_franz_faction	faction_traits
False	wh_main_political_party_empire_ruler	wh2_main_karl_franz_leader	lord_traits
False	wh_dlc03_political_party_beastmen_ruler	wh2_main_khazrak_faction	faction_traits
False	wh_dlc03_political_party_beastmen_ruler	wh2_main_khazrak_leader	lord_traits
False	wh_main_political_party_chaos_kholek	wh2_main_kholek_faction	faction_traits
False	wh_main_political_party_chaos_kholek	wh2_main_kholek_leader	lord_traits
False	wh2_main_political_party_lzd_kroq_gar	wh2_main_kroq_gar_faction	faction_traits
False	wh2_main_political_party_lzd_kroq_gar	wh2_main_kroq_gar_leader	lord_traits
False	wh_dlc07_political_party_bretonnia_ruler	wh2_main_louen_leoncoeur_faction	faction_traits
False	wh_dlc07_political_party_bretonnia_ruler	wh2_main_louen_leoncoeur_leader	lord_traits
False	wh_dlc03_political_party_beastmen_malagor	wh2_main_malagor_faction	faction_traits
False	wh_dlc03_political_party_beastmen_malagor	wh2_main_malagor_leader	lord_traits
False	wh2_main_political_party_def_malekith	wh2_main_malekith_faction	faction_traits
False	wh2_main_political_party_def_malekith	wh2_main_malekith_leader	lord_traits
False	wh_main_political_party_vampire_ruler	wh2_main_mannfred_faction	faction_traits
False	wh_main_political_party_vampire_ruler	wh2_main_mannfred_leader	lord_traits
False	wh2_main_political_party_lzd_lord_mazdamundi	wh2_main_mazdamundi_faction	faction_traits
False	wh2_main_political_party_lzd_lord_mazdamundi	wh2_main_mazdamundi_leader	lord_traits
False	wh2_main_political_party_def_morathi	wh2_main_morathi_faction	faction_traits
False	wh2_main_political_party_def_morathi	wh2_main_morathi_leader	lord_traits
False	wh_dlc03_political_party_beastmen_morghur	wh2_main_morghur_faction	faction_traits
False	wh_dlc03_political_party_beastmen_morghur	wh2_main_morghur_leader	lord_traits
False	wh_dlc05_political_party_wood_elves_ruler	wh2_main_orion_faction	faction_traits
False	wh_dlc05_political_party_wood_elves_ruler	wh2_main_orion_leader	lord_traits
False	wh2_main_political_party_skv_queek_headtaker	wh2_main_queek_faction	faction_traits
False	wh2_main_political_party_skv_queek_headtaker	wh2_main_queek_leader	lord_traits
False	wh_main_political_party_chaos_sigvald	wh2_main_sigvald_faction	faction_traits
False	wh_main_political_party_chaos_sigvald	wh2_main_sigvald_leader	lord_traits
False	wh_dlc06_political_party_skarsnik_ruler	wh2_main_skarsnik_faction	faction_traits
False	wh_dlc06_political_party_skarsnik_ruler	wh2_main_skarsnik_leader	lord_traits
False	wh2_main_political_party_skv_lord_skrolk	wh2_main_skrolk_faction	faction_traits
False	wh2_main_political_party_skv_lord_skrolk	wh2_main_skrolk_leader	lord_traits
False	wh2_main_political_party_hef_teclis	wh2_main_teclis_faction	faction_traits
False	wh2_main_political_party_hef_teclis	wh2_main_teclis_leader	lord_traits
False	wh_main_political_party_dwarf_ruler	wh2_main_thorgrim_faction	faction_traits
False	wh_main_political_party_dwarf_ruler	wh2_main_thorgrim_leader	lord_traits
False	wh2_main_political_party_hef_tyrion	wh2_main_tyrion_faction	faction_traits
False	wh2_main_political_party_hef_tyrion	wh2_main_tyrion_leader	lord_traits
False	wh_main_political_party_dwarf_ungrim	wh2_main_ungrim_faction	faction_traits
False	wh_main_political_party_dwarf_ungrim	wh2_main_ungrim_leader	lord_traits
False	wh_pro02_political_party_vlad_ruler	wh2_main_vlad_faction	faction_traits
False	wh_pro02_political_party_vlad_ruler	wh2_main_vlad_leader	lord_traits
False	wh_dlc04_political_party_empire_volkmar	wh2_main_volkmar_faction	faction_traits
False	wh_dlc04_political_party_empire_volkmar	wh2_main_volkmar_leader	lord_traits
False	wh2_main_political_party_vor_lzd_kroq_gar	wh2_main_vor_kroq_gar_faction	faction_traits
False	wh2_main_political_party_vor_lzd_kroq_gar	wh2_main_vor_kroq_gar_leader	lord_traits
False	wh2_main_political_party_vor_def_malekith	wh2_main_vor_malekith_faction	faction_traits
False	wh2_main_political_party_vor_def_malekith	wh2_main_vor_malekith_leader	lord_traits
False	wh2_main_political_party_vor_lzd_lord_mazdamundi	wh2_main_vor_mazdamundi_faction	faction_traits
False	wh2_main_political_party_vor_lzd_lord_mazdamundi	wh2_main_vor_mazdamundi_leader	lord_traits
False	wh2_main_political_party_vor_def_morathi	wh2_main_vor_morathi_faction	faction_traits
False	wh2_main_political_party_vor_def_morathi	wh2_main_vor_morathi_leader	lord_traits
False	wh2_main_political_party_vor_skv_queek_headtaker	wh2_main_vor_queek_faction	faction_traits
False	wh2_main_political_party_vor_skv_queek_headtaker	wh2_main_vor_queek_leader	lord_traits
False	wh2_main_political_party_vor_skv_lord_skrolk	wh2_main_vor_skrolk_faction	faction_traits
False	wh2_main_political_party_vor_skv_lord_skrolk	wh2_main_vor_skrolk_leader	lord_traits
False	wh2_main_political_party_vor_hef_teclis	wh2_main_vor_teclis_faction	faction_traits
False	wh2_main_political_party_vor_hef_teclis	wh2_main_vor_teclis_leader	lord_traits
False	wh2_main_political_party_vor_hef_tyrion	wh2_main_vor_tyrion_faction	faction_traits
False	wh2_main_political_party_vor_hef_tyrion	wh2_main_vor_tyrion_leader	lord_traits
False	wh_dlc06_political_party_wurrzag_ruler	wh2_main_wurrzag_faction	faction_traits
False	wh_dlc06_political_party_wurrzag_ruler	wh2_main_wurrzag_leader	lord_traits
