frontend_factions_tables
2
unknown0	unknown1
wh2_main_def_cult_of_pleasure	front_end_faction_select/def_faction
wh2_main_def_naggarond	front_end_faction_select/def_faction
wh2_main_hef_eataine	front_end_faction_select/hef_faction
wh2_main_hef_order_of_loremasters	front_end_faction_select/hef_faction
wh2_main_lzd_hexoatl	front_end_faction_select/lzd_faction
wh2_main_lzd_last_defenders	front_end_faction_select/lzd_faction
wh2_main_skv_clan_mors	front_end_faction_select/skv_faction
wh2_main_skv_clan_pestilens	front_end_faction_select/skv_faction
wh_dlc03_bst_beastmen	Warhammer/faction_select_bst
wh_dlc03_bst_mini_khazrak_herd	Warhammer/faction_select_bst_mini
wh_dlc05_bst_mini_morghur_herd	Warhammer/faction_select_emp
wh_dlc05_wef_argwylon	Warhammer/faction_select_argwylon
wh_dlc05_wef_mini_argwylon	Warhammer/faction_select_mini_argwylon
wh_dlc05_wef_mini_wood_elves	Warhammer/faction_select_mini_wef
wh_dlc05_wef_wood_elves	Warhammer/faction_select_wef
wh_main_brt_bordeleaux	Warhammer/faction_select_brt_bordeleaux
wh_main_brt_bretonnia	Warhammer/faction_select_brt
wh_main_brt_carcassonne	Warhammer/faction_select_brt_carcassonne
wh_main_chs_chaos	Warhammer/faction_select_chs
wh_main_dwf_dwarfs	Warhammer/faction_select_dwf
wh_main_dwf_karak_izor	Warhammer/faction_select_belegar
wh_main_emp_empire	Warhammer/faction_select_emp
wh_main_grn_crooked_moon	Warhammer/faction_select_skarsnik
wh_main_grn_greenskins	Warhammer/faction_select_grn
wh_main_grn_orcs_of_the_bloody_hand	Warhammer/faction_select_wurrzag
wh_main_vmp_schwartzhafen	Warhammer/faction_select_vmp_von_carstein
wh_main_vmp_vampire_counts	Warhammer/faction_select_vmp
