intrigue_actions_incidents_junctions_tables
0
culture	incident	unknown2	unknown2	unknown3	unknown4
wh2_main_hef_high_elves	wh2_main_incident_intrigue_any_positive_1b	33786369	60	False	5
wh_dlc03_bst_beastmen	wh2_main_incident_intrigue_any_positive_3b	-1024939775	61	False	3
wh2_main_hef_high_elves	wh2_main_incident_intrigue_any_negative_3a	-1310926848	62	False	3
wh2_main_def_dark_elves	wh2_main_incident_intrigue_any_negative_1b	-1863676160	63	False	5
wh2_main_skv_skaven	wh2_main_incident_intrigue_any_negative_2b	-1709037568	63	False	6
wh_main_dwf_dwarfs	wh2_main_incident_intrigue_any_negative_3b	-1052474880	63	False	3
wh_dlc05_wef_wood_elves	wh2_main_incident_intrigue_any_positive_3b	-627508735	64	False	3
wh2_main_skv_skaven	wh2_main_incident_intrigue_any_negative_1c	-47268096	65	False	5
wh_main_grn_greenskins	wh2_main_incident_intrigue_any_negative_2b	-1647392256	67	False	6
wh2_main_hef_high_elves	wh2_main_incident_intrigue_hef_positive_2a	-882272255	67	False	17
wh2_main_lzd_lizardmen	wh2_main_incident_intrigue_lzd_negative_2a	1760331008	68	False	15
wh2_main_skv_skaven	wh2_main_incident_intrigue_any_negative_1a	-1880088064	68	False	5
wh_main_chs_chaos	wh2_main_incident_intrigue_any_negative_3a	-1739179264	68	False	3
wh_main_brt_bretonnia	wh2_main_incident_intrigue_any_positive_1b	-1530197247	68	False	5
wh_main_emp_empire	wh2_main_incident_intrigue_any_positive_2a	-78543615	68	False	6
wh_dlc03_bst_beastmen	wh2_main_incident_intrigue_any_negative_2b	-413635840	6	False	6
wh2_main_skv_skaven	wh2_main_incident_intrigue_skv_negative_1a	-2062109952	69	False	10
wh_main_brt_bretonnia	wh2_main_incident_intrigue_any_negative_1d	-1703733760	69	False	5
wh_main_brt_bretonnia	wh2_main_incident_intrigue_any_positive_3a	1622168065	70	False	3
wh2_main_lzd_lizardmen	wh2_main_incident_intrigue_any_negative_2a	1949469440	71	False	6
wh_main_dwf_dwarfs	wh2_main_incident_intrigue_any_negative_1c	-1834632192	71	False	5
wh_main_emp_empire	wh2_main_incident_intrigue_any_positive_3b	-1118438143	71	False	3
wh_main_grn_greenskins	wh2_main_incident_intrigue_any_negative_1d	-993179136	72	False	5
wh2_main_lzd_lizardmen	wh2_main_incident_intrigue_any_negative_2b	948565248	73	False	6
wh_main_vmp_vampire_counts	wh2_main_incident_intrigue_any_negative_1b	1391744256	7	False	5
wh_dlc03_bst_beastmen	wh2_main_incident_intrigue_any_negative_1c	-820355328	73	False	5
wh_main_grn_greenskins	wh2_main_incident_intrigue_any_positive_2b	1778524161	7	False	6
wh_main_vmp_vampire_counts	wh2_main_incident_intrigue_any_positive_1d	-1634394111	74	False	5
wh2_main_lzd_lizardmen	wh2_main_incident_intrigue_any_positive_3b	-1109160703	75	False	3
wh_main_grn_greenskins	wh2_main_incident_intrigue_any_negative_3b	-759296256	75	False	3
wh_main_chs_chaos	wh2_main_incident_intrigue_any_negative_1c	704310528	76	False	5
wh_main_dwf_dwarfs	wh2_main_incident_intrigue_any_negative_1b	-2146878464	77	False	5
wh2_main_hef_high_elves	wh2_main_incident_intrigue_any_positive_2b	-2094199551	77	False	6
wh2_main_def_dark_elves	wh2_main_incident_intrigue_def_positive_3a	83903745	78	False	10
