loading_screen_quotes_to_campaigns_tables
2
unknown0	unknown1
wh2_main_hp_campaign_intervention_armies	wh2_main_great_vortex_map_1
wh2_main_hp_campaign_intervention_armies	wh2_main_great_vortex_map_2
wh2_main_hp_campaign_ritual_currency	wh2_main_great_vortex_map_1
wh2_main_hp_campaign_ritual_currency	wh2_main_great_vortex_map_2
wh2_main_hp_campaign_ritual_resource_sites	wh2_main_great_vortex_map_1
wh2_main_hp_campaign_ritual_resource_sites	wh2_main_great_vortex_map_2
wh2_main_hp_campaign_rituals	wh2_main_great_vortex_map_1
wh2_main_hp_campaign_rituals	wh2_main_great_vortex_map_2
wh2_main_hp_campaign_the_great_vortex	wh2_main_great_vortex_map_1
wh2_main_hp_campaign_the_great_vortex	wh2_main_great_vortex_map_2
wh2_main_hp_campaign_the_rituals_bar	wh2_main_great_vortex_map_1
wh2_main_hp_campaign_the_rituals_bar	wh2_main_great_vortex_map_2
