message_events_tables
1
event	instant_open	layout	requires_response	unknown5
agent_action_dummy_event	False	standard	False	100
attrition_athel_loren	False	standard	False	100
attrition_besieged	False	standard	False	100
attrition_besieging	False	standard	False	100
attrition_blockaded	False	standard	False	100
attrition_blockading	False	standard	False	100
attrition_chaos_territory	False	standard	False	100
attrition_chaos_wastes	False	standard	False	100
attrition_desert	False	standard	False	100
attrition_disease	False	standard	False	100
attrition_high_seas	False	standard	False	100
attrition_horde_infighting	False	standard	False	100
attrition_hostile_territory	False	standard	False	100
attrition_low_morale	False	standard	False	100
attrition_maelstrom	False	standard	False	100
attrition_mountain	False	standard	False	100
attrition_non_vampire_territory	False	standard	False	100
attrition_reef	False	standard	False	100
attrition_storm_level_1	False	standard	False	100
attrition_storm_level_2	False	standard	False	100
attrition_storm_level_3	False	standard	False	100
attrition_storm_level_4	False	standard	False	100
attrition_storm_level_5	False	standard	False	100
attrition_swamp	False	standard	False	100
attrition_vampire_territory	False	standard	False	100
attrition_wasteland	False	standard	False	100
attrition_winter	False	standard	False	100
campmap_bankrupt_desertion	True	standard	False	100
character_dies_commanding_replace	True	appoint_new_general	True	100
subject_message_subject_expires	True	incident	False	100
