military_force_legacy_names_tables
1
key	subculture	for_army
wh2_main_def_legacy_01	wh2_main_sc_def_dark_elves	True
wh2_main_def_legacy_navy_01	wh2_main_sc_def_dark_elves	False
wh2_main_hef_legacy_01	wh2_main_sc_hef_high_elves	True
wh2_main_hef_legacy_navy_01	wh2_main_sc_hef_high_elves	False
wh2_main_lzd_legacy_01	wh2_main_sc_lzd_lizardmen	True
wh2_main_lzd_legacy_navy_01	wh2_main_sc_lzd_lizardmen	False
wh2_main_rogue_abominations_01	wh2_main_rogue_abominations	True
wh2_main_rogue_abominations_navy_01	wh2_main_rogue_abominations	False
wh2_main_rogue_beastcatchas_01	wh2_main_rogue_beastcatchas	True
wh2_main_rogue_beastcatchas_navy_01	wh2_main_rogue_beastcatchas	False
wh2_main_rogue_bernhoffs_brigands_01	wh2_main_rogue_bernhoffs_brigands	True
wh2_main_rogue_bernhoffs_brigands_navy_01	wh2_main_rogue_bernhoffs_brigands	False
wh2_main_rogue_black_spider_tribe_01	wh2_main_rogue_black_spider_tribe	True
wh2_main_rogue_black_spider_tribe_navy_01	wh2_main_rogue_black_spider_tribe	False
wh2_main_rogue_boneclubbers_tribe_01	wh2_main_rogue_boneclubbers_tribe	True
wh2_main_rogue_boneclubbers_tribe_navy_01	wh2_main_rogue_boneclubbers_tribe	False
wh2_main_rogue_celestial_storm_01	wh2_main_rogue_celestial_storm	True
wh2_main_rogue_celestial_storm_navy_01	wh2_main_rogue_celestial_storm	False
wh2_main_rogue_college_of_pyrotechnics_legacy_01	wh2_main_rogue_college_of_pyrotechnics	True
wh2_main_rogue_college_of_pyrotechnics_legacy_navy_01	wh2_main_rogue_college_of_pyrotechnics	False
wh2_main_rogue_doomseekers_01	wh2_main_rogue_doomseekers	True
wh2_main_rogue_doomseekers_navy_01	wh2_main_rogue_doomseekers	False
wh2_main_rogue_gerhardts_mercenaries_01	wh2_main_rogue_gerhardts_mercenaries	True
wh2_main_rogue_gerhardts_mercenaries_navy_01	wh2_main_rogue_gerhardts_mercenaries	False
wh2_main_rogue_heirs_of_mourkain_legacy_01	wh2_main_rogue_heirs_of_mourkain	True
wh2_main_rogue_heirs_of_mourkain_legacy_navy_01	wh2_main_rogue_heirs_of_mourkain	False
wh2_main_rogue_hung_warband_01	wh2_main_rogue_hung_warband	True
wh2_main_rogue_hung_warband_navy_01	wh2_main_rogue_hung_warband	False
wh2_main_rogue_hunters_of_kurnous_legacy_01	wh2_main_rogue_hunters_of_kurnous	True
wh2_main_rogue_hunters_of_kurnous_legacy_navy_01	wh2_main_rogue_hunters_of_kurnous	False
wh2_main_rogue_jerrods_errantry_01	wh2_main_rogue_jerrods_errantry	True
wh2_main_rogue_jerrods_errantry_navy_01	wh2_main_rogue_jerrods_errantry	False
wh2_main_rogue_mangy_houndz_01	wh2_main_rogue_mangy_houndz	True
wh2_main_rogue_mangy_houndz_navy_01	wh2_main_rogue_mangy_houndz	False
wh2_main_rogue_mengils_manflayers_legacy_01	wh2_main_rogue_mengils_manflayers	True
wh2_main_rogue_mengils_manflayers_legacy_navy_01	wh2_main_rogue_mengils_manflayers	False
wh2_main_rogue_morrsliebs_howlers_01	wh2_main_rogue_morrsliebs_howlers	True
wh2_main_rogue_morrsliebs_howlers_navy_01	wh2_main_rogue_morrsliebs_howlers	False
wh2_main_rogue_pirates_of_the_far_sea_01	wh2_main_rogue_pirates_of_the_far_sea	True
