mp_budgets_tables
0
budget	budget_size_key	key	land	siege_defender
100000	custom	ambush_custom	True	False
17000	huge	ambush_huge	True	False
12400	large	ambush_large	True	False
8600	medium	ambush_medium	True	False
5000	small	ambush_small	True	False
100000	custom	city_custom	True	True
17000	huge	city_huge	True	True
12400	large	city_large	True	True
8600	medium	city_medium	True	True
5000	small	city_small	True	True
100000	custom	coastal_custom	False	False
17000	huge	coastal_huge	False	False
12400	large	coastal_large	False	False
8600	medium	coastal_medium	False	False
5000	small	coastal_small	False	False
100000	custom	land_custom	True	False
17000	huge	land_huge	True	False
12400	large	land_large	True	False
8600	medium	land_medium	True	False
5000	small	land_small	True	False
100000	custom	naval_custom	False	False
17000	huge	naval_huge	False	False
12400	large	naval_large	False	False
8600	medium	naval_medium	False	False
5000	small	naval_small	False	False
100000	custom	port_custom	False	True
17000	huge	port_huge	False	True
12400	large	port_large	False	True
8600	medium	port_medium	False	True
5000	small	port_small	False	True
100000	custom	river_crossing_custom	True	False
17000	huge	river_crossing_huge	True	False
12400	large	river_crossing_large	True	False
8600	medium	river_crossing_medium	True	False
5000	small	river_crossing_small	True	False
100000	custom	unfortified_port_custom	False	True
17000	huge	unfortified_port_huge	False	True
12400	large	unfortified_port_large	False	True
8600	medium	unfortified_port_medium	False	True
5000	small	unfortified_port_small	False	True
100000	custom	unfortified_town_custom	True	True
17000	huge	unfortified_town_huge	True	True
12400	large	unfortified_town_large	True	True
8600	medium	unfortified_town_medium	True	True
5000	small	unfortified_town_small	True	True
