name_orders_tables
0
name_group	order	type
106	0	clan_name
117	0	clan_name
124	0	clan_name
131	0	clan_name
137	0	clan_name
143	0	clan_name
153	0	clan_name
162	0	clan_name
172	0	clan_name
198	0	clan_name
211	0	clan_name
214	0	clan_name
88	0	clan_name
89	0	clan_name
98	0	clan_name
106	2	family_name
117	2	family_name
124	2	family_name
131	2	family_name
137	2	family_name
143	2	family_name
153	2	family_name
162	2	family_name
172	2	family_name
198	2	family_name
211	2	family_name
214	2	family_name
88	2	family_name
89	2	family_name
98	2	family_name
106	1	forename
117	1	forename
124	1	forename
131	1	forename
137	1	forename
143	1	forename
153	1	forename
162	1	forename
172	1	forename
198	1	forename
211	1	forename
214	1	forename
556892468	1	forename
88	1	forename
89	1	forename
98	1	forename
106	3	other
117	3	other
124	3	other
131	3	other
137	3	other
143	3	other
153	3	other
162	3	other
172	3	other
198	3	other
211	3	other
214	3	other
88	3	other
89	3	other
98	3	other
