names_tables
1
names_group	order	gender	frequency	id
153	1	1	0	1002144821
124	0	0	1	100271990
172	1	2	1	1003038241
153	0	1	1	1003842572
153	0	1	1	1005248167
162	0	1	1	1006363117
153	1	0	0	1006711097
162	1	2	1	1008738826
153	0	1	1	1012272878
117	0	2	1	1012584779
117	0	2	1	1013532462
153	1	0	0	101567873
153	1	1	0	1015951371
117	0	2	1	1016390767
162	0	0	1	1017721779
117	0	2	1	1018614790
153	1	1	0	1021071163
117	0	2	1	1022176898
137	0	1	1	1023980541
162	1	0	1	1024438729
106	0	0	1	1027251705
117	0	2	1	1030065585
172	0	1	1	1032919940
153	1	0	0	103970856
162	0	1	1	1040644774
172	1	2	1	1041741800
117	0	2	1	1042552047
153	0	0	1	1043335079
137	0	1	1	1044214998
137	0	1	1	1044995477
172	0	1	1	1045238283
117	0	2	1	1047924203
162	0	0	1	1050537203
172	0	1	1	1053838354
162	0	1	1	105567548
162	0	1	1	1057000402
153	0	1	1	1058692048
117	0	2	1	1059779049
198	0	0	1	1060172250
137	0	1	1	1061636038
117	0	2	1	1062390673
137	0	0	1	1063475665
172	1	2	1	1064541212
117	0	2	1	1065329730
153	0	1	1	1066656255
162	0	0	1	1069020046
153	0	1	1	1073720026
172	0	1	1	1075820337
88	1	0	1	1077483803
162	0	1	1	107879667
117	0	2	1	1079274254
117	0	2	1	1081459835
117	0	2	1	1081703090
117	0	2	1	108312091
117	0	2	1	1085453193
153	0	1	1	1087181860
124	0	2	1	1088239444
172	1	2	1	1090640497
117	0	2	1	1090792195
137	0	1	1	1091045834
137	0	1	1	10929957
153	1	1	0	1093887037
153	0	1	1	1096917599
124	0	0	1	1100391638
153	1	1	0	1109419635
153	1	1	0	1113856794
162	0	1	1	1116653492
137	0	1	1	1119925593
153	0	1	1	112654795
153	0	1	1	1126797147
153	0	1	1	1126820639
117	0	2	1	112708193
117	0	2	1	1128670544
153	1	0	0	1129600977
117	0	2	1	1129661942
162	0	1	1	1130055944
137	0	1	1	1130865469
88	1	0	1	1134162982
153	1	1	0	1136469686
172	1	2	1	1139217754
117	0	2	1	1142846245
137	0	1	1	1143850849
153	0	0	1	1145397024
137	0	0	1	1147373454
137	0	1	1	1149635680
162	0	0	1	1152202501
153	1	1	0	1152625320
117	0	2	1	116152545
198	0	0	1	1162975771
137	0	1	1	1163945081
117	0	2	1	1166423003
117	0	0	1	1168903698
124	0	2	1	116980691
153	0	1	1	117103054
117	0	2	1	1171446914
117	0	2	1	1175252513
162	0	0	1	1176502723
