political_parties_tables
6
key	playable	ui_icon	unknown3
wh2_main_political_party_def_malekith	True	wh_main_bundle_dummy	100
wh2_main_political_party_def_morathi	True	wh_main_bundle_dummy	100
wh2_main_political_party_hef_teclis	True	wh_main_bundle_dummy	100
wh2_main_political_party_hef_tyrion	True	wh_main_bundle_dummy	100
wh2_main_political_party_lzd_kroq_gar	True	wh_main_bundle_dummy	100
wh2_main_political_party_lzd_lord_mazdamundi	True	wh_main_bundle_dummy	100
wh2_main_political_party_skv_lord_skrolk	True	wh_main_bundle_dummy	100
wh2_main_political_party_skv_queek_headtaker	True	wh_main_bundle_dummy	100
wh_dlc03_political_party_beastmen_council	False	wh_main_bundle_dummy	10
wh_dlc03_political_party_beastmen_ruler	True	wh_dlc03_faction_trait_beastmen_faction	90
wh_dlc03_political_party_mini_beastmen_khazrak_council	False	wh_main_bundle_dummy	10
wh_dlc03_political_party_mini_beastmen_khazrak_ruler	True	wh_dlc03_faction_trait_beastmen_faction	90
wh_dlc05_political_party_mini_beastmen_morghur	True	wh_dlc03_faction_trait_beastmen_faction	90
wh_dlc05_political_party_mini_beastmen_morghur_council	False	wh_main_bundle_dummy	10
wh_dlc05_political_party_mini_wood_elves_council	False	wh_main_bundle_dummy	10
wh_dlc05_political_party_mini_wood_elves_durthu	True	wh_dlc05_faction_trait_wood_elves_faction	90
wh_dlc05_political_party_mini_wood_elves_durthu_council	False	wh_main_bundle_dummy	10
wh_dlc05_political_party_mini_wood_elves_ruler	True	wh_dlc05_faction_trait_wood_elves_faction	90
wh_dlc05_political_party_wood_elves_council	False	wh_main_bundle_dummy	10
wh_dlc05_political_party_wood_elves_durthu	True	wh_dlc05_faction_trait_wood_elves_faction	90
wh_dlc05_political_party_wood_elves_durthu_council	False	wh_main_bundle_dummy	10
wh_dlc05_political_party_wood_elves_ruler	True	wh_dlc05_faction_trait_wood_elves_faction	90
wh_dlc06_political_party_belegar_council	False	wh_main_bundle_dummy	10
wh_dlc06_political_party_belegar_ruler	True	wh_main_faction_trait_dwarfs_faction	90
wh_dlc06_political_party_skarsnik_council	False	wh_main_bundle_dummy	10
wh_dlc06_political_party_skarsnik_ruler	True	wh_main_faction_trait_greenskins_faction	90
wh_dlc06_political_party_wurrzag_council	False	wh_main_bundle_dummy	10
wh_dlc06_political_party_wurrzag_ruler	True	wh_main_faction_trait_greenskins_faction	90
wh_dlc07_political_party_bretonnia_alberic	True	wh_main_faction_trait_bretonnia	90
wh_dlc07_political_party_bretonnia_council	False	wh_main_bundle_dummy	10
wh_dlc07_political_party_bretonnia_council_alberic	False	wh_main_bundle_dummy	10
wh_dlc07_political_party_bretonnia_council_fay	False	wh_main_bundle_dummy	10
wh_dlc07_political_party_bretonnia_fay	True	wh_main_faction_trait_bretonnia	90
wh_dlc07_political_party_bretonnia_ruler	True	wh_main_faction_trait_bretonnia	90
wh_dlc08_political_party_tomb_kings_ruler	True	wh_main_faction_trait_empire_faction	100
wh_main_political_party_chaos_council	False	wh_main_bundle_dummy	10
wh_main_political_party_chaos_ruler	True	wh_main_faction_trait_chaos_faction	90
wh_main_political_party_chaos_separatist_council	False	wh_main_bundle_dummy	10
wh_main_political_party_chaos_separatist_ruler	True	wh_main_faction_trait_chaos_faction	90
wh_main_political_party_chaos_separatist_sorcerer_lord_council	False	wh_main_bundle_dummy	10
wh_main_political_party_chaos_separatist_sorcerer_lord_ruler	True	wh_main_faction_trait_chaos_faction	90
wh_main_political_party_dwarf_council	False	wh_main_bundle_dummy	10
wh_main_political_party_dwarf_ruler	True	wh_main_faction_trait_dwarfs_faction	90
wh_main_political_party_dwarf_separatist_council	False	wh_main_bundle_dummy	10
wh_main_political_party_dwarf_separatist_ruler	True	wh_main_faction_trait_dwarfs_faction	90
wh_main_political_party_empire_council	False	wh_main_bundle_dummy	10
wh_main_political_party_empire_ruler	True	wh_main_faction_trait_empire_faction	90
wh_main_political_party_empire_separatist_council	False	wh_main_bundle_dummy	10
wh_main_political_party_empire_separatist_ruler	True	wh_main_faction_trait_empire_faction	90
wh_main_political_party_greenskins_council	False	wh_main_bundle_dummy	10
wh_main_political_party_greenskins_ruler	True	wh_main_faction_trait_greenskins_faction	90
wh_main_political_party_greenskins_separatist_council	False	wh_main_bundle_dummy	10
wh_main_political_party_greenskins_separatist_goblin_shaman_council	False	wh_main_bundle_dummy	10
wh_main_political_party_greenskins_separatist_goblin_shaman_ruler	True	wh_main_faction_trait_greenskins_faction	90
wh_main_political_party_greenskins_separatist_ruler	True	wh_main_faction_trait_greenskins_faction	90
wh_main_political_party_vampire_council	False	wh_main_bundle_dummy	10
wh_main_political_party_vampire_ruler	True	wh_main_faction_trait_vampire_faction	90
wh_main_political_party_vampire_separatist_council	False	wh_main_bundle_dummy	10
wh_main_political_party_vampire_separatist_master_necromancer_council	False	wh_main_bundle_dummy	10
wh_main_political_party_vampire_separatist_master_necromancer_ruler	True	wh_main_faction_trait_vampire_faction	90
wh_main_political_party_vampire_separatist_ruler	True	wh_main_faction_trait_vampire_faction	90
wh_pro02_political_party_vlad_council	False	wh_main_bundle_dummy	10
wh_pro02_political_party_vlad_ruler	True	wh_main_faction_trait_vampire_faction	90
