projectile_displays_tables
10
display_model	impact	key	launch_fx	trail_fx	stationary_fx	airborne_anim	landing_anim	tip_offset	trail_spin	launch_camera_shake	impact_bounce	impact_penetrate	impact_blood	impact_bounce_blood	impact_penetrate_blood
		animal_carcass			False		False	0	False						
		animal_carcass_debris			False		False	0	False						
		arrow_barbarian			False		False	0	False						
		boiling_oil			False		False	0	False						
		bolt			False		False	0	False						
		bolt_flammable			False		False	0	False						
		bolt_large			False		False	0	False						
		bolt_large_flammable			False		False	0	False						
		default_explosive			False		False	0	False						
		default_flaming			False		False	0	False						
		default_poison			False		False	0	False						
		default_standard			False		False	0	False						
		default_whistling			False		False	0	False						
		explosive_pot			False		False	0	False						
		explosive_pot_large			False		False	0	False						
		fireball			False		False	0	False						
		harpax			False		False	0	False						
		javelin			False		False	0	False						
		javelin_fire			False		False	0	False						
		pilum			False		False	0	False						
		rock_flammable			False		False	0	False						
		rock_fragment			False		False	0	False						
		rock_large_flammable			False		False	0	False						
		sling_shot			False		False	0	False						
		stone_brick_large			False		False	0	False						
		stone_brick_small			False		False	0	False						
		stone_flammable			False		False	0	False						
		stone_large_flammable			False		False	0	False						
	wh2_main_chaos_dragon_breath_impact	wh2_chs_chaos_dragon_breath	wh2_main_chaos_dragon_breath_muzzle	wh2_main_chaos_dragon_breath_trail	False		False	0	False						
	wh2_main_black_dragon_breath_impact	wh2_def_black_dragon_breath	wh2_main_black_dragon_breath_muzzle	wh2_main_black_dragon_breath_trail	False		False	0	False						
	wh2_main_hydra_dragon_breath_impact	wh2_def_hydra_dragon_breath	wh2_main_hydra_breath_muzzle	wh2_main_hydra_breath_trail	False		False	0	False						
	wh2_main_moon_dragon_breath_impact	wh2_hef_moon_dragon_breath	wh2_main_moon_dragon_breath_muzzle	wh2_main_moon_dragon_breath_trail	False		False	0	False						
	wh2_main_star_dragon_breath_impact	wh2_hef_star_dragon_breath	wh2_main_star_dragon_breath_muzzle	wh2_main_star_dragon_breath_trail	False		False	0	False						
	wh2_main_sun_dragon_breath_impact	wh2_hef_sun_dragon_breath	wh2_main_sun_dragon_breath_muzzle	wh2_main_sun_dragon_breath_trail	False		False	0	False						
projectiles\wh_lzd_blowpipe_dart_01.rigid_model_v2	wh_main_impact_very_small	wh2_lzd_blowpipe_dart		wh_main_weapon_trail_blowpipe	False		False	0	False		wh_main_impact_very_small	wh_main_impact_very_small			
projectiles\wh_lzd_blowpipe_dart_01.rigid_model_v2	wh_dlc07_weapon_pox_arrow	wh2_lzd_blowpipe_dart_hero		wh_main_weapon_trail_blowpipe_giant	False		False	0	False		wh_dlc07_weapon_pox_arrow	wh_dlc07_weapon_pox_arrow			
projectiles\wh_lzd_skink_javelin_1h_01_projectile.rigid_model_v2	wh_main_impact_very_small	wh2_lzd_javelin		wh_main_weapon_trail_blowpipe	False		False	0	False		wh_main_impact_very_small	wh_main_impact_very_small			
projectiles\wh2_lzd_fireleech_bolas.wsmodel	wh2_main_lzd_fire_leech_bola	wh2_lzd_terradon_fire_leech_bola		wh2_main_weapon_fireleech_bolas_trail	False		False	0	False		wh_main_bounce_impact	wh_main_entity_impact			
projectiles\wh2_vfx_bloodcauldron.rigid_model_v2	wh2_main_abilities_bloodwrack_cauldron	wh2_main_army_abilities_bloodwrack_cauldron		wh2_main_abilities_bloodwrack_cauldron_bomb_trail	False		False	0	False	wh_main_unit_launch_heavy	wh2_main_abilities_bloodwrack_cauldron	wh2_main_abilities_bloodwrack_cauldron			
	wh2_main_abilities_bolt_of_spite	wh2_main_army_abilities_bolt_of_spite		wh2_main_abilities_bolt_of_spite_trail	False		False	0	False	wh_main_unit_launch_light	wh2_main_abilities_bolt_of_spite	wh2_main_abilities_bolt_of_spite			
projectiles\wh2_vfx_bloodcauldron.rigid_model_v2	wh2_main_abilities_brazen_cauldron	wh2_main_army_abilities_brazen_cauldron		wh2_main_abilities_brazen_cauldron_bomb_trail	False		False	0	False	wh_main_unit_launch_heavy	wh2_main_abilities_brazen_cauldron	wh2_main_abilities_brazen_cauldron			
	wh2_main_abilities_khaines_flail_bolt	wh2_main_army_abilities_khaines_flail	wh2_main_abilities_khaines_flail_bolt_launch		False		False	0	False	wh_main_unit_launch_medium	wh2_main_abilities_khaines_flail_bolt	wh2_main_abilities_khaines_flail_bolt			
	wh2_main_abilities_khaines_lash_bolt	wh2_main_army_abilities_khaines_lash	wh2_main_abilities_khaines_lash_bolt_launch		False		False	0	False	wh_main_unit_launch_medium	wh2_main_abilities_khaines_lash_bolt	wh2_main_abilities_khaines_lash_bolt			
	wh2_main_abilities_khaines_scourge_bolt	wh2_main_army_abilities_khaines_scourge	wh2_main_abilities_khaines_scourge_bolt_launch		False		False	0	False	wh_main_unit_launch_medium	wh2_main_abilities_khaines_scourge_bolt	wh2_main_abilities_khaines_scourge_bolt			
projectiles\wh2_vfx_bloodcauldron.rigid_model_v2	wh2_main_abilities_sky_cauldron	wh2_main_army_abilities_sky_cauldron		wh2_main_abilities_sky_cauldron_bomb_trail	False		False	0	False	wh_main_unit_launch_heavy	wh2_main_abilities_sky_cauldron	wh2_main_abilities_sky_cauldron			
	wh2_main_abilities_soul_rain_impact	wh2_main_army_abilities_soul_rain		wh2_main_abilities_soul_rain_trail	False		False	0	True	wh_main_unit_launch_medium	wh2_main_abilities_soul_rain_impact	wh2_main_abilities_soul_rain_impact			
	wh2_main_abilities_soul_storm_impact	wh2_main_army_abilities_soul_storm		wh2_main_abilities_soul_storm_trail	False		False	0	True	wh_main_unit_launch_medium	wh2_main_abilities_soul_storm_impact	wh2_main_abilities_soul_storm_impact			
	wh2_main_abilities_soul_torrent_impact	wh2_main_army_abilities_soul_torrent		wh2_main_abilities_soul_torrent_trail	False		False	0	True	wh_main_unit_launch_medium	wh2_main_abilities_soul_torrent_impact	wh2_main_abilities_soul_torrent_impact			
	wh2_main_abilities_vauls_hammer	wh2_main_army_abilities_vauls_hammer			False		False	0	False		wh_main_unit_abilities_gyrobomber_bomb	wh_main_unit_abilities_gyrobomber_bomb			
		wh2_main_army_abilities_vortic_blast_shrapnel		wh2_main_abilities_vortic_blast_shrapnel_trail	False		False	0	True	wh_main_unit_launch_light	wh2_main_army_abilities_vortic_blast_shrapnel	wh2_main_army_abilities_vortic_blast_shrapnel			
		wh2_main_army_abilities_vortic_enrichment_shrapnel		wh2_main_abilities_vortic_enrichment_shrapnel_trail	False		False	0	True	wh_main_unit_launch_light	wh2_main_army_abilities_vortic_enrichment_shrapnel	wh2_main_army_abilities_vortic_enrichment_shrapnel			
	wh2_main_character_abilities_volley_arrows_def	wh2_main_character_abilities_volley_of_dark_arrows		wh2_main_def_volley_of_arrows	False		False	0	False	wh_main_unit_launch_light	wh2_main_character_abilities_volley_arrows_def	wh2_main_character_abilities_volley_arrows_def			
	wh2_main_character_abilities_volley_arrows_hef	wh2_main_character_abilities_volley_of_high_arrows		wh2_main_hef_volley_of_arrows	False		False	0	False	wh_main_unit_launch_light	wh2_main_character_abilities_volley_arrows_hef	wh2_main_character_abilities_volley_arrows_hef			
projectiles\def_crossbow_bolt_01.wsmodel	arrow	wh2_main_def_crossbow_bolt		wh_main_weapon_trail_arrow_small	False		False	-0.02	False		wh_main_bounce_impact	wh_main_entity_impact			
projectiles\def_handbow_bolt_01.wsmodel	arrow	wh2_main_def_handbow_bolt		wh_main_weapon_trail_arrow_small	False		False	-0.02	False		wh_main_bounce_impact	wh_main_entity_impact			
projectiles/def_reaper_bolt_bundle.wsmodel	wh_main_impact_medium	wh2_main_def_reaper_bolt		wh2_main_weapon_trail_eagleclaw_bolt	False		False	-0.02	False		wh_main_bounce_impact	wh_main_entity_impact			
projectiles/def_reaper_bolt.wsmodel	arrow	wh2_main_def_reaper_bolt_spread		wh2_main_weapon_trail_eagleclaw_spread	False		False	-0.02	False		wh_main_bounce_impact	wh_main_entity_impact			
projectiles/hef_eagle_bolt_bundle.wsmodel	wh_main_impact_medium	wh2_main_eagleclaw_bolt		wh2_main_weapon_trail_eagleclaw_bolt	False		False	-0.02	False		wh_main_bounce_impact	wh_main_entity_impact			
projectiles/hef_eagle_bolt.wsmodel	arrow	wh2_main_eagleclaw_bolt_spread		wh2_main_weapon_trail_eagleclaw_spread	False		False	-0.02	False		wh_main_bounce_impact	wh_main_entity_impact			
projectiles/hef_archers_arrow_01.wsmodel	arrow	wh2_main_hef_bow_arrow		wh_main_weapon_trail_arrow_small	False		False	-0.05	False		wh_main_bounce_impact	wh_main_entity_impact			
projectiles\wh_skv_rocketglaive_rocket.rigid_model_v2	wh2_main_hero_abilities_doomrocket_impact	wh2_main_hero_abilities_doomrocket		wh2_main_abilities_doomrocket_trail	False		False	0	True	wh_main_unit_launch_light	wh2_main_hero_abilities_doomrocket_impact	wh2_main_hero_abilities_doomrocket_impact			
	wh2_main_hero_abilities_doomrocket_impact	wh2_main_hero_abilities_doomrocket_shrapnel		wh2_main_abilities_doomrocket_shrapnel_trail	False		False	0	True	wh_main_unit_launch_light	wh2_main_hero_abilities_doomrocket_impact	wh2_main_hero_abilities_doomrocket_impact			
	wh2_main_lzd_bastiladon_solar_engine	wh2_main_lzd_bastiladon_solar_engine	wh2_main_weapon_solar_engine_launch	wh2_main_weapon_solar_engine_trail	False		False	0	False	wh_main_unit_launch_light	wh2_main_lzd_bastiladon_solar_engine	wh2_main_lzd_bastiladon_solar_engine			
projectiles\wh_lzd_stegadon_bow_bolt_projectile.wsmodel	wh_main_impact_medium	wh2_main_lzd_stegadon_bolt		wh_main_weapon_trail_arrow_large	False		False	0	False		wh_main_bounce_impact	wh_main_entity_impact			
		wh2_main_no_visual			False		False	0	False						
projectiles/skv_death_wind_globe.wsmodel		wh2_main_skv_death_globe		wh2_main_death_cloud_trail	False		False	0	False	wh_main_unit_launch_light	wh_main_bounce_impact	wh_main_entity_impact			
projectiles\skv_plagueclaw_ball.rigid_model_v2	wh2_main_skv_plagueclaw	wh2_main_skv_plagueclaw		wh2_main_machine_plagueclaw_catapult_trail	False		False	0	False		wh_main_bounce_impact	wh_main_entity_impact			
projectiles/skv_poison_globe.wsmodel	wh_dlc07_weapon_pox_arrow	wh2_main_skv_poison_wind_globe		wh2_main_noxious_cloud_trail	False		False	0	False	wh_main_unit_launch_light	wh_main_bounce_impact	wh_main_entity_impact			
projectiles\wh_skv_night_runners_sling_bullet_01.rigid_model_v2		wh2_main_skv_sling_bullet		wh_main_weapon_trail_rifle	False		False	0	False		wh_main_impact_very_small	wh_main_impact_very_small			
projectiles\wh_skv_night_runners_sling_bullet_01.rigid_model_v2		wh2_main_skv_sling_bullet_poison		wh2_main_skv_weapon_trail_sling_poison	False		False	0	False		wh_main_impact_very_small	wh_main_impact_very_small			
projectiles/skv_throwing_star_01.wsmodel	wh_main_impact_very_small	wh2_main_skv_throwing_star		wh_main_weapon_trail_arrow_small	False		False	0	False		wh_main_impact_very_small	wh_main_impact_very_small			
projectiles/skv_throwing_star_01.wsmodel		wh2_main_skv_throwing_star_poison		wh2_main_skv_weapon_trail_arrow_small_poison	False		False	0	False		wh_main_impact_very_small	wh_main_impact_very_small			
	wh2_main_skv_warp_lightning	wh2_main_skv_warp_lightning	wh2_main_machine_warp_lightning_cannon_launch	wh2_main_machine_warp_lightning_cannon_trail	False		False	0	False		wh2_main_skv_warp_lightning	wh2_main_skv_warp_lightning			
	wh2_main_skv_warp_lightning_doomwheel	wh2_main_skv_warp_lightning_doomwheel		wh2_main_machine_warp_lightning_doomwheel_trail	False		False	0	False		wh2_main_skv_warp_lightning	wh2_main_skv_warp_lightning			
	wh2_main_skv_warpfire_impact	wh2_main_skv_warpfire	wh2_main_weapon_warpfire_thrower_beam		False		False	0	False			wh_main_entity_impact			
	wh2_main_spell_dark_magic_doombolt	wh2_main_spell_dark_magic_doombolt		wh2_main_dark_doombolt_bomb_trail	False		False	0	False	wh_main_unit_launch_light	wh2_main_spell_dark_magic_doombolt	wh2_main_spell_dark_magic_doombolt			
	wh2_main_spell_high_magic_soul_quench	wh2_main_spell_high_magic_soul_quench		wh2_main_high_soul_quench_trail	False		False	0	False	wh_main_unit_launch_light	wh2_main_spell_high_magic_soul_quench	wh2_main_spell_high_magic_soul_quench			
	wh2_main_spell_ruin_warp_lightning_impact	wh2_main_spell_ruin_warp_lightning	wh2_main_ruin_warp_lightning_launch		False		False	0	False	wh_main_unit_launch_light	wh2_main_spell_ruin_warp_lightning_impact	wh2_main_spell_ruin_warp_lightning_impact			
projectiles/wh_lzd_terradon_rock_02.rigid_model_v2	wh2_main_unit_abilities_drop_rocks	wh2_main_unit_abilities_drop_rocks		wh2_main_weapon_lzd_drop_rocks_trail	False		False	0	False		wh2_main_unit_abilities_drop_rocks	wh2_main_unit_abilities_drop_rocks			
	wh2_main_unit_abilities_wake_of_fire_impact	wh2_main_unit_abilities_wake_of_fire		wh2_main_abilities_wake_of_fire_trail	False		False	0	False		wh2_main_unit_abilities_wake_of_fire_impact	wh2_main_unit_abilities_wake_of_fire_impact			
	wh2_main_weapon_abilities_bow_of_the_seafarer	wh2_main_weapon_abilities_bow_of_the_seafarer		wh2_main_abilities_bow_of_the_seafarer_trail	False		False	0	False	wh_main_unit_launch_light	wh2_main_weapon_abilities_bow_of_the_seafarer	wh2_main_weapon_abilities_bow_of_the_seafarer			
projectiles/hef_archers_arrow_01.wsmodel	wh_dlc05_impact_wef_arrow	wh2_main_weapon_bound_reaver_bow		wh_dlc05_abilities_hail_of_doom_trail	False		False	-0.05	False			wh_main_entity_impact			
	wh2_main_terrorgheist_dragon_breath_impact	wh2_vmp_terrorgheist_dragon_breath	wh2_main_terrorgheist_breath_muzzle	wh2_main_terrorgheist_breath_trail	False		False	0	False						
	wh2_main_zombie_dragon_breath_impact	wh2_vmp_zombie_dragon_breath	wh2_main_zombie_dragon_breath_muzzle	wh2_main_zombie_dragon_breath_trail	False		False	0	False						
	wh2_main_forest_dragon_breath_impact	wh2_wef_forest_dragon_breath	wh2_main_forest_dragon_breath_muzzle	wh2_main_forest_dragon_breath_trail	False		False	0	False						
projectiles\wh_brt_trebuchet_stone.rigid_model_v2	wh_main_impact_medium	wh_brt_blessed_stone_tower	wh_main_generic_dust_blow	wh_main_weapon_trail_tower_medium	False		False	0	False		wh_main_bounce_impact	wh_main_entity_impact			
	wh_main_impact_very_small	wh_brt_carcass			False		False	0	False		wh_main_bounce_impact	wh_main_entity_impact			
VariantMeshes/wh_variantmodels/cc1/brt/brt_cow_projectile/brt_cow_projectile_01.rigid_model_v2	carcass	wh_brt_carcass_tower	wh_main_generic_dust_blow	wh_main_weapon_trail_tower_medium	False	animations/battle/cowcarcass01/projectile/cc1_projectile_airborne_01.anim	False	0	False		wh_main_bounce_impact	wh_main_entity_impact	carcass_blood		
VariantMeshes/wh_variantmodels/cc1/brt/brt_cow_projectile/brt_cow_projectile_01.rigid_model_v2	carcass	wh_brt_cow_carcass	wh_main_generic_dust_blow	wh_main_weapon_trail_tower_medium	False	animations/battle/cowcarcass01/projectile/cc1_projectile_airborne_01.anim	False	0	False		wh_main_bounce_impact	wh_main_entity_impact	carcass_blood		
	wh_main_impact_very_small	wh_brt_cow_carcass_debris	empty		False		False	0	False		wh_main_bounce_impact	wh_main_entity_impact			
projectiles\wh_brt_longbow_arrow.rigid_model_v2	arrow	wh_brt_longbow_arrow		wh_main_weapon_trail_arrow_small	False		False	-0.05	False			wh_main_entity_impact			
