quotes_people_tables
0
quote_person_key	quote_person_onscreen
aenarion	Aenarion the Defender
alaric	Alaric, High Theogonist of Sigmar
albert_du_maurier	Albert du Maurier, Chief Farrier to the Carcasonne Stables
albrecht_heinz	Albrecht Heinz, Drakwald Militia
albrecht_of_nuln	Albrecht of Nuln
albrecht_valdorf	Sir Albrecht Valdorf, Preceptor of the Righteous Lance
alexei_zucharov	Alexei Zucharov, Star of Erengrad
allurian	Allurian, Elven War Studies, page 3
ammelie_meyer	Ammelie Meyer, Priestess of Verena
andreas_halldenstadt	Andreas Halldenstadt, Head Scribe at the Great Library of Altdorf
anon	Anonymous
arbaal_the_undefeated	Arbaal the Undefeated, at the Siege of Praag
archaon	Archaon, Lord of the End Times
asteron	Asteron, long-dead monarch of the Dolgars
bagrian	Bagrian, an ancient scholar assassinated by the Skaven. All copies of this quote were destroyed, except this one… as of yet…
behram	Behram Gundarson, Dwarf Skaven-Hunter
belegar_assault	Belegar Ironhammer, King of Karak Eight Peaks, shortly before the main assault
belegar_ironhammer	Belegar Ironhammer, King of Karak Eight Peaks
belegar_preparing	Belegar Ironhammer, King of Karak Eight Peaks, preparing his brave Dawi for the struggle to come
bestiarie	Bestiarie Malificent
bhorgos	Bhorgos Gorehorn, Doombull
bilgarim_whitestar	Lord Bilgarim Whitestar
black_ruyrecht	Black Ruyrecht, veteran of the Vampire Wars
boris_kraus_of_nuln	Boris Kraus of Nuln, Chief Engineer
bort_the_mad	Bort the Mad
branchclimber	Minaith Branchclimber of the Deepwood Scouts
captain_helmur_van_hal	Captain Helmur van Hal, Witch Hunter
celeste_verite_damsel	Celeste Vérité, Damsel of the Lady
charoi	Charoi Everwatcher, Chief Wildwood Ranger
christof_gamboldini	Christof Gamboldini, Official Chronicler of the Vespero's Vendetta Free Company of Tilea
clan_ullek	War cry of Clan Ullek
corbeau	Henri Corbeau, Bretonnian Soldier
danric_hattsvainn	Danric Hattsvainn, Keeper of the Holy Texts of the Cult of Ulric
darthon_ironbeard	Darthon Ironbeard, Dwarflord of the Grey Mountains 
deadeye_drock	Deadeye Drock, Master Gunner
dietrich_mirtis	Dietrich Mirtis, Vampire Count of Vlad's Coven
doom_of_kavzar	From a translation of the Tilean folk tale 'The Doom of Kavzar'
durek_hewstone	Durek Hewstone, Head Prospector, Karaz-a-Karak
durgrim_redman	Durgrim Redman, Dwarf Hammerer
dwarf_engineer	Advice from a Dwarf Master Engineer to an apprentice.
dwarf_proverb	Dwarf proverb
dwarfen_saying	Dwarfen saying
eckhart_blitz	Eckhart Blitz, Captain, Ostermark Garrison
edwalst	Captain Edwalst von Hilde
eglixus	Eglixus, The Executioner of Trechagrad
eisner	The Trial of Helmut Eisner
empire_soldiers_song	Empire Soldiers' Song
eolaran_greyhawk	Eolaran Greyhawk, Seamaster
essen_ford_survivor	Survivor of the Battle of Essen Ford (Nameless)
ethalin	Lord Ethalin of the Pine Crags
fassbinder	Fassbinder the Strong, Halfling Mercenary
festus_the_leechlord	Festus the Leechlord
fleetfoot	Lecai Fleetfoot, Deepwood Scout and would-be philosopher
fontaine	Marc de la Fontaine, Bretonnian historian and Wood Elf expert
frau_wilchers	Frau Wilchers of Unterbaum
fregnus_the_pallid	Fregnus the Pallid
gabber	Gabber, Orc
gialar_kunst	Gialar Kunst, Dwarf Loremaster
gitilla	Gitilla da Hunter, Goblin Wolf Rider raider boss
gnawdwell	Warlord Gnawdwell, Lord of Clan Mors
gorduz_backstabber	Gorduz Backstabber
grail_vow	The Grail Vow
greebitz	Greebitz, Goblin lackey of Warboss Ugg
gregoire	Grégoire du Haut Chateau, Nobleman, Peasant-Hater
gregor_schmidt	Final words of Gregor Schmidt, Sewer Jack Captain
grimgor	Grimgor Ironhide, Black Orc Warboss
grizgutz	Grizgutz Badax, Orc Warlord
gunthar_klaus	Warrior Priest Gunthar Klaus
gurnisson_glorious	Gotrek Gurnisson, former inhabitant of Karak Eight Peaks, speaking of its glorious aspect
gurnisson_inhabitant	Gotrek Gurnisson, former inhabitant of Karak Eight Peaks
haggle_master	Clan Moulder Haggle-Master
herwig_algnar	Extract from 'A Man Among the Elves', by Herwig Algnar
hexoatl	Inscription upon the eastern boundary stone of the temple-city of Hexoatl
horned_rat_lessons	A Fable from the Lessons of the Horned Rat
ingeheim	Witch Hunter von Ingeheim
isabella_von_carstein	Isabella von Carstein
ivan_steinmann	Ivan Steinmann, Quartermaster, Middenland Garrison
jason_le_wallier	Jason le Wallier, Chief Gestour to King Louen Leoncoeur
jellbas_expedition	Extract from Ibn Jellba's Expedtion to Zlatlan, circa. 1150 IC
josef_schneidling	Josef Schneidling, Mercenary
karak_azul	The Karak Azul Book of Grudges
karl_althaus	Karl Althaus, Imperial Pikeman 
kaspar_von_kelten	Kaspar Von Kelten
keress	Keress, Witch Elf
khargar	Khargar, of the Tribe of the Blooded Axe
kleber_reinhard	Kleber Reinhard, Witch Hunter
knightly_vow	The Knight's Vow
knights_vow	The Knight's Vow
konrad_von_carstein	Konrad von Carstein
konrad_von_carstein_last_words	Konrad von Carstein (last words)
kurt_helborg	Kurt Helborg, The Reiksmarshal
lafayette_taureau	Lafayette du Taureau, Commander of the Couronne Garrison.
lancelot_pondrecoq	Lancelot Pondrecoq, Questing Knight
liber_malefic	Liber Malefic, concerning Horrors of Tzeentch
lord_adana	Lord Adana, Swordmaster of Hoeth
lord_huinitenuchli	According to his most senior Skink Priest attendant, these words were said by Lord Huinitenuchli when the first Elves to enter Lustria were brought before him
lord_kroak	Translation from ancient plaques atributed to Venerable Lord Kroak
lord_xltep	Archival transcript of the words of Lord Xltep
