quotes_tables
0
quote_onscreen	quote_person	key
It is better that every High Elf be condemned to hell than that idiot king plague them any longer, kill him, kill him for the good they know nothing of.	malekith	1118757594
Tyrion is the soul of charm. People like him. He knows how to put them at ease.	teclis	1120468241
Take their gold, burn their homes, kill their families and enslave their souls. Show them no mercy.	malekith	112991627
Kill their soldiers, kill their wives, kill their children, they're cattle and livestock but above all, kill with pleasure.	malekith	1194770426
Kill-Kill!	queek	1453233169
Their leader, who was bedecked in feathers, edged towards me. It was I who spoke first: "Salaam, brother, we come in peace!" He spoke to me in his own tongue which I could not understand. It was time to delcare the reason for our entry into his land before they decided to attack us...	jellbas_expedition	15826701
"Attend to the gates!" All present knew what this meant. All knew that this was the one great pressing task to accomplish and that it would take forever.	slann_second	1602391211
The only possible way an attacker can carry one of those accursed stone forts is to advance under the heaviest barrage of missiles possible. This is where the Elf forces archieved their greatest successes; the defenders unable to spread out, are ripe for slaughter beneath a cloud of arrows, and cannot deploy much effective missile fire of their own, hampered by the limited arcs of fire within their walls.	allurian	1871055270
I stood before the gigantic golden statue at last! Here it was, the legendary Golden Serpent, the greatest treasure in all of Lustria. I alone was left alive to see it. How ironic, I thought, that now I had reached the treasure I no longer possessed the means to either break it up or carry it away.I could at least take back a momento...	lustrian_adventure	1871594933
A tale is told of two Skaven, birthkin from the same breeder. While scouting the woods above their home, they encountered a ravenous Minotaur. Wisely, they fled the beast, but it gave chase and pursued them for many miles. "Surely", said the first Skaven, panting, "we cannot-cannot outrun this horrible creature". The second chittered his agreement, "Nor do we have to", he replied. Unsure of his birthkin’s motive, the first Skaven asked, "What do you mean?" By way of response, the second tripped his companion, answering, "I-I only need to outrun you!"	horned_rat_lessons	1939661777
The more we study our inner light, the more profound becomes the outer darkness.	lord_xltep	1981666479
There is wisdom and there is ignorance, and in between are the gateways to eternity through which the Old Ones so long ago passed.	lord_xuatep	2129810176
Grimgor is da greatest!	grimgor	3613
The only good stunty is a dead stunty, and the only thing better than a dead stunty is a dyin’ stunty who tells yer where to find ’is mates.	morglum	3623
Everyfing I see is mine. All da uvver bits are mine too – I just ain’t got there yet. When we reach da end of da world, we’ll turn around an’ march back.	grimgor	3630
I’m gonna stomp ’em to dust. I’m gonna grind their bones. I’m gonna burn down dere towns and cities. I’m gonna pile ’em up inna big fire and roast ’em. I’m gonna bash ’eads, break faces and jump up and down on da bits dat are left. An’ den I’m gonna get really mean.	grimgor	3636
For ten thousand kindred dead we swear vengeance against Grimspike Pass. No peace until the mountain is mined to exhaustion and the rocks of the pass are as dust.	karak_azul	3639
Ere we go, ’ere we go, ’ere we go!	orc	3648
Flank ’em, shoot ’em, hit ’em hard, and then do it again from annuver angle. Of course, if da battle is going bad for our side, I’m gonna keep ridin’ and act like I wuz never there, so yer’d better stick close!	gitilla	3652
If I find out ’oo ate me favourite snottie then there is gonna be sum trouble. I wuz savin’ ’im, I wuz. Ded clever lil’ feller – he could fetchit right quick. ’Course, it wuz never wot I asked fer, but yer could see he wuz eager. Poor lil’ feller.	grizgutz	3661
He snores and eats all our gobbos, but dat big lug is handy in a fight…	orc_giant_quote	3668
I dunno Boss, I tried to give da Shaman yer orders, but da bug-eyed loon is just talkin’ to that skull wand of his. Da funny thing is, Boss… I fink I ’eard it talkin’ back.	greebitz	3677
That which is wrong with the world that we cannot fix with the blades of our axes, we shall surely avenge.	thorgrim	3678
New ideas lead to trouble.	dwarf_engineer	3685
Hold back your fire and let us pass. We have taken the Slayer's Oath and would pit our axes against those beasts. If we come back, have all your ale ready. If, instead, it is our time to take the Path of Grimnir, then may our doom be a mighty one. If we do not return, remember us to our Clans and Kings.	rekthor	3688
...Thou shalt give unto thine glorious liege the taxes that he requires.\nThou shalt labour all but feast days,\nAnd no more than a tenth-share shall you keep for kith and kin.\nRejoice! For a Knight of Bretonnia provides your shield...	peasants_duty	3694
...That which is sacrosanct I shall preserve,\nThat which is sublime I will protect,\nThat which threatens, I will destroy,\nFor my holy wrath will know no bounds...	grail_vow	3701
...I set down my lance, symbol of duty. I spurn those whom I love, I relinquish all, and take up the tools of my quest.\nNo obstacle will stand before me. No plea for help shall find me wanting. No moon will look upon me twice lest I be judged idle.\nI give my body, heart and soul to the Lady whom I seek...	questing_vow	3706
...When the clarion call is sounded, I will ride out and fight in the name of liege and Lady.\nWhilst I draw breath the lands bequeathed unto me will remain untainted by evil.\nHonour is all. Chivalry is all...	knights_vow	3711
Known as the Slayer of Monsters, Gilles fought and killed many of the great beasts that stalked the Massif Orcal, mounting their heads on the walls of his fastness.	virtue_of_heroism	3718
Tales are still told of how Lambard stood alone against hordes of Orcs and saved his dukedom of Carcassonne. Steeled by his bravery, those around him fought with the courage of the Breton himself.	virtue_of_stoicism	3725
Unmatched was Landuin of Mousillon’s skill and prowess. His finesse with blade and lance were beyond compare and his bravery, horsemanship and chivalry above all others. Alas, Mousillon hath faded…	virtue_of_the_ideal	3735
In the glory of the charge was Balduin most alive, and though others more tempered by the fires of war better controlled their ardour, he was ever in the forefront of battle.	virtue_of_the_impetuous_knight	3736
With a heart of stone and resolute temper Beren stood unbowed, and with each sweep of blade and thrust of lance, foeman’s blood would spill.	virtue_of_knightly_temper	3739
Following the loss of his beloved to the curse of a hag, Duke Corduin of L’Anguille became known as the Hermit-Knight. Though when called to arms, he would always return to fight for his beloved King.	virtue_of_the_penitent	3744
A master of the feint and riposte, Agilgar’s skill at turning an enemy’s strength against him is legendary. Many a powerful foe met his demise on the end of Agilgar’s lance.	virtue_of_audacity	3751
Chaste, honourable and untainted by notions of self-aggrandisement, Duke Rademund was one of the Lady’s most virtuous champions, upholding her honour throughout the land.	virtue_of_purity	3758
Most loyal of Companions, brave Duke Thierulf of Lyonesse fought at his liege’s side always, and did lament most painfully when the Breton did fall…	virtue_of_duty	3761
Great was Duke Folgar of Artois’ skill with a lance – none could unhorse him, save perhaps Landuin himself.	virtue_of_the_joust	3769
No matter the odds, Marcus took to the field of battle undaunted by the numberless hordes of his enemies.	virtue_of_discipline	3771
Haughty, proud and skilful, Carleond of Couronne took never a backward step in the face of adversity.	virtue_of_confidence	3780
Though a dozen or more steeds were shot from under him on the battlefield of Aquitaine, Fredemund never lost his contempt for those that eschewed the martial values of meeting one’s foe face-to-face.	virtue_of_noble_disdain	3786
A champion of the common man, Martrud was beloved by those he protected. Wherever he fought, the peasants doubled their efforts and would fight to the death rather than dishonour their Lord.	virtue_of_empathy	3788
I swear by the Zhufbar foundry, but I've tried those new Bronzebeard cannons and they're solid. If you asked me to hit a Giant's eye at a half mile distance I'd have asked you which eye... 'cos I could do it easy.	deadeye_drock	3798
Dum Gribban - Az Baraz Ullekssons-za!\n(Doom is upon you - the Axe Promise of Clan Ullek has come!)	clan_ullek	3802
Yinlinsson Gorug Skuf\n(Clan Yinlinsson has been drinking and is ready to fight!)	yinlinsson	3810
They might look like trappers, and frankly, they smell even worse than that, but when it comes to ridding the mountainsides of Orcs, there are none better!	durek_hewstone	3813
Thwoppa, Thwoppa, Thwoppa - the rhythmic beating of great rotor blades grew in intensity until a squadron of Gyrocopters passed close overhead. Not long after came the whistling drop of ordnance plummeting from on high, followed by a thunderous blast. Then came the hissing of steam guns and the wails of the dying. Our mine was saved - the Aircorp of Zhufbar had arrived!	oldor_greybeard	3816
The gods have seen fit to populate the Old World with all manner of foul monsters. They've also seen fit to grant me a keen eye and a strong bow to hunt them with.	markus_wulfhart	3824
The Siege of Altdorf was my first battle, and damn near my last. See this scar, and this? My empty sleeve, this wooden leg, and this patch where my eye should be?	tobias_gottmann	3826
They might look like an undisciplined rabble to you Sergeant, but a man fights twice as hard when he's defending home and hearth.	edwalst	3833
Reiksguard Knights, your Emperor is calling! Death or glory awaits us, but if we die, we will die as warriors, with swords in hand, and there can be no better death than that.	kurt_helborg	3835
Three things make the Empire great: faith, steel and gunpowder.	magnus	3839
Volkmar. Just look at him. He never wavers and never yields. Some say he never even sleeps. Everything about him is bent to that one great task of holding back the darkness. He can't do it alone, but then again, he doesn't need to, for his sheer resolve inspires men like us to greatness.	albrecht_valdorf	3847
They were already over the walls before the guards knew they were there. The town was destroyed and half the population was carried off to the forest...	albrecht_heinz	3848
By all means, try and stop 'em. I won't stand in your way. Beat them back, chop them down, hold the line, carry the day. Cover yourself in glory, or in guts, it makes no difference to me. Or to the dead, for that matter. You're just postponing the inevitable, lad. Mark my words, they'll get us all in the end.	black_ruyrecht	3860
I did not see - none of us saw. The arrows flew as from the very trees themselves. My men, they fell, and my legs allowed me to escape. Or did they? Their unfailing accuracy leaves only the conclusion they let me escape, so that I would know…	corbeau	3869
No man is born so unnatural that his body does not revolt at the foul pollution of Undead blood. And by these marks can you tell them: by the fangs of the predator, for their thirst for blood and flesh is like that of a vile beast; by their porcelain white skin, cold to the touch and unnatural to the eye; by the glow of their eyes, behind which lives the terrible Hunger. These are the marks of the Vampire.	ingeheim	3876
Fear me, mortals, for I am the Anointed, the Favoured Son of Chaos, the Scourge of the World. The armies of the Gods rally behind me, and it is by my will and by my sword that your weakling nations shall fall.	archaon	3880
Is not the only constant in the universe change? One day all this will be dust, and even the stars above will flicker and grow dim. Your life is but a tiny candle in the darkness, and your death an afterthought, shorn of meaning by its insignificance.\nCome, little one, and let me show you how brightly your flame can burn...	vilitreska	3889
I have been chosen for greatness by the Dark Gods themselves. You, petty mortal, have been chosen only for death.	eglixus	3896
Face me if you dare, stunted whelp, or do you lack even an Elven maid's courage? I thought the Sons of Grungni were great warriors, but perhaps you are no true Dwarf. Indeed, maybe you are instead some breed of bearded Goblin, though in truth I have seen a finer beard on a Troll's back-side.	wulfrick	3906
KILL FOR KHORNE! KILL FOR KHORNE! KILL FOR KHORNE! KILL FOR KHORNE!	scyla	3909
Horrors are Pink, Horrors are Blue. Where once there was one. Now there are two!	liber_malefic	3914
One way or another, child, Chaos will open your eyes. That I promise you.	fregnus_the_pallid	3922
Oh, fecund life! Oh, blissful plague! To be a host to a thousand tiny lives! To be the bearer of a thousand horrid deaths!	festus_the_leechlord	3927
Always remember that von Kessel. Act thoughtfully, act intelligently, and act boldly, but always remember to act!	reiksmarshal_trenkenhoff	3929
And if I hear you publicly doubt yourself again, I will kill you myself.	reiksmarshal_trenkenhoff	3930
If your Emperor demands your service, then you will damn well serve. Or you will hang.	reiksmarshal_trenkenhoff	3940
In Sigmar's name, I will cleanse you from this world!	gunthar_klaus	3947
Less talk. Let your blades speak for you.	warlord_hroth	3949
The Nordland men have been fighting this war long before the Reikland princes took the throne, and we will be fighting here still, long after it slips through their fingers.	theoderic_gausser	3959
Fun. But not so much that I want it to last all night.	mannfred_von_carstein	3969
Well, well. I think I should save you until last, don't you, Dwarf? Let you see your friends die.	mannfred_von_carstein	3972
