ritual_payload_spawn_armies_tables
2
unknown0	unknown1	unknown2	unknown3	unknown4	unknown5
0	0	wh2_main_ritual_lzd_primeval_glory	wh2_main_ritual_lzd_primeval_glory		False
12	0	wh2_main_ritual_intervention_2_hef	wh2_main_ritual_intervention_2_hef	wh2_main_hef_high_elves_intervention	True
19	0	wh2_main_ritual_intervention_3_hef	wh2_main_ritual_intervention_3_hef	wh2_main_hef_high_elves_intervention	True
2	0	wh2_main_ritual_intervention_1_hef	wh2_main_ritual_intervention_1_hef	wh2_main_hef_high_elves_intervention	True
25	0	wh2_main_ritual_intervention_1_def	wh2_main_ritual_intervention_1_def	wh2_main_def_dark_elves_intervention	True
34	0	wh2_main_ritual_intervention_2_def	wh2_main_ritual_intervention_2_def	wh2_main_def_dark_elves_intervention	True
38	0	wh2_main_ritual_intervention_3_def	wh2_main_ritual_intervention_3_def	wh2_main_def_dark_elves_intervention	True
49	0	wh2_main_ritual_intervention_1_lzd	wh2_main_ritual_intervention_1_lzd	wh2_main_lzd_lizardmen_intervention	True
59	0	wh2_main_ritual_intervention_2_lzd	wh2_main_ritual_intervention_2_lzd	wh2_main_lzd_lizardmen_intervention	True
68	0	wh2_main_ritual_intervention_3_lzd	wh2_main_ritual_intervention_3_lzd	wh2_main_lzd_lizardmen_intervention	True
75	0	wh2_main_ritual_intervention_1_skv	wh2_main_ritual_intervention_1_skv	wh2_main_skv_skaven_intervention	True
85	0	wh2_main_ritual_intervention_2_skv	wh2_main_ritual_intervention_2_skv	wh2_main_skv_skaven_intervention	True
88	0	wh2_main_ritual_intervention_3_skv	wh2_main_ritual_intervention_3_skv	wh2_main_skv_skaven_intervention	True
