ritual_payloads_tables
1
unknown0	unknown1
wh2_main_ritual_def_atharti	False
wh2_main_ritual_def_hekarti	False
wh2_main_ritual_def_khaine	False
wh2_main_ritual_def_mathlann	False
wh2_main_ritual_hef_asuryan	False
wh2_main_ritual_hef_hoeth	False
wh2_main_ritual_hef_isha	False
wh2_main_ritual_hef_vaul	False
wh2_main_ritual_intervention_1_def	False
wh2_main_ritual_intervention_1_hef	False
wh2_main_ritual_intervention_1_lzd	False
wh2_main_ritual_intervention_1_skv	False
wh2_main_ritual_intervention_2_def	False
wh2_main_ritual_intervention_2_hef	False
wh2_main_ritual_intervention_2_lzd	False
wh2_main_ritual_intervention_2_skv	False
wh2_main_ritual_intervention_3_def	False
wh2_main_ritual_intervention_3_hef	False
wh2_main_ritual_intervention_3_lzd	False
wh2_main_ritual_intervention_3_skv	False
wh2_main_ritual_lzd_awakening	False
wh2_main_ritual_lzd_ferocity	False
wh2_main_ritual_lzd_primeval_glory	False
wh2_main_ritual_lzd_sotek	False
wh2_main_ritual_skv_ascendancy	False
wh2_main_ritual_skv_doooom	False
wh2_main_ritual_skv_pestilence	False
wh2_main_ritual_skv_thirteen_eshin	False
wh2_main_ritual_skv_thirteen_mors	False
wh2_main_ritual_skv_thirteen_moulder	False
wh2_main_ritual_skv_thirteen_pestilens	False
wh2_main_ritual_skv_thirteen_skyre	False
wh2_main_ritual_vortex_1_def	False
wh2_main_ritual_vortex_1_def_start	True
wh2_main_ritual_vortex_1_hef	False
wh2_main_ritual_vortex_1_hef_start	True
wh2_main_ritual_vortex_1_lzd	False
wh2_main_ritual_vortex_1_lzd_start	True
wh2_main_ritual_vortex_1_skv	False
wh2_main_ritual_vortex_1_skv_start	True
wh2_main_ritual_vortex_2_def	False
wh2_main_ritual_vortex_2_def_start	True
wh2_main_ritual_vortex_2_hef	False
wh2_main_ritual_vortex_2_hef_start	True
wh2_main_ritual_vortex_2_lzd	False
wh2_main_ritual_vortex_2_lzd_start	True
wh2_main_ritual_vortex_2_skv	False
wh2_main_ritual_vortex_2_skv_start	True
wh2_main_ritual_vortex_3_def	False
wh2_main_ritual_vortex_3_def_start	True
wh2_main_ritual_vortex_3_hef	False
wh2_main_ritual_vortex_3_hef_start	True
wh2_main_ritual_vortex_3_lzd	False
wh2_main_ritual_vortex_3_lzd_start	True
wh2_main_ritual_vortex_3_skv	False
wh2_main_ritual_vortex_3_skv_start	True
wh2_main_ritual_vortex_4_def	False
wh2_main_ritual_vortex_4_def_start	True
wh2_main_ritual_vortex_4_hef	False
wh2_main_ritual_vortex_4_hef_start	True
wh2_main_ritual_vortex_4_lzd	False
wh2_main_ritual_vortex_4_lzd_start	True
wh2_main_ritual_vortex_4_skv	False
wh2_main_ritual_vortex_4_skv_start	True
wh2_main_ritual_vortex_5_def	False
wh2_main_ritual_vortex_5_def_start	True
wh2_main_ritual_vortex_5_hef	False
wh2_main_ritual_vortex_5_hef_start	True
wh2_main_ritual_vortex_5_lzd	False
wh2_main_ritual_vortex_5_lzd_start	True
wh2_main_ritual_vortex_5_skv	False
wh2_main_ritual_vortex_5_skv_start	True
