rituals_to_ritual_chains_tables
1
unknown0	unknown1	unknown2
0	wh2_main_ritual_vortex_1_def	wh2_main_ritual_vortex_def
1	wh2_main_ritual_vortex_2_def	wh2_main_ritual_vortex_def
2	wh2_main_ritual_vortex_3_def	wh2_main_ritual_vortex_def
3	wh2_main_ritual_vortex_4_def	wh2_main_ritual_vortex_def
4	wh2_main_ritual_vortex_5_def	wh2_main_ritual_vortex_def
0	wh2_main_ritual_vortex_1_hef	wh2_main_ritual_vortex_hef
1	wh2_main_ritual_vortex_2_hef	wh2_main_ritual_vortex_hef
2	wh2_main_ritual_vortex_3_hef	wh2_main_ritual_vortex_hef
3	wh2_main_ritual_vortex_4_hef	wh2_main_ritual_vortex_hef
4	wh2_main_ritual_vortex_5_hef	wh2_main_ritual_vortex_hef
0	wh2_main_ritual_vortex_1_lzd	wh2_main_ritual_vortex_lzd
1	wh2_main_ritual_vortex_2_lzd	wh2_main_ritual_vortex_lzd
2	wh2_main_ritual_vortex_3_lzd	wh2_main_ritual_vortex_lzd
3	wh2_main_ritual_vortex_4_lzd	wh2_main_ritual_vortex_lzd
4	wh2_main_ritual_vortex_5_lzd	wh2_main_ritual_vortex_lzd
0	wh2_main_ritual_vortex_1_skv	wh2_main_ritual_vortex_skv
1	wh2_main_ritual_vortex_2_skv	wh2_main_ritual_vortex_skv
2	wh2_main_ritual_vortex_3_skv	wh2_main_ritual_vortex_skv
3	wh2_main_ritual_vortex_4_skv	wh2_main_ritual_vortex_skv
4	wh2_main_ritual_vortex_5_skv	wh2_main_ritual_vortex_skv
