settlement_abandoment_buildings_tables
0
unknown0	unknown1
wh_dlc03_GRN-DWF_settlement_major_beastmenruin_coast	wh_dlc03_settlement_abandonment_beastmen
wh_dlc03_GRN-DWF_settlement_major_beastmenruin	wh_dlc03_settlement_abandonment_beastmen
wh_dlc03_GRN-DWF_settlement_minor_beastmenruin_coast	wh_dlc03_settlement_abandonment_beastmen
wh_dlc03_GRN-DWF_settlement_minor_beastmenruin	wh_dlc03_settlement_abandonment_beastmen
wh_dlc03_HUMAN_settlement_major_beastmenruin_coast	wh_dlc03_settlement_abandonment_beastmen
wh_dlc03_HUMAN_settlement_major_beastmenruin	wh_dlc03_settlement_abandonment_beastmen
wh_dlc03_HUMAN_settlement_minor_beastmenruin_coast	wh_dlc03_settlement_abandonment_beastmen
wh_dlc03_HUMAN_settlement_minor_beastmenruin	wh_dlc03_settlement_abandonment_beastmen
wh_dlc03_special_city_altdorf_beastmenruin	wh_dlc03_settlement_abandonment_beastmen
wh_dlc03_special_city_black_crag_beastmenruin	wh_dlc03_settlement_abandonment_beastmen
wh_dlc03_special_city_castle_drakenhof_beastmenruin	wh_dlc03_settlement_abandonment_beastmen
wh_dlc03_special_city_couronne_beastmenruin	wh_dlc03_settlement_abandonment_beastmen
wh_dlc03_special_city_eight_peaks_beastmenruin	wh_dlc03_settlement_abandonment_beastmen
wh_dlc03_special_city_karaz_a_karak_beastmenruin	wh_dlc03_settlement_abandonment_beastmen
wh_dlc03_special_city_kislev_beastmenruin	wh_dlc03_settlement_abandonment_beastmen
wh_dlc03_special_city_miragliano_beastmenruin	wh_dlc03_settlement_abandonment_beastmen
wh_dlc05_wef_settlement_major_main_ruin	wh_settlement_abandonment_chaos
wh_dlc05_wef_settlement_major_ruin_coast	wh_settlement_abandonment_chaos
wh_dlc05_wef_settlement_major_ruin	wh_settlement_abandonment_chaos
wh_dlc05_wef_settlement_minor_ruin_coast	wh_settlement_abandonment_chaos
wh_dlc05_wef_settlement_minor_ruin	wh_settlement_abandonment_chaos
wh_main_HUMAN_outpostnorsca_major_chaosruin_coast	wh_settlement_abandonment_chaos
wh_main_HUMAN_outpostnorsca_major_chaosruin	wh_settlement_abandonment_chaos
wh_main_HUMAN_outpostnorsca_minor_chaosruin_coast	wh_settlement_abandonment_chaos
wh_main_HUMAN_outpostnorsca_minor_chaosruin	wh_settlement_abandonment_chaos
wh_main_HUMAN_settlement_major_chaosruin_coast	wh_settlement_abandonment_chaos
wh_main_HUMAN_settlement_major_chaosruin	wh_settlement_abandonment_chaos
wh_main_HUMAN_settlement_minor_chaosruin_coast	wh_settlement_abandonment_chaos
wh_main_HUMAN_settlement_minor_chaosruin	wh_settlement_abandonment_chaos
wh_main_dwf_grn_settlement_major_chaosruin_coast	wh_settlement_abandonment_chaos
wh_main_dwf_grn_settlement_major_chaosruin	wh_settlement_abandonment_chaos
wh_main_dwf_grn_settlement_minor_chaosruin_coast	wh_settlement_abandonment_chaos
wh_main_dwf_grn_settlement_minor_chaosruin	wh_settlement_abandonment_chaos
wh_main_special_settlement_altdorf_chaosruin	wh_settlement_abandonment_chaos
wh_main_special_settlement_black_crag_chaosruin	wh_settlement_abandonment_chaos
wh_main_special_settlement_castle_drakenhof_chaosruin	wh_settlement_abandonment_chaos
wh_main_special_settlement_couronne_chaosruin	wh_settlement_abandonment_chaos
wh_main_special_settlement_eight_peaks_chaosruin	wh_settlement_abandonment_chaos
wh_main_special_settlement_karaz_a_karak_chaosruin	wh_settlement_abandonment_chaos
wh_main_special_settlement_kislev_chaosruin	wh_settlement_abandonment_chaos
wh_main_special_settlement_miragliano_chaosruin	wh_settlement_abandonment_chaos
