spawnable_force_unit_list_junctions_tables
0
unknown0	unknown1	unknown2	unknown3	unknown4	unknown5	unknown6	unknown7
0	0	15	3	10	0	wh2_main_ritual_lzd_primeval_glory	wh2_main_ritual_lzd_primeval_glory
15	0	19	0	19	0	wh2_main_ritual_intervention_2_hef	wh2_main_ritual_intervention_2_hef
19	0	19	0	19	0	wh2_main_ritual_intervention_3_hef	wh2_main_ritual_intervention_3_hef
35	0	19	0	19	0	wh2_main_ritual_intervention_1_def	wh2_main_ritual_intervention_1_def
40	0	19	0	19	0	wh2_main_ritual_intervention_2_def	wh2_main_ritual_intervention_2_def
44	0	19	0	19	0	wh2_main_ritual_intervention_3_def	wh2_main_ritual_intervention_3_def
47	0	19	0	19	0	wh2_main_ritual_intervention_1_lzd	wh2_main_ritual_intervention_1_lzd
54	0	19	0	19	0	wh2_main_ritual_intervention_2_lzd	wh2_main_ritual_intervention_2_lzd
56	0	19	0	19	0	wh2_main_ritual_intervention_3_lzd	wh2_main_ritual_intervention_3_lzd
59	0	19	0	19	0	wh2_main_ritual_intervention_1_skv	wh2_main_ritual_intervention_1_skv
67	0	19	0	19	0	wh2_main_ritual_intervention_2_skv	wh2_main_ritual_intervention_2_skv
7	0	19	0	19	0	wh2_main_ritual_intervention_1_hef	wh2_main_ritual_intervention_1_hef
73	0	19	0	19	0	wh2_main_ritual_intervention_3_skv	wh2_main_ritual_intervention_3_skv
