special_ability_groups_to_units_junctions_tables
0
ability_group	unit
wh2_main_lore_dark_magic	wh2_main_def_cha_malekith_0
wh2_main_lore_dark_magic	wh2_main_def_cha_malekith_1
wh2_main_lore_dark_magic	wh2_main_def_cha_malekith_2
wh2_main_lore_dark_magic	wh2_main_def_cha_malekith_3
wh2_main_lore_dark_magic	wh2_main_def_cha_sorceress_dark_0
wh2_main_lore_dark_magic	wh2_main_def_cha_sorceress_dark_1
wh2_main_lore_dark_magic	wh2_main_def_cha_sorceress_dark_2
wh2_main_lore_dark_magic	wh2_main_def_cha_sorceress_dark_3
wh2_main_lore_grey_seer_plague	wh2_main_skv_cha_grey_seer_plague_0
wh2_main_lore_grey_seer_plague	wh2_main_skv_cha_grey_seer_plague_1
wh2_main_lore_grey_seer_ruin	wh2_main_skv_cha_grey_seer_ruin_0
wh2_main_lore_grey_seer_ruin	wh2_main_skv_cha_grey_seer_ruin_1
wh2_main_lore_high_magic	wh2_main_hef_cha_mage_high_0
wh2_main_lore_high_magic	wh2_main_hef_cha_mage_high_1
wh2_main_lore_high_magic	wh2_main_hef_cha_mage_high_4
wh2_main_lore_high_magic	wh2_main_lzd_cha_slann_mage_priest_high_0
wh2_main_lore_loremaster	wh2_main_hef_cha_loremaster_of_hoeth_0
wh2_main_lore_morathi	wh2_main_def_cha_morathi_0
wh2_main_lore_morathi	wh2_main_def_cha_morathi_1
wh2_main_lore_plague	wh2_main_skv_cha_lord_skrolk
wh2_main_lore_plague	wh2_main_skv_cha_plague_priest_0
wh2_main_lore_plague	wh2_main_skv_cha_plague_priest_2
wh2_main_lore_ruin	wh2_main_skv_cha_warlock_engineer
wh2_main_lore_skink_priest_avatar	wh2_main_lzd_cha_skink_priest_0_summoned
wh2_main_lore_slann_generic	wh2_main_lzd_cha_slann_mage_priest_campaign_0
wh2_main_lore_slann	wh2_main_lzd_cha_lord_mazdamundi_0
wh2_main_lore_slann	wh2_main_lzd_cha_lord_mazdamundi_1
wh2_main_lore_teclis	wh2_main_hef_cha_teclis_0
wh2_main_lore_teclis	wh2_main_hef_cha_teclis_1
wh_dlc03_lore_beasts	wh2_main_lzd_cha_skink_priest_beasts_0
wh_dlc03_lore_beasts	wh2_main_lzd_cha_skink_priest_beasts_1
wh_dlc03_lore_beasts	wh2_main_lzd_cha_skink_priest_beasts_2
wh_dlc03_lore_beasts	wh2_main_lzd_cha_skink_priest_beasts_3
wh_dlc03_lore_beasts	wh_dlc03_bst_cha_bray_shaman_beasts_0
wh_dlc03_lore_beasts	wh_dlc03_bst_cha_bray_shaman_beasts_1
wh_dlc03_lore_beasts	wh_dlc03_emp_cha_wizard_beasts_0
wh_dlc03_lore_beasts	wh_dlc03_emp_cha_wizard_beasts_1
wh_dlc03_lore_beasts	wh_dlc03_emp_cha_wizard_beasts_2
wh_dlc03_lore_beasts	wh_dlc03_emp_cha_wizard_beasts_3
wh_dlc03_lore_beasts	wh_dlc03_emp_cha_wizard_beasts_4
wh_dlc03_lore_beasts	wh_dlc05_wef_cha_durthu_0
wh_dlc03_lore_beasts	wh_dlc05_wef_cha_spellsinger_beasts_0
wh_dlc03_lore_beasts	wh_dlc05_wef_cha_spellsinger_beasts_1
wh_dlc03_lore_beasts	wh_dlc05_wef_cha_spellsinger_beasts_2
wh_dlc03_lore_beasts	wh_dlc05_wef_cha_spellsinger_beasts_3
wh_dlc03_lore_beasts	wh_dlc07_brt_cha_damsel_beasts_0
wh_dlc03_lore_beasts	wh_dlc07_brt_cha_damsel_beasts_1
wh_dlc03_lore_beasts	wh_dlc07_brt_cha_damsel_beasts_2
wh_dlc03_lore_beasts	wh_dlc07_brt_cha_damsel_beasts_3
wh_dlc03_lore_beasts	wh_dlc07_brt_cha_prophetess_beasts_0
wh_dlc03_lore_beasts	wh_dlc07_brt_cha_prophetess_beasts_1
wh_dlc03_lore_beasts	wh_dlc07_brt_cha_prophetess_beasts_2
wh_dlc03_lore_beasts	wh_dlc07_brt_cha_prophetess_beasts_3
wh_dlc03_lore_wild	wh_dlc03_bst_cha_bray_shaman_wild_0
wh_dlc03_lore_wild	wh_dlc03_bst_cha_bray_shaman_wild_1
wh_dlc03_lore_wild	wh_dlc03_bst_cha_malagor_the_dark_omen_0
wh_dlc04_lore_helman_ghorst	wh_dlc04_vmp_cha_helman_ghorst_0
wh_dlc04_lore_helman_ghorst	wh_dlc04_vmp_cha_helman_ghorst_1
