special_ability_phase_displays_tables
0
unknown0	unknown1	unknown2	unknown3
False	wh_main_generic_banner_debuff	wh2_main_abilities_lure_of_the_pale_queen	wh2_main_abilities_lure_of_the_pale_queen
False	wh2_main_generic_banner_debuff_wom	wh_main_generic_entity_hp_regen	wh2_main_abilities_potion_of_charoi
False		wh2_main_bound_entity_energy_eagle	wh2_main_bound_entity_energy_eagle
False		wh2_main_bound_entity_energy_rat	wh2_main_bound_entity_energy_rat
False	wh_main_generic_banner_buff	wh2_main_abilities_cold_blooded	wh2_main_character_abilities_cold_blooded
False		wh2_main_abilities_aura_of_pestilence	wh2_main_character_passive_aura_of_pestilence
False	wh2_main_abilities_murderous_prowess_banner	wh2_main_abilities_murderous_prowess_entity_buff	wh2_main_faction_abilities_murderous_prowess
False	wh2_main_abilities_murderous_prowess_banner_indicator		wh2_main_faction_abilities_murderous_prowess_indicator
False		wh2_main_generic_entity_buff_speed	wh2_main_generic_buff_speed_passive
False	wh_main_generic_banner_buff	wh2_main_generic_entity_buff_wom	wh2_main_generic_buff_wom
False	wh2_main_generic_banner_buff_wom		wh2_main_generic_buff_wom_banner
False	wh_main_generic_banner_debuff	wh2_main_generic_entity_debuff_wom	wh2_main_generic_debuff_wom
False	wh2_main_generic_banner_debuff_wom		wh2_main_generic_debuff_wom_banner
False	wh_main_generic_banner_buff	wh2_main_abilities_armour_of_the_stars	wh2_main_item_abilities_armour_of_the_stars
False		wh2_main_abilities_billowing_death	wh2_main_mount_passive_billowing_death
False		wh2_main_unit_rebirth_miscast	wh2_main_rebirth_miscast
False	wh2_main_generic_banner_buff_wom	wh2_main_dark_power_of_darkness_entity_buff	wh2_main_spell_dark_magic_power_of_darkness
False	wh_main_generic_banner_debuff	wh2_main_dark_soul_stealer_entity_debuff	wh2_main_spell_dark_magic_soul_stealer
False	wh_main_generic_banner_debuff	wh2_main_dark_word_of_pain_entity_debuff	wh2_main_spell_dark_magic_word_of_pain
False	wh_main_generic_banner_buff	wh2_main_high_apotheosis_entity_buff	wh2_main_spell_high_magic_apothesis
False	wh_main_generic_banner_debuff	wh2_main_high_arcane_unforgiving_entity_debuff	wh2_main_spell_high_magic_arcane_unforgiving
False	wh_main_generic_banner_buff	wh2_main_high_hand_of_glory_entity_buff	wh2_main_spell_high_magic_hand_of_glory
False		wh2_main_high_tempest_entity_debuff	wh2_main_spell_high_magic_tempest
False	wh_main_generic_banner_buff	wh2_main_plague_bless_with_filth_entity_buff	wh2_main_spell_plague_bless_with_filth
False	wh2_main_plague_vermintide_decal		wh2_main_spell_plague_vermintide
False	wh_main_generic_banner_buff	wh2_main_plague_wither_entity_debuff	wh2_main_spell_plague_wither
False	wh_main_generic_banner_buff	wh2_main_ruin_death_frenzy_entity_buff	wh2_main_spell_ruin_death_frenzy
False	wh_main_generic_banner_debuff	wh2_main_ruin_howling_warpgale_entity_debuff	wh2_main_spell_ruin_howling_warpgale
False	wh_main_generic_banner_buff	wh2_main_ruin_skitterleap_entity_buff	wh2_main_spell_ruin_skitterleap
False	wh_main_generic_banner_buff	wh2_main_abilities_concealment_bombs	wh2_main_unit_abilities_concealment_bombs
False	wh_main_generic_banner_debuff		wh2_main_unit_contact_weeping_blade
False	wh_main_generic_banner_buff	wh2_main_abilities_another_takes_its_place	wh2_main_unit_passive_another_takes_its_place
False		wh2_main_unit_rebirth	wh2_main_unit_passive_rebirth
False	wh_main_generic_banner_debuff	wh_dlc03_beasts_flock_of_doom_debuff	wh_dlc03_spell_beast_flock_of_doom
False	wh_main_generic_banner_debuff	wh_dlc03_beasts_flock_of_doom_debuff	wh_dlc03_spell_beasts_flock_of_doom_upgraded
