technology_effects_junction_tables
0
technology	effect	effect_scope	value
tech_chs_branch_1_1	wh_main_effect_tech_recruitment_cost_reduction_marauders	faction_to_force_own_unseen	-15
tech_chs_branch_1_2	wh_main_effect_force_all_campaign_post_battle_loot_mod	faction_to_character_own_unseen	10
tech_chs_branch_1_3	wh_main_effect_force_all_campaign_razing_income	faction_to_faction_own_unseen	10
tech_chs_branch_2_1	wh_main_effect_tech_battle_morale_increase_marauders	faction_to_force_own_unseen	5
tech_chs_branch_2_2	wh_main_effect_tech_unit_xp_levels_marauders	faction_to_character_own_unseen	2
tech_chs_branch_2_3	wh_main_effect_tech_missile_range_marauder_horsemen	faction_to_force_own_unseen	5
tech_chs_branch_2_3	wh_main_effect_tech_movement_speed_increase_chaos_warhounds	faction_to_force_own_unseen	10
tech_chs_branch_2_3	wh_main_effect_tech_movement_speed_increase_marauders	faction_to_force_own_unseen	10
tech_chs_branch_2_4	wh_main_effect_force_all_campaign_razing_income	faction_to_faction_own_unseen	20
tech_chs_branch_3_1	wh_main_effect_tech_battle_morale_increase_chaos_warriors	faction_to_force_own_unseen	5
tech_chs_branch_3_2	wh_main_effect_tech_unit_xp_levels_chaos_warriors	faction_to_character_own_unseen	2
tech_chs_branch_3_3	wh_main_effect_tech_charge_speed_increase_chaos_trolls	faction_to_force_own_unseen	10
tech_chs_branch_3_3	wh_main_effect_tech_melee_attack_increase_chaos_spawns	faction_to_force_own_unseen	5
tech_chs_branch_3_3	wh_main_effect_tech_melee_damage_increase_chaos_spawns	faction_to_force_own_unseen	5
tech_chs_branch_3_3	wh_main_effect_tech_melee_damage_increase_forsaken	faction_to_force_own_unseen	10
tech_chs_branch_3_3	wh_main_effect_tech_melee_defence_increase_chaos_trolls	faction_to_force_own_unseen	5
tech_chs_branch_3_4	wh_main_effect_tech_melee_attack_increase_chaos_warriors_chosen	faction_to_force_own_unseen	5
tech_chs_branch_3_5	wh_main_effect_force_all_campaign_post_battle_loot_mod	faction_to_character_own_unseen	20
tech_chs_branch_4_1	wh_main_effect_tech_battle_morale_increase_chaos_knights_chosen	faction_to_force_own_unseen	5
tech_chs_branch_4_2	wh_main_effect_agent_recruitment_xp_champion_chaos	faction_to_force_own_unseen	2
tech_chs_branch_4_2	wh_main_effect_tech_recruitment_cost_reduction_chaos_warriors	faction_to_force_own_unseen	-10
tech_chs_branch_4_3	wh_main_effect_tech_unit_xp_levels_chaos_knights_chosen	faction_to_character_own_unseen	2
tech_chs_branch_4_4	wh_main_effect_tech_melee_defence_increase_chaos_warriors_knights	faction_to_force_own_unseen	5
tech_chs_branch_4_5	wh_main_effect_agent_movement_range_mod	faction_to_character_own_unseen	10
tech_chs_branch_4_5	wh_main_effect_force_all_campaign_replenishment_rate	faction_to_force_own	5
tech_chs_branch_5_1	wh_main_effect_tech_ammunition_increase_hellcannons	faction_to_force_own_unseen	15
tech_chs_branch_5_1	wh_main_effect_tech_melee_damage_increase_chaos_chariots	faction_to_force_own_unseen	10
tech_chs_branch_5_1	wh_main_effect_tech_missile_rate_of_fire_increase_chaos_hellcannon	faction_to_force_own_unseen	15
tech_chs_branch_5_1	wh_main_effect_tech_recruitment_cost_reduction_chaos_chariots_hellcannons	faction_to_force_own_unseen	-10
tech_chs_branch_5_2	wh_main_effect_tech_armour_increase_chaos_knights_chosen	faction_to_force_own_unseen	5
tech_chs_branch_5_3	wh_main_effect_agent_recruitment_xp_wizard_chaos	faction_to_force_own_unseen	2
tech_chs_branch_5_3	wh_main_effect_tech_recruitment_cost_reduction_chaos_knights_chosen	faction_to_force_own_unseen	-10
tech_chs_branch_5_4	wh_main_effect_tech_melee_attack_increase_chaos_knights	faction_to_force_own_unseen	5
tech_chs_branch_5_4	wh_main_effect_tech_melee_damage_increase_chaos_knights	faction_to_force_own_unseen	10
tech_chs_branch_5_5	wh_main_effect_tech_charge_speed_increase_chs_manticores	faction_to_force_own_unseen	10
tech_chs_branch_5_5	wh_main_effect_tech_melee_attack_increase_dragon_ogre_saggoths	faction_to_force_own_unseen	5
tech_chs_branch_5_5	wh_main_effect_tech_melee_attack_increase_dragon_ogres	faction_to_force_own_unseen	7
tech_chs_branch_5_5	wh_main_effect_tech_melee_damage_increase_chaos_giants	faction_to_force_own_unseen	10
tech_chs_branch_5_5	wh_main_effect_tech_melee_damage_increase_chs_manticores	faction_to_force_own_unseen	10
tech_chs_branch_5_5	wh_main_effect_tech_recruitment_cost_reduction_chaos_giants	faction_to_force_own_unseen	-10
tech_chs_main_1	wh_main_effect_force_all_campaign_replenishment_rate_horde	faction_to_character_own_unseen	5
tech_chs_main_2	wh_main_effect_force_all_campaign_replenishment_rate_horde	faction_to_character_own_unseen	5
tech_chs_main_3	wh_main_effect_force_all_campaign_replenishment_rate_horde	faction_to_character_own_unseen	5
tech_chs_main_4	wh_main_effect_force_all_campaign_replenishment_rate_horde	faction_to_character_own_unseen	5
tech_chs_main_5	wh_main_effect_force_all_campaign_replenishment_rate_horde	faction_to_character_own_unseen	5
tech_def_0_1_0	wh2_main_effect_tech_recruitment_cost_reduction_def_militia	faction_to_force_own_unseen	-5
tech_def_0_1_1	wh2_main_effect_tech_movement_speed_def_militia_corsair	faction_to_force_own_unseen	10
tech_def_0_1_2	wh2_main_effect_tech_unit_xp_levels_def_militia	faction_to_character_own_unseen	2
tech_def_0_1_3	wh2_main_effect_tech_battle_morale_increase_def_militia_corsair_darkrider	faction_to_force_own_unseen	5
tech_def_0_2_0	wh_main_effect_force_all_campaign_post_battle_loot_mod	faction_to_character_own_unseen	10
tech_def_0_2_0	wh_main_effect_force_all_campaign_raid_income	faction_to_force_own_unseen	15
tech_def_0_2_1	wh2_main_effect_tech_upkeep_cost_reduction_def_corsairs	faction_to_force_own_unseen	-5
tech_def_0_2_1	wh_main_effect_force_all_campaign_sacking_income	faction_to_character_own_unseen	20
tech_def_0_2_2	wh2_main_effect_tech_unit_xp_levels_def_corsairs_shades_darkriders	faction_to_character_own_unseen	2
tech_def_0_2_3	wh2_main_effect_character_stat_add_ap_damage_fell_harpies	faction_to_force_own_unseen	2
tech_def_0_2_3	wh2_main_effect_tech_melee_attack_increase_def_harpy	faction_to_force_own_unseen	5
tech_def_0_3_0	wh_main_effect_province_growth_tech	faction_to_province_own	10
tech_def_0_3_1	wh_main_effect_province_growth_tech	faction_to_province_own	15
tech_def_0_3_2	wh_main_effect_economy_gdp_mod_trade_sea	faction_to_region_own_unseen	5
tech_def_0_3_2	wh_main_effect_force_all_campaign_captives	faction_to_force_own_unseen	15
tech_def_0_3_3	wh_main_effect_public_order_tech	faction_to_province_own	1
tech_def_1_0_0	wh_main_effect_blackark_growth_tech	faction_to_force_own_unseen	3
tech_def_1_1_0	wh2_main_effect_tech_melee_damage_increase_def_militia_corsairs	faction_to_force_own_unseen	10
tech_def_1_1_0	wh2_main_effect_tech_missile_damage_increase_def_darkshard_corsairs	faction_to_force_own_unseen	10
tech_def_1_1_1	wh2_main_effect_tech_ammunition_increase_def_boltthrower	faction_to_force_own_unseen	25
tech_def_1_1_1	wh2_main_effect_tech_missile_damage_increase_def_boltthrower	faction_to_force_own_unseen	10
tech_def_1_1_1	wh2_main_effect_tech_missile_rate_of_fire_increase_def_boltthrower	faction_to_force_own_unseen	10
tech_def_1_1_2	wh2_main_effect_tech_melee_damage_increase_def_shades_darkriders	faction_to_force_own_unseen	10
tech_def_1_1_2	wh2_main_effect_tech_missile_rate_of_fire_increase_def_darkrider_shade	faction_to_force_own_unseen	10
tech_def_1_1_2	wh2_main_effect_tech_movement_speed_def_shades_darkriders	faction_to_force_own_unseen	10
tech_def_1_1_3	wh2_main_effect_tech_ammunition_increase_def_crossbows_corsair_darkrider_shade	faction_to_force_own_unseen	20
tech_def_1_1_3	wh2_main_effect_tech_missile_range_increase_def_darkshards_shades_darkrider_corsair	faction_to_force_own_unseen	15
tech_def_1_2_0	wh2_main_effect_tech_movement_speed_def_coldones	faction_to_force_own_unseen	10
tech_def_1_2_1	wh2_main_effect_tech_movement_speed_def_hydra_harpy	faction_to_force_own_unseen	10
tech_def_1_2_2	wh2_main_effect_tech_unit_xp_levels_def_harpy_hydra	faction_to_character_own_unseen	2
tech_def_1_2_3	wh2_main_effect_slave_income_modifier	faction_to_province_own_unseen	10
tech_def_1_2_3	wh_main_effect_technology_economy_gdp_mod_mining_dwarfs	faction_to_region_own_unseen	15
tech_def_1_3_0	wh2_main_effect_economy_gdp_mod_slaves_def	faction_to_region_own_unseen	10
tech_def_1_3_1	wh2_main_effect_building_unit_xp_levels_def_resource_medicine	faction_to_character_own_unseen	2
tech_def_1_3_2	wh_main_effect_technology_economy_gdp_mod_subsistence_dwarfs	faction_to_region_own_unseen	10
tech_def_1_3_3_slaanesh	wh2_main_effect_tech_ward_save_def_witch_elves	faction_to_force_own_unseen	5
tech_def_1_3_3_slaanesh	wh_main_effect_religion_conversion_chaos_technologies	faction_to_faction_own	1
tech_def_1_3_3	wh2_main_effect_tech_ward_save_def_witch_elves	faction_to_force_own_unseen	5
tech_def_1_3_3	wh_main_effect_religion_conversion_untainted_technologies	faction_to_faction_own	1
tech_def_2_0_0	wh_main_effect_blackark_growth_tech	faction_to_force_own_unseen	5
tech_def_2_1_0	wh2_main_effect_tech_unit_xp_levels_def_blackguard	faction_to_character_own_unseen	2
tech_def_2_1_0	wh2_main_effect_tech_unit_xp_levels_def_executioners	faction_to_character_own_unseen	2
tech_def_2_1_1	wh2_main_effect_tech_armour_increase_def_militia	faction_to_force_own_unseen	10
tech_def_2_1_2	wh2_main_effect_tech_armour_increase_def_corsair_shade_darkrider	faction_to_force_own_unseen	10
tech_def_2_1_3	wh2_main_effect_tech_movement_speed_def_elite_inf	faction_to_force_own_unseen	10
tech_def_2_1_3	wh_main_effect_agent_movement_range_mod	faction_to_character_own_unseen	10
tech_def_2_2_0	wh_main_effect_unit_recruitment_points	faction_to_province_own	1
tech_def_2_2_1	wh2_main_effect_tech_recruitment_cost_reduction_def_militia	faction_to_force_own_unseen	-5
tech_def_2_2_1	wh2_main_effect_tech_upkeep_cost_reduction_def_militia	faction_to_force_own_unseen	-5
tech_def_2_2_2	wh2_main_effect_tech_recruitment_cost_reduction_def_shades_darkriders	faction_to_force_own_unseen	-5
tech_def_2_2_2	wh2_main_effect_tech_upkeep_cost_reduction_def_shades_darkriders	faction_to_force_own_unseen	-5
tech_def_2_2_3	wh2_main_effect_tech_recruitment_cost_reduction_def_beasts	faction_to_force_own_unseen	-5
tech_def_2_2_3	wh2_main_effect_tech_upkeep_cost_reduction_def_beasts	faction_to_force_own_unseen	-5
tech_def_2_3_0	wh2_main_effect_character_mod_loyalty_all	faction_to_faction_own_unseen	2
tech_def_2_3_0	wh_main_effect_public_order_tech	faction_to_province_own	1
tech_def_2_3_1	wh2_main_effect_agent_recruitment_xp_def_death_hag	faction_to_province_own_unseen	2
tech_def_2_3_1	wh2_main_effect_agent_recruitment_xp_def_khainite_assassin	faction_to_province_own_unseen	2
tech_def_2_3_1	wh2_main_effect_tech_melee_defence_increase_def_lords_and_heroes	faction_to_force_own_unseen	5
tech_def_2_3_2	wh2_main_effect_diplomacy_bonus_dark_elves_technology	faction_to_faction_own_unseen	10
tech_def_2_3_2	wh2_main_effect_diplomacy_bonus_high_elves_technology	faction_to_faction_own_unseen	10
tech_def_2_3_3	wh2_main_effect_agent_action_hinder_agent_assassinate_buff	faction_to_character_own	5
tech_def_2_3_3	wh2_main_effect_tech_melee_attack_increase_def_lords_and_heroes	faction_to_force_own_unseen	5
tech_def_3_0_0	wh_main_effect_blackark_growth_tech	faction_to_force_own_unseen	8
tech_def_3_1_0	wh2_main_effect_tech_battle_morale_increase_def_elite_inf	faction_to_force_own_unseen	5
tech_def_3_1_1	wh2_main_effect_tech_armour_increase_def_coldones	faction_to_force_own_unseen	5
tech_def_3_1_1	wh2_main_effect_tech_armour_increase_def_executioners_blackguard	faction_to_force_own_unseen	10
tech_def_3_1_2	wh2_main_effect_tech_melee_attack_increase_def_executioners	faction_to_force_own_unseen	5
tech_def_3_1_2	wh2_main_effect_tech_melee_attack_increase_def_witchelves	faction_to_force_own_unseen	5
tech_def_3_1_2	wh2_main_effect_tech_melee_damage_increase_def_executioners	faction_to_force_own_unseen	5
tech_def_3_1_2	wh2_main_effect_tech_melee_damage_increase_def_witchelves	faction_to_force_own_unseen	5
tech_def_3_1_3	wh2_main_effect_tech_melee_damage_increase_def_blackguard	faction_to_force_own_unseen	5
tech_def_3_1_3	wh2_main_effect_tech_melee_damage_increase_def_coldones	faction_to_force_own_unseen	5
tech_def_3_1_3	wh2_main_effect_tech_melee_defence_increase_def_blackguard	faction_to_force_own_unseen	5
tech_def_3_1_3	wh2_main_effect_tech_melee_defence_increase_def_coldones	faction_to_force_own_unseen	5
tech_def_3_2_0	wh2_main_effect_tech_battle_morale_increase_def_beasts	faction_to_force_own_unseen	5
tech_def_3_2_0	wh2_main_effect_tech_battle_morale_increase_def_coldones	faction_to_force_own_unseen	5
tech_def_3_2_1	wh2_main_effect_tech_armour_increase_def_blackdragon	faction_to_force_own_unseen	5
tech_def_3_2_1	wh2_main_effect_tech_melee_damage_increase_def_blackdragon	faction_to_force_own_unseen	10
tech_def_3_2_2	wh2_main_effect_tech_melee_attack_increase_def_hydra	faction_to_force_own_unseen	5
tech_def_3_2_2	wh2_main_effect_tech_melee_defence_increase_def_hydra	faction_to_force_own_unseen	5
tech_def_3_2_3	wh2_main_effect_tech_unit_xp_levels_def_coldones	faction_to_character_own_unseen	2
tech_def_3_3_0	wh2_main_effect_slave_decline_modifier	faction_to_province_own_unseen	-15
tech_def_3_3_0	wh_main_effect_force_army_campaign_ambush_attack_success_chance	faction_to_force_own_unseen	5
tech_def_3_3_1	wh2_main_effect_tech_battle_morale_increase_def_lords_and_heroes	faction_to_force_own_unseen	10
tech_def_3_3_1	wh_main_faction_xp_increase_generals	faction_to_province_own_unseen	2
tech_def_3_3_1	wh_main_faction_xp_increase_generals_hidden	faction_to_force_own_unseen	2
tech_def_3_3_2_slaanesh	wh_main_effect_religion_conversion_chaos_technologies	faction_to_faction_own	1
