technology_required_technology_junctions_tables
0
technology	required_technology
tech_def_1_0_0	tech_def_0_1_0
tech_def_1_0_0	tech_def_0_2_0
tech_def_1_0_0	tech_def_0_3_0
tech_def_2_0_0	tech_def_1_1_0
tech_def_2_0_0	tech_def_1_2_0
tech_def_2_0_0	tech_def_1_3_0
tech_def_3_0_0	tech_def_2_1_0
tech_def_3_0_0	tech_def_2_2_0
tech_def_3_0_0	tech_def_2_3_0
tech_hef_4_01	tech_hef_4_00
tech_hef_4_02	tech_hef_4_00
tech_hef_4_03	tech_hef_4_00
tech_hef_4_04	tech_hef_4_00
tech_hef_4_05	tech_hef_4_00
tech_hef_4_06	tech_hef_4_00
tech_hef_4_07	tech_hef_4_00
tech_hef_4_08	tech_hef_4_00
tech_hef_4_09	tech_hef_4_00
tech_hef_4_10	tech_hef_4_00
tech_hef_4_11	tech_hef_4_00
tech_hef_4_12	tech_hef_4_00
