ui_colour_profile_colour_overrides_tables
0
unknown0	green	blue	ui_colour_profile	red
alliance_ally	153	64	deuteranopia	54
alliance_enemy	48	78	deuteranopia	179
alliance_player	203	171	deuteranopia	206
dip_attitude_0	48	78	deuteranopia	179
dip_attitude_1	48	78	deuteranopia	179
dip_attitude_2	48	78	deuteranopia	179
dip_attitude_3	153	64	deuteranopia	54
dip_attitude_4	203	171	deuteranopia	206
dip_attitude_5	203	171	deuteranopia	206
dip_attitude_6	203	181	deuteranopia	206
fatigue_active	203	171	deuteranopia	206
fatigue_exhausted	48	78	deuteranopia	179
fatigue_fresh	203	171	deuteranopia	206
fatigue_tired	48	78	deuteranopia	179
fatigue_very_tired	48	78	deuteranopia	179
fatigue_winded	153	64	deuteranopia	54
green	203	171	deuteranopia	206
morale_broken	0	0	deuteranopia	0
morale_confident	203	171	deuteranopia	206
morale_eager	203	171	deuteranopia	206
morale_impetuous	203	171	deuteranopia	206
morale_shaken	48	78	deuteranopia	179
morale_shattered	0	0	deuteranopia	0
morale_steady	203	171	deuteranopia	206
morale_wavering	48	78	deuteranopia	179
red	48	78	deuteranopia	179
alliance_ally	245	142	protanopia	80
alliance_enemy	86	117	protanopia	126
alliance_player	1	181	protanopia	206
dip_attitude_0	86	117	protanopia	126
dip_attitude_1	86	117	protanopia	126
dip_attitude_2	86	117	protanopia	126
dip_attitude_3	245	142	protanopia	80
dip_attitude_4	1	181	protanopia	206
dip_attitude_5	1	181	protanopia	206
dip_attitude_6	1	181	protanopia	206
fatigue_active	1	181	protanopia	206
fatigue_exhausted	86	117	protanopia	126
fatigue_fresh	1	181	protanopia	206
fatigue_tired	86	117	protanopia	126
fatigue_very_tired	86	117	protanopia	126
fatigue_winded	245	142	protanopia	80
green	1	181	protanopia	206
morale_confident	1	181	protanopia	206
morale_eager	1	181	protanopia	206
morale_impetuous	1	181	protanopia	206
morale_shaken	86	117	protanopia	126
morale_steady	1	181	protanopia	206
morale_wavering	86	117	protanopia	126
red	86	117	protanopia	126
alliance_ally	175	154	tritanopia	2
alliance_enemy	74	70	tritanopia	206
alliance_player	212	194	tritanopia	111
dip_attitude_0	74	70	tritanopia	206
dip_attitude_1	74	70	tritanopia	206
dip_attitude_2	74	70	tritanopia	206
dip_attitude_3	175	154	tritanopia	2
dip_attitude_4	212	194	tritanopia	111
dip_attitude_5	212	194	tritanopia	111
dip_attitude_6	212	194	tritanopia	111
fatigue_active	212	194	tritanopia	111
fatigue_exhausted	74	70	tritanopia	206
fatigue_fresh	212	194	tritanopia	111
fatigue_tired	74	70	tritanopia	206
fatigue_very_tired	74	70	tritanopia	206
fatigue_winded	175	154	tritanopia	2
green	212	194	tritanopia	111
morale_confident	212	194	tritanopia	111
morale_eager	212	194	tritanopia	111
morale_impetuous	212	194	tritanopia	111
morale_shaken	74	70	tritanopia	206
morale_steady	212	194	tritanopia	111
morale_wavering	74	70	tritanopia	206
red	74	70	tritanopia	206
