ui_tagged_images_tables
0
key	image_path
UI/Flags/wh_main_brt_artois/mon_24.png	brt_artois
UI/Flags/wh_main_brt_bastonne/mon_24.png	brt_bastonne
UI/Flags/wh_main_brt_bordeleaux/mon_24.png	brt_bordeleaux
UI/Flags/wh_main_brt_bretonnia/mon_24.png	brt_bretonnia
UI/Flags/wh_main_brt_carcassonne/mon_24.png	brt_carcassonne
UI/Flags/wh_main_brt_lyonesse/mon_24.png	brt_lyonesse
UI/Flags/wh_main_vmp_mousillon/mon_24.png	brt_mousillon
UI/Flags/wh_main_brt_parravon/mon_24.png	brt_parravon
UI/Frontend UI/faction_bullets/bullet_brt_chivalry.png	bullet_brt_chivalry
UI/Frontend UI/faction_bullets/bullet_brt_peasants.png	bullet_brt_peasants
UI/Frontend UI/faction_bullets/bullet_brt_units.png	bullet_brt_units
UI/Frontend UI/faction_bullets/bullet_bst_beastpaths.png	bullet_bst_beastpath
UI/Frontend UI/faction_bullets/bullet_bst_the_dark_moon.png	bullet_bst_moon
UI/Frontend UI/faction_bullets/bullet_bst_units.png	bullet_bst_units
UI/Frontend UI/faction_bullets/bullet_chs_awaken_tribes.png	bullet_chs_awaken
UI/Frontend UI/faction_bullets/bullet_chs_corruption.png	bullet_chs_corruption
UI/Frontend UI/faction_bullets/bullet_chs_units.png	bullet_chs_units
UI/Frontend UI/faction_bullets/bullet_def_black_arks.png	bullet_def_black_arks
UI/Frontend UI/faction_bullets/bullet_def_murderous_prowess.png	bullet_def_murderous_prowess
UI/Frontend UI/faction_bullets/bullet_def_slaves.png	bullet_def_slaves
UI/Frontend UI/faction_bullets/bullet_dwf_angrund_ancestors.png	bullet_dwf_ancestors
UI/Frontend UI/faction_bullets/bullet_dwf_grudges.png	bullet_dwf_grudges
UI/Frontend UI/faction_bullets/bullet_dwf_underway.png	bullet_dwf_underway
UI/Frontend UI/faction_bullets/bullet_dwf_units.png	bullet_dwf_units
UI/Frontend UI/faction_bullets/bullet_emp_colleges_of_magic.png	bullet_emp_magic
UI/Frontend UI/faction_bullets/bullet_emp_offices.png	bullet_emp_offices
UI/Frontend UI/faction_bullets/bullet_emp_units.png	bullet_emp_units
UI/Frontend UI/faction_bullets/bullet_grn_eight_peaks.png	bullet_grn_karak
UI/Frontend UI/faction_bullets/bullet_grn_savage_orcs.png	bullet_grn_savage
UI/Frontend UI/faction_bullets/bullet_grn_units.png	bullet_grn_units
UI/Frontend UI/faction_bullets/bullet_grn_waaagh.png	bullet_grn_waaagh
UI/Frontend UI/faction_bullets/bullet_hef_espionage.png	bullet_hef_espionage
UI/Frontend UI/faction_bullets/bullet_hef_intrigue.png	bullet_hef_intrigue
UI/Frontend UI/faction_bullets/bullet_hef_martial_prowess.png	bullet_hef_martial_prowess
UI\skins\default\marker_look_at.png	bullet_look_at
UI/Frontend UI/faction_bullets/bullet_lzd_beasts.png	bullet_lzd_beasts
UI/Frontend UI/faction_bullets/bullet_lzd_geomantic_web.png	bullet_lzd_geomantic_web
UI/Frontend UI/faction_bullets/bullet_lzd_spawning.png	bullet_lzd_spawning
ui/skins/default/bullet_point.png	bullet_point
UI/Frontend UI/faction_bullets/bullet_skv_food.png	bullet_skv_food
UI/Frontend UI/faction_bullets/bullet_skv_trust_in_numbers.png	bullet_skv_trust_in_numbers
UI/Frontend UI/faction_bullets/bullet_skv_underworld.png	bullet_skv_underway
UI/Frontend UI/faction_bullets/bullet_vmp_corruption.png	bullet_vmp_corruption
UI/Frontend UI/faction_bullets/bullet_vmp_raise_dead.png	bullet_vmp_dead
UI/Frontend UI/faction_bullets/bullet_vmp_love.png	bullet_vmp_love
UI/Frontend UI/faction_bullets/bullet_vmp_units.png	bullet_vmp_units
UI/Frontend UI/faction_bullets/bullet_wef_amber.png	bullet_wef_amber
UI/Frontend UI/faction_bullets/bullet_wef_council.png	bullet_wef_council
UI/Frontend UI/faction_bullets/bullet_wef_tree_council.png	bullet_wef_tree_council
UI/Frontend UI/faction_bullets/bullet_wef_units.png	bullet_wef_units
UI/Frontend UI/faction_bullets/bullet_wef_units_monstrous.png	bullet_wef_units_monstrous
UI/Frontend UI/faction_bullets/bullet_wef_worldroots.png	bullet_wef_worldroots
ui/skins/default/icon_navy.png	icon_admiral
ui/skins/default/icon_amber.png	icon_amber
ui/skins/default/icon_stance_ambush.png	icon_ambush_stance
ui/skins/default/icon_stat_ammo.png	icon_ammo
ui/skins/default/modifier_icon_armour_piercing.png	icon_ap
ui/skins/default/modifier_icon_armour_piercing_ranged.png	icon_ap_ranged
ui/skins/default/icon_stat_armour.png	icon_armour
ui/skins/default/ua_arrow_decrease_1.png	icon_arrow_down
ui/skins/default/ua_arrow_increase_1.png	icon_arrow_up
ui/skins/default/ua_arrow_increase_2.png	icon_arrow_up_double
ui/skins/default/ua_winds_of_magic_upgraded_icon.png	icon_arrow_upgrade
ui/skins/default/icon_stance_astromancy.png	icon_astromancy_stance
ui/skins/default/replenish_icon_attrition.png	icon_attrition
ui/skins/default/icon_raise_dead_small.png	icon_battle_site
UI\skins\wh_dlc03_bst_beastmen\icon_army_morale.png	icon_bestial_rage
ui/skins/default/icon_stat_charge_bonus.png	icon_charge
ui/skins/wh_main_brt_bretonnia/icon_food.png	icon_chivalry
ui/skins/default/treaty_confederation.png	icon_confederation
ui/skins/default/icon_corruption_chs.png	icon_corruption_chs
ui/skins/default/icon_corruption_skv.png	icon_corruption_skv
ui/skins/default/icon_corruption_untainted.png	icon_corruption_untainted
ui/skins/default/icon_corruption_vmp.png	icon_corruption_vmp
ui/skins/default/treaty_defensive_alliance.png	icon_defensive_alliance
ui/skins/default/modifier_icon_flaming.png	icon_dmg_flaming
ui/skins/default/modifier_icon_magical.png	icon_dmg_magical
UI/Campaign UI/Effect_bundles/archer.png	icon_effect_archer
UI/Campaign UI/Effect_bundles/army.png	icon_effect_army
ui/Campaign UI/Effect_bundles/campaign_movement.png	icon_effect_campaign_movement
UI/Campaign UI/Effect_bundles/military_spending.png	icon_effect_cash
UI/Campaign UI/Effect_bundles/charge.png	icon_effect_charge
UI/Campaign UI/Effect_bundles/construction.png	icon_effect_construction
UI/Campaign UI/Effect_bundles/agent.png	icon_effect_hero
UI/Campaign UI/Effect_bundles/morale.png	icon_effect_morale
UI/Campaign UI/Effect_bundles/treasury.png	icon_effect_treasury
UI/Campaign UI/Effect_bundles/warrior_priest.png	icon_effect_warrior_priest
UI/Campaign UI/Effect_bundles/weapon_damage.png	icon_effect_weapon_damage
UI/Campaign UI/Effect_bundles/wizard.png	icon_effect_wizard
ui/skins/default/icon_stance_encamp.png	icon_encamp_stance
ui/skins/default/icon_army_morale.png	icon_fightiness
ui/skins/default/icon_food.png	icon_food
ui/skins/default/icon_army.png	icon_general
UI/Common UI/unit_category_icons/wh_dlc07_brt_green_knight.png	icon_green_knight
ui/skins/default/icon_growth.png	icon_growth
ui/skins/default/icon_agent_small.png	icon_hero
ui/skins/default/icon_stance_encamp.png	icon_hidden_encampment
ui/skins/default/icon_stat_health_noframe_16px.png	icon_hp
ui/skins/default/icon_income_plus.png	icon_income
ui/skins/wh_main_chs_chaos/icon_income_plus.png	icon_income_chs
ui/skins/wh_main_vmp_vampire_counts/icon_income_plus.png	icon_income_vmp
ui/skins/default/icon_intrigue.png	icon_influence
ui/skins/default/icon_fealty_high.png	icon_loyalty
ui/skins/default/icon_stance_march.png	icon_march_stance
ui/skins/default/icon_stat_attack.png	icon_melee_attack
ui/skins/default/icon_stat_damage.png	icon_melee_damage
ui/skins/default/icon_stat_defence.png	icon_melee_defence
ui/skins/default/treaty_military_access.png	icon_military_access
ui/skins/default/treaty_military_alliance.png	icon_military_alliance
ui/skins/default/icon_income.png	icon_money
ui/skins/wh_main_chs_chaos/icon_income.png	icon_money_chs
ui/skins/wh_main_vmp_vampire_counts/icon_income.png	icon_money_vmp
ui/skins/default/icon_stat_morale.png	icon_morale
ui/skins/default/treaty_non_aggression_pact.png	icon_non-aggression_pact
UI\Battle UI\ADC_icons\warhammer2\icon_capture_point.png	icon_objectives_victory
ui/skins/default/icon_governor.png	icon_overseer
ui/skins/default/icon_plague.png	icon_plague
ui/skins/default/icon_pop_surplus.png	icon_pop_surplus
ui/skins/default/icon_politician.png	icon_protagonist
ui/skins/default/icon_public_order_neutral.png	icon_public_order
ui/skins/default/icon_stance_raiding.png	icon_raiding_stance
ui/skins/default/icon_stat_range.png	icon_range
ui/skins/default/icon_replenish.png	icon_replenishment
ui/skins/default/icon_reputation_normal.png	icon_reputation
ui/Battle UI/ability_icons/resistance_ward_save.png	icon_resistance_all
ui/Battle UI/ability_icons/resistance_fire.png	icon_resistance_fire
ui/Battle UI/ability_icons/resistance_magic.png	icon_resistance_magic
ui/Battle UI/ability_icons/resistance_missile.png	icon_resistance_missile
ui/Battle UI/ability_icons/resistance_physical.png	icon_resistance_physical
ui/campaign ui/effect_bundles/resource_grain.png	icon_resource_pastures
ui\campaign ui\effect_bundles\resource_vortex_site.png	icon_resource_ritual_site
ui/skins/default/1x1_transparent_white.png	icon_rite_dummy
ui/skins/default/icon_ritual_currency.png	icon_ritual_currency
ui/skins/default/modifier_icon_shield.png	icon_shield
ui/skins/default/skaven_food_icon.png	icon_skaven_food
ui/skins/default/icon_slaves.png	icon_slaves
ui/skins/default/icon_stat_speed.png	icon_speed
ui/skins/default/icon_stance_stalking.png	icon_stalking_stance
ui/skins/default/treaty_trade_agreement.png	icon_trade_agreement
ui/skins/default/icon_treasury.png	icon_treasury
ui/skins/wh_main_chs_chaos/icon_treasury.png	icon_treasury_chs
ui/skins/wh_main_vmp_vampire_counts/icon_treasury.png	icon_treasury_vmp
ui/skins/default/icon_stance_use_underway.png	icon_tunnelling_stance
ui/skins/default/icon_stance_use_beastpaths.png	icon_use_beastpaths_stance
ui/skins/default/treaty_vassal.png	icon_vassal
ui/skins/default/icon_magic_pool.png	icon_wom_power
