ui_tooltip_components_tables
2
child_id	icon_path	ui_tooltip	state_name	is_visible
description		test_effect_list_tooltip		True
entry1	placeholder	test_effect_list_tooltip		True
entry2	placeholder	test_effect_list_tooltip		True
entry3	placeholder	test_effect_list_tooltip		True
title		test_effect_list_tooltip		True
icon_with_text	placeholder	test_quit_game_tooltip		True
entry1	bullet_point_white	test_title_list_and_footer_tooltip		True
entry2	bullet_point_white	test_title_list_and_footer_tooltip		True
entry3	bullet_point_white	test_title_list_and_footer_tooltip		True
footer		test_title_list_and_footer_tooltip		True
title		test_title_list_and_footer_tooltip		True
text		tooltip_how_to_play_title		True
