ui_unit_bullet_points_generations_tables
0
bullet_point_enum	unknown1	text_override	unit_class	unit_stat	unit_stat_threshold
att_very_poor	False		art_fld	scalar_missile_damage_base	0.49
att_poor	False		art_fld	scalar_missile_damage_base	0.5
att_average_negative	False		art_fld	scalar_missile_damage_base	0.75
att_good	False		art_fld	scalar_missile_damage_base	1.25
att_excellent	False		art_fld	scalar_missile_damage_base	1.5
att_very_poor	False		art_fld	scalar_speed	0.49
att_poor	False		art_fld	scalar_speed	0.5
att_average_negative	False		art_fld	scalar_speed	0.75
att_good	False		art_fld	scalar_speed	1.25
att_excellent	False		art_fld	scalar_speed	1.5
att_low	False		art_fld	stat_ammo	0.49
att_low	False		art_fld	stat_ammo	0.5
att_average_negative	False		art_fld	stat_ammo	0.75
att_high	False		art_fld	stat_ammo	1.25
att_high	False		art_fld	stat_ammo	1.5
att_very_poor	False		art_fld	stat_morale	0.49
att_poor	False		art_fld	stat_morale	0.5
att_average_negative	False		art_fld	stat_morale	0.75
att_good	False		art_fld	stat_morale	1.25
att_excellent	False		art_fld	stat_morale	1.5
att_very_poor	False		art_fld	stat_reloading	0.49
att_poor	False		art_fld	stat_reloading	0.5
att_average_negative	False		art_fld	stat_reloading	0.75
att_good	False		art_fld	stat_reloading	1.25
att_excellent	False		art_fld	stat_reloading	1.5
att_very_poor	False		art_fld	stat_spotting_forest	0.49
att_poor	False		art_fld	stat_spotting_forest	0.5
att_average_negative	False		art_fld	stat_spotting_forest	0.75
att_good	False		art_fld	stat_spotting_forest	1.25
att_excellent	False		art_fld	stat_spotting_forest	1.5
att_very_poor	False		cav_mel	scalar_speed	0.49
att_poor	False		cav_mel	scalar_speed	0.5
att_average_negative	False		cav_mel	scalar_speed	0.75
att_good	False		cav_mel	scalar_speed	1.25
att_excellent	False		cav_mel	scalar_speed	1.5
att_average_positive	False	ranged_attack	cav_mel	stat_ammo	0
att_very_poor	False		cav_mel	stat_armour	0.49
att_poor	False		cav_mel	stat_armour	0.5
att_average_negative	False		cav_mel	stat_armour	0.75
att_good	False		cav_mel	stat_armour	1.25
att_excellent	False		cav_mel	stat_armour	1.5
att_very_poor	False		cav_mel	stat_bonus_vs_cavalry	0.49
att_poor	False		cav_mel	stat_bonus_vs_cavalry	0.5
att_average_negative	False		cav_mel	stat_bonus_vs_cavalry	0.75
att_good	False		cav_mel	stat_bonus_vs_cavalry	1.25
att_excellent	False		cav_mel	stat_bonus_vs_cavalry	1.5
att_very_poor	False		cav_mel	stat_charge_bonus	0.49
att_poor	False		cav_mel	stat_charge_bonus	0.5
att_average_positive	False		cav_mel	stat_charge_bonus	0.75
att_good	False		cav_mel	stat_charge_bonus	1.25
att_excellent	False		cav_mel	stat_charge_bonus	1.5
att_very_poor	False		cav_mel	stat_missile_block_chance	0.49
att_poor	False		cav_mel	stat_missile_block_chance	0.5
att_average_positive	False		cav_mel	stat_missile_block_chance	0.75
att_good	False		cav_mel	stat_missile_block_chance	1.5
att_excellent	False		cav_mel	stat_missile_block_chance	2
att_very_poor	False		cav_mel	stat_morale	0.49
att_poor	False		cav_mel	stat_morale	0.5
att_average_negative	False		cav_mel	stat_morale	0.75
att_good	False		cav_mel	stat_morale	1.25
att_excellent	False		cav_mel	stat_morale	1.5
att_very_poor	False		cav_mel	stat_spotting_forest	0.49
att_poor	False		cav_mel	stat_spotting_forest	0.5
att_average_negative	False		cav_mel	stat_spotting_forest	0.75
att_good	False		cav_mel	stat_spotting_forest	1.25
att_excellent	False		cav_mel	stat_spotting_forest	1.5
att_very_poor	False		cav_mis	scalar_missile_damage_ap	0.49
att_poor	False		cav_mis	scalar_missile_damage_ap	0.5
att_average_negative	False		cav_mis	scalar_missile_damage_ap	0.75
att_good	False		cav_mis	scalar_missile_damage_ap	1.25
att_excellent	False		cav_mis	scalar_missile_damage_ap	1.5
att_very_poor	False		cav_mis	scalar_missile_range	0.49
att_poor	False		cav_mis	scalar_missile_range	0.5
att_average_negative	False		cav_mis	scalar_missile_range	0.75
att_good	False		cav_mis	scalar_missile_range	1.25
att_excellent	False		cav_mis	scalar_missile_range	1.5
att_very_poor	False		cav_mis	scalar_speed	0.49
att_poor	False		cav_mis	scalar_speed	0.5
att_average_negative	False		cav_mis	scalar_speed	0.75
att_good	False		cav_mis	scalar_speed	1.25
att_excellent	False		cav_mis	scalar_speed	1.5
att_low	False		cav_mis	stat_ammo	0.49
att_low	False		cav_mis	stat_ammo	0.5
att_average_negative	False		cav_mis	stat_ammo	0.75
att_high	False		cav_mis	stat_ammo	1.25
att_high	False		cav_mis	stat_ammo	1.5
att_very_poor	False		cav_mis	stat_armour	0.49
att_poor	False		cav_mis	stat_armour	0.5
att_average_negative	False		cav_mis	stat_armour	0.75
att_good	False		cav_mis	stat_armour	1.25
att_excellent	False		cav_mis	stat_armour	1.5
att_very_poor	False		cav_mis	stat_charge_bonus	0.49
att_poor	False		cav_mis	stat_charge_bonus	0.5
att_average_positive	False		cav_mis	stat_charge_bonus	0.75
att_good	False		cav_mis	stat_charge_bonus	1.25
att_excellent	False		cav_mis	stat_charge_bonus	1.5
att_very_poor	False		cav_mis	stat_missile_block_chance	0.49
att_poor	False		cav_mis	stat_missile_block_chance	0.5
