ui_unit_stat_to_classes_tables
4
stat_key	unit_class	list_order	filter	unknown4
scalar_missile_range	art_fix	10	none	600
scalar_missile_range	art_fld	10	none	600
scalar_missile_range	art_siege	10	none	600
scalar_missile_range	cav_mel	10	none	600
scalar_missile_range	cav_mis	10	none	600
scalar_missile_range	cav_shk	10	none	600
scalar_missile_range	chariot	10	none	600
scalar_missile_range	com	10	none	600
scalar_missile_range	inf_mel	10	none	600
scalar_missile_range	inf_mis	10	none	600
scalar_missile_range	inf_spr	10	none	600
scalar_missile_range	spcl	10	none	600
scalar_speed	art_fix	4	none	100
scalar_speed	art_fld	4	none	100
scalar_speed	art_siege	4	none	100
scalar_speed	cav_mel	4	none	100
scalar_speed	cav_mis	4	none	100
scalar_speed	cav_shk	4	none	100
scalar_speed	chariot	4	none	100
scalar_speed	com	4	none	100
scalar_speed	inf_mel	4	none	100
scalar_speed	inf_mis	4	none	100
scalar_speed	inf_spr	4	none	100
scalar_speed	shp_art	10	none	5
scalar_speed	shp_mel	10	none	5
scalar_speed	shp_mis	10	none	5
scalar_speed	shp_trn	10	none	5
scalar_speed	spcl	4	none	100
stat_ammo	art_fix	9	none	50
stat_ammo	art_fld	9	none	50
stat_ammo	art_siege	9	none	50
stat_ammo	cav_mel	9	none	50
stat_ammo	cav_mis	9	none	50
stat_ammo	cav_shk	9	none	50
stat_ammo	chariot	9	none	50
stat_ammo	com	9	none	50
stat_ammo	inf_mel	9	none	50
stat_ammo	inf_mis	9	none	50
stat_ammo	inf_spr	9	none	50
stat_ammo	shp_art	13	none	14
stat_ammo	shp_mel	13	none	2
stat_ammo	shp_mis	13	none	14
stat_ammo	shp_trn	13	none	2
stat_ammo	spcl	9	none	100
stat_armour	art_fix	2	none	200
stat_armour	art_fld	2	none	200
stat_armour	art_siege	2	none	200
stat_armour	cav_mel	2	none	200
stat_armour	cav_mis	2	none	200
stat_armour	cav_shk	2	none	200
stat_armour	chariot	2	none	200
stat_armour	com	2	none	200
stat_armour	inf_mel	2	none	200
stat_armour	inf_mis	2	none	200
stat_armour	inf_spr	2	none	200
stat_armour	shp_art	7	none	32
stat_armour	shp_mel	7	none	32
stat_armour	shp_mis	7	none	32
stat_armour	shp_trn	7	none	32
stat_armour	spcl	2	none	200
stat_charge_bonus	art_fix	8	none	100
stat_charge_bonus	art_fld	8	none	100
stat_charge_bonus	art_siege	8	none	100
stat_charge_bonus	cav_mel	8	none	100
stat_charge_bonus	cav_mis	8	none	100
stat_charge_bonus	cav_shk	8	none	100
stat_charge_bonus	chariot	8	none	100
stat_charge_bonus	com	8	none	100
stat_charge_bonus	inf_mel	8	none	100
stat_charge_bonus	inf_mis	8	none	100
stat_charge_bonus	inf_spr	8	none	100
stat_charge_bonus	spcl	8	none	100
stat_health	art_fix	0	none	8000
stat_health	art_fld	0	none	8000
stat_health	art_siege	0	none	8000
stat_health	cav_mel	0	none	8000
stat_health	cav_mis	0	none	8000
stat_health	cav_shk	0	none	8000
stat_health	chariot	0	none	8000
stat_health	com	0	none	8000
stat_health	inf_mel	0	none	8000
stat_health	inf_mis	0	none	8000
stat_health	inf_spr	0	none	8000
stat_health	shp_art	0	none	52
stat_health	shp_mel	0	none	52
stat_health	shp_mis	0	none	52
stat_health	shp_trn	0	none	52
stat_health	spcl	0	none	8000
stat_melee_attack	art_fix	5	none	100
stat_melee_attack	art_fld	5	none	100
stat_melee_attack	art_siege	5	none	100
stat_melee_attack	cav_mel	5	none	100
stat_melee_attack	cav_mis	5	none	100
stat_melee_attack	cav_shk	5	none	100
stat_melee_attack	chariot	5	none	100
stat_melee_attack	com	5	none	100
stat_melee_attack	inf_mel	5	none	100
stat_melee_attack	inf_mis	5	none	100
