ui_unit_stats_tables
9
key	max_value	campaign_only	sort_order	localisation	icon
scalar_bracing	10	False	0	scalar_bracing	ui/skins/default/placeholder.png
scalar_charge_speed	100	False	10	scalar_charge_speed	ui/skins/default/icon_stat_speed.png
scalar_entity_acceleration_modifier	10	False	0	scalar_entity_acceleration_modifier	ui/skins/default/placeholder.png
scalar_entity_deceleration_modifier	10	False	0	scalar_entity_deceleration_modifier	ui/skins/default/placeholder.png
scalar_miscast_chance	100	False	10	scalar_miscast_chance	ui/skins/default/placeholder.png
scalar_missile_damage_ap	25	False	0	scalar_missile_damage_ap	ui/skins/default/placeholder.png
scalar_missile_damage_base	350	False	10	scalar_missile_damage_base	ui/skins/default/icon_stat_ranged_damage.png
scalar_missile_explosion_damage_ap	400	False	0	scalar_missile_explosion_damage_ap	ui/skins/default/placeholder.png
scalar_missile_explosion_damage_base	400	False	0	scalar_missile_explosion_damage_base	ui/skins/default/placeholder.png
scalar_missile_range	200	False	7	scalar_missile_range	ui/skins/default/icon_stat_range.png
scalar_speed	140	False	10	scalar_speed	ui/skins/default/icon_stat_speed.png
scalar_splash_attack_power	5	False	0	scalar_splash_attack_power	ui/skins/default/icon_stat_damage.png
stat_accuracy	100	False	9	stat_accuracy	ui/skins/default/placeholder.png
stat_ammo	100	False	10	stat_ammo	ui/skins/default/icon_stat_ammo.png
stat_armour	180	False	6	stat_armour	ui/skins/default/icon_stat_armour.png
stat_bonus_vs_cavalry	50	False	0	stat_bonus_vs_cavalry	ui/skins/default/placeholder.png
stat_bonus_vs_infantry	50	False	0	stat_bonus_vs_infantry	ui/skins/default/placeholder.png
stat_bonus_vs_large	50	False	5	stat_bonus_vs_large	ui/skins/default/placeholder.png
stat_charge_bonus	100	False	4	stat_charge_bonus	ui/skins/default/icon_stat_charge_bonus.png
stat_first_strike	100	False	0	stat_first_strike	ui/skins/default/placeholder.png
stat_health	6000	False	0	stat_health	ui/skins/default/icon_stat_health.png
stat_mana	100	False	0	stat_mana	ui/skins/default/placeholder.png
stat_melee_attack	100	False	2	stat_melee_attack	ui/skins/default/icon_stat_attack.png
stat_melee_damage_ap	100	False	0	stat_melee_damage_ap	ui/skins/default/placeholder.png
stat_melee_damage_base	100	False	0	stat_melee_damage_base	ui/skins/default/icon_stat_damage.png
stat_melee_defence	100	False	3	stat_melee_defence	ui/skins/default/icon_stat_defence.png
stat_miscast_additional	100	False	0	stat_miscast_additional_chance	ui/skins/default/placeholder.png
stat_missile_block_chance	100	False	0	stat_missile_block_chance	ui/skins/default/placeholder.png
stat_missile_damage	100	False	0	scalar_missile_damage_base	ui/skins/default/icon_stat_ranged_damage.png
stat_missile_damage_over_time	100	False	11	scalar_missile_damage_base	ui/skins/default/icon_stat_ranged_damage.png
stat_morale	120	False	1	stat_morale	ui/skins/default/icon_stat_morale.png
stat_num_uses_additional	100	False	0	stat_num_uses_additional	ui/skins/default/placeholder.png
stat_reloading	15	False	8	stat_reloading	ui/skins/default/placeholder.png
stat_resistance_all	100	False	10	stat_resistance_all	ui/skins/default/placeholder.png
stat_resistance_flame	100	False	10	stat_resistance_flame	ui/skins/default/placeholder.png
stat_resistance_magic	100	False	10	stat_resistance_magic	ui/skins/default/placeholder.png
stat_resistance_missile	100	False	10	stat_resistance_missile	ui/skins/default/placeholder.png
stat_resistance_physical	100	False	10	stat_resistance_physical	ui/skins/default/placeholder.png
stat_shield_armour	200	False	7	stat_shield_armour	ui/skins/default/placeholder.png
stat_shield_defence	100	False	0	stat_shield_defence	ui/skins/default/placeholder.png
stat_ship_health	1500	False	0	stat_ship_health	ui/skins/default/icon_stat_ship_health.png
stat_ship_move_speed	12	False	0	stat_ship_move_speed	ui/skins/default/placeholder.png
stat_spotting_forest	100	False	0	stat_spotting_forest	ui/skins/default/placeholder.png
stat_visibility_sight	100	False	10	stat_visibility_sight	ui/skins/default/placeholder.png
stat_weakness_flame	100	False	0	stat_weakness_flame	ui/skins/default/placeholder.png
stat_weapon_damage	100	False	10	stat_weapon_damage	ui/skins/default/icon_stat_damage.png
