unit_abilities_additional_ui_effects_tables
2
unknown0	unknown1
wh2_main_ability_range_30m	101
wh2_main_all_allows_siege_assaults	308
wh2_main_all_building_equipment_target	107
wh2_main_all_flaming	104
wh2_main_all_flanking	307
wh2_main_all_good_against_armour	106
wh2_main_all_hiding	106
wh2_main_all_huge_static_aoe	105
wh2_main_all_increases_with_enemies_in_range	0
wh2_main_all_magical_and_flaming_major	104
wh2_main_all_magical_and_flaming_massive	104
wh2_main_all_magical_and_flaming_medium	104
wh2_main_all_magical_and_flaming_minor	104
wh2_main_all_magical_damage_major	104
wh2_main_all_magical_damage_massive	104
wh2_main_all_magical_damage_minor	104
wh2_main_all_magical_damage_moderate	104
wh2_main_all_random_launch_direction	202
wh2_main_all_rebirth_buff_chance	106
wh2_main_all_rebirth_debuff_chance	203
wh2_main_all_rotating	147
wh2_main_all_summon_clan_rats	105
wh2_main_all_summon_clan_rats_shields	105
wh2_main_all_summon_eagle	105
wh2_main_all_summon_feral_cold_ones	105
wh2_main_all_summon_plague_monks	12
wh2_main_all_summon_skaven_slaves	103
wh2_main_all_summon_skink_priest	105
wh2_main_all_summon_stormvermin	103
wh2_main_all_weak_against_armour	206
wh2_main_army_ap_damage_explosion_ranged	1
wh2_main_army_ap_damage_ranged	1
wh2_main_army_damage_explosion_ranged	1
wh2_main_army_damage_ranged	1
wh2_main_army_homing	104
wh2_main_army_projectiles	1
wh2_main_army_projectiles_2	1
wh2_main_army_projectiles_3	1
wh2_main_army_sacrifice	204
wh2_main_army_scattershot	1
wh2_main_army_scattershot_2	1
wh2_main_army_scattershot_3	1
wh2_main_army_vortices_3	106
wh2_main_bombardment_medium_strike_aoe	105
wh2_main_spell_absorb_hp	105
wh2_main_spell_escape	102
wh2_main_spell_expanding_aoe	105
wh2_main_spell_friendly_fire_explosion	101
wh2_main_spell_huge_vortex	105
wh2_main_spell_large_vortex	105
wh2_main_spell_medium_vortex	105
wh2_main_spell_medium_wind	105
wh2_main_spell_shrapnel_flak	1
wh2_main_spell_shrapnel_magical	1
wh2_main_spell_shrapnel_magical_healing	1
wh2_main_spell_small_vortex	105
wh2_main_spell_small_wind	105
