unit_abilities_tables
14
key	supercedes_ability	requires_effect_enabling	icon-name	overpower_option	type	video	uniqueness	is_unit_upgrade	is_hidden_in_ui	source_type
wh2_main_army_abilities_bloodwrack_cauldron	wh2_main_army_abilities_brazen_cauldron	True	wh2_main_army_abilities_sky_cauldron		wh_type_bombardment		wh_main_anc_group_rare	False	False	army
wh2_main_army_abilities_bolt_of_spite		True	wh2_main_army_abilities_bolt_of_spite		wh_type_bombardment		wh_main_anc_group_unique	False	False	army
wh2_main_army_abilities_brazen_cauldron	wh2_main_army_abilities_sky_cauldron	True	wh2_main_army_abilities_sky_cauldron		wh_type_bombardment		wh_main_anc_group_uncommon	False	False	army
wh2_main_army_abilities_channeling_spire		False	wh2_main_army_abilities_channeling_spire		wh_type_area_of_augments_of_the_winds		wh_main_anc_group_common	False	False	army
wh2_main_army_abilities_dark_conduit		False	wh2_main_army_abilities_dark_conduit		wh_type_explosion		wh_main_anc_group_rare	False	False	army
wh2_main_army_abilities_eagle_sanctuary		False	wh2_main_army_abilities_eagle_sanctuary		wh_type_augment		wh_main_anc_group_rare	False	False	army
wh2_main_army_abilities_eshin_clanstone		False	wh2_main_army_abilities_eshin_clanstone		wh_type_area_of_direct_damage		wh_main_anc_group_rare	False	False	army
wh2_main_army_abilities_feral_cold_ones		False	wh2_main_army_abilities_feral_cold_ones		wh_type_augment		wh_main_anc_group_rare	False	False	army
wh2_main_army_abilities_geomantic_nexus		False	wh2_main_army_abilities_geomantic_nexus		wh_type_augment		wh_main_anc_group_uncommon	False	False	army
wh2_main_army_abilities_holy_stela		False	wh2_main_army_abilities_holy_stela		wh_type_area_of_hexes		wh_main_anc_group_common	False	False	army
wh2_main_army_abilities_khaines_flail	wh2_main_army_abilities_khaines_lash	True	wh2_main_army_abilities_khaines_lash		wh_type_bombardment		wh_main_anc_group_uncommon	False	False	army
wh2_main_army_abilities_khaines_lash		True	wh2_main_army_abilities_khaines_lash		wh_type_bombardment		wh_main_anc_group_common	False	False	army
wh2_main_army_abilities_khaines_scourge	wh2_main_army_abilities_khaines_lash	True	wh2_main_army_abilities_khaines_lash		wh_type_bombardment		wh_main_anc_group_rare	False	False	army
wh2_main_army_abilities_lure_of_the_pale_queen		False	wh2_main_army_abilities_lure_of_the_pale_queen		wh_type_area_of_hexes		wh_main_anc_group_uncommon	False	False	army
wh2_main_army_abilities_mors_clanstone		False	wh2_main_army_abilities_mors_clanstone		wh_type_area_of_augments		wh_main_anc_group_rare	False	False	army
wh2_main_army_abilities_moulder_clanstone		False	wh2_main_army_abilities_moulder_clanstone		wh_type_area_of_regeneration		wh_main_anc_group_rare	False	False	army
wh2_main_army_abilities_pestilens_clanstone		False	wh2_main_army_abilities_pestilens_clanstone		wh_type_area_of_augments		wh_main_anc_group_rare	False	False	army
wh2_main_army_abilities_shadows_of_anlec		False	wh2_main_army_abilities_shadows_of_anlec		wh_type_breath		wh_main_anc_group_common	False	False	army
wh2_main_army_abilities_sky_cauldron		True	wh2_main_army_abilities_sky_cauldron		wh_type_bombardment		wh_main_anc_group_common	False	False	army
wh2_main_army_abilities_skyre_clanstone		False	wh2_main_army_abilities_skyre_clanstone		wh_type_area_of_ward_save_hex		wh_main_anc_group_rare	False	False	army
wh2_main_army_abilities_soul_rain		True	wh2_main_army_abilities_soul_rain		wh_type_bombardment		wh_main_anc_group_common	False	False	army
wh2_main_army_abilities_soul_storm	wh2_main_army_abilities_soul_torrent	True	wh2_main_army_abilities_soul_rain		wh_type_bombardment		wh_main_anc_group_rare	False	False	army
wh2_main_army_abilities_soul_torrent	wh2_main_army_abilities_soul_rain	True	wh2_main_army_abilities_soul_rain		wh_type_bombardment		wh_main_anc_group_uncommon	False	False	army
