unit_ability_types_tables
2
unknown0	unknown1	unknown2
wh_type_area_of_augments	False	ui/battle ui/ability_icons/icon_spell_area_of_augments.png
wh_type_area_of_augments_of_the_winds	False	ui/battle ui/ability_icons/icon_spell_augment_of_the_winds.png
wh_type_area_of_direct_damage	False	ui/battle ui/ability_icons/icon_spell_area_of_direct_damage.png
wh_type_area_of_hexes	False	ui/battle ui/ability_icons/icon_spell_area_of_hexes.png
wh_type_area_of_regeneration	False	ui/battle ui/ability_icons/icon_spell_area_of_regeneration.png
wh_type_area_of_ward_save	False	ui/battle ui/ability_icons/icon_spell_area_of_ward_saves.png
wh_type_area_of_ward_save_hex	False	ui/battle ui/ability_icons/icon_spell_area_of_ward_saves_hex.png
wh_type_augment	True	ui/battle ui/ability_icons/icon_spell_augment.png
wh_type_augment_of_the_winds	False	ui/battle ui/ability_icons/icon_spell_augment_of_the_winds.png
wh_type_bombardment	False	ui/battle ui/ability_icons/icon_spell_bombardment.png
wh_type_breath	False	ui/battle ui/ability_icons/icon_spell_breath.png
wh_type_direct_damage	False	ui/battle ui/ability_icons/icon_spell_direct_damage.png
wh_type_explosion	False	ui/battle ui/ability_icons/icon_spell_explosion.png
wh_type_formation	False	ui/battle ui/ability_icons/icon_formation.png
wh_type_hex	False	ui/battle ui/ability_icons/icon_spell_hex.png
wh_type_hex_of_the_winds	False	ui/battle ui/ability_icons/icon_spell_hex_of_the_winds.png
wh_type_hiding	False	ui/battle ui/ability_icons/icon_spell_hiding.png
wh_type_magic_missile	True	ui/battle ui/ability_icons/icon_spell_magic_missile.png
wh_type_magic_missiles	True	ui/battle ui/ability_icons/icon_spell_magic_missiles.png
wh_type_regeneration	False	ui/battle ui/ability_icons/icon_spell_regeneration.png
wh_type_vortex	False	ui/battle ui/ability_icons/icon_spell_vortex.png
wh_type_ward_save	False	ui/battle ui/ability_icons/icon_spell_ward_save.png
wh_type_ward_save_hex	False	ui/battle ui/ability_icons/icon_spell_ward_save_hex.png
wh_type_wind	False	ui/battle ui/ability_icons/icon_spell_wind.png
