unit_sets_tables
1
unknown0	unknown1	unknown2	unknown3
all_land_artillery	False	-1	-1
all_land_units	False	-1	-1
all_land_units_exluding_artillery	False	-1	-1
all_support_units	False	-1	-1
all_units	False	-1	-1
all_units_excluding_guerrilla_deployment	False	-1	-1
all_units_excluding_immune_to_psychology	False	-1	-1
all_units_excluding_strider	False	-1	-1
all_units_excluding_terror	False	-1	-1
artillery_units	False	-1	-1
black_ark	False	-1	-1
bodyguard_units_admirals	False	-1	-1
bodyguard_units_generals	False	-1	-1
brt_bow_cav	False	-1	-1
brt_bow_inf	False	-1	-1
brt_horse_knights	False	-1	-1
brt_knights	False	-1	-1
brt_monster_knights	False	-1	-1
brt_polearms	False	-1	-1
brt_spear_cav	False	-1	-1
brt_spear_inf	False	-1	-1
brt_squires_yeomen	False	-1	-1
brt_sword_inf	False	-1	-1
brt_trebuchets	False	-1	-1
bst_dlc03_bestigors	False	-1	-1
bst_dlc03_centigors	False	-1	-1
bst_dlc03_chaos_warhounds	False	-1	-1
bst_dlc03_characters	False	-1	-1
bst_dlc03_cygors	False	-1	-1
bst_dlc03_gors	False	-1	-1
bst_dlc03_khazrak	False	-1	-1
bst_dlc03_melee_infantry_tier_1	False	-1	-1
bst_dlc03_melee_infantry_tier_2	False	-1	-1
bst_dlc03_minotaurs	False	-1	-1
bst_dlc03_razgors_chariots	False	-1	-1
bst_dlc03_razorgors	False	-1	-1
bst_dlc03_ungors	False	-1	-1
bst_dlc03_ungors_centigors	False	-1	-1
bst_dlc03_ungors_gors	False	-1	-1
bst_giants	False	-1	-1
cavalry_and_monsters_knights	False	-1	-1
cavalry_monstrous	False	-1	-1
cavalry_units	False	-1	-1
characters	False	-1	-1
chariots	False	-1	-1
chs_all	False	-1	-1
chs_chariot_plain	False	-1	-1
chs_chosen	False	-1	-1
chs_dragon_ogre_shaggoths	False	-1	-1
chs_dragon_ogres	False	-1	-1
chs_forsaken	False	-1	-1
chs_giants	False	-1	-1
chs_gorebeast_chariot	False	-1	-1
chs_hellcannon	False	-1	-1
chs_hounds	False	-1	-1
chs_knights	False	-1	-1
chs_manticores	False	-1	-1
chs_marauders	False	-1	-1
chs_spawns	False	-1	-1
chs_trolls	False	-1	-1
chs_warmachines	False	-1	-1
chs_warriors	False	-1	-1
chs_warriors_only	False	-1	-1
def_beasts	False	-1	-1
def_black_council	False	-1	-1
def_blackguard	False	-1	-1
def_boltthrowers	False	-1	-1
def_characters	False	-1	-1
def_coldonechariots	False	-1	-1
def_coldoneknights	False	-1	-1
def_corsairs	False	-1	-1
def_crossbowmen	False	-1	-1
def_darkriders	False	-1	-1
def_darkshards_shields	False	-1	-1
def_dragons	False	-1	-1
def_dreadknights	False	-1	-1
def_executioners	False	-1	-1
def_harpies	False	-1	-1
def_hydra	False	-1	-1
def_shades	False	-1	-1
def_spearmen	False	-1	-1
def_swordmen	False	-1	-1
def_witchelves	False	-1	-1
dlc07_brt_foot_squires	False	-1	-1
dlc07_brt_grail_guardians	False	-1	-1
dlc07_brt_grail_vow	False	-1	-1
dlc07_brt_grail_vow_unique_fay	False	-1	-1
dlc07_brt_inf_battle_pilgrims	False	-1	-1
dlc07_brt_knights_realm	False	-1	-1
dlc07_brt_knights_vow	False	-1	-1
dlc07_brt_quest_vow	False	-1	-1
dlc07_brt_royal_units	False	-1	-1
dwf_blackpowder	False	-1	-1
dwf_bomber	False	-1	-1
dwf_characters	False	-1	-1
dwf_dlc06_rangers	False	-1	-1
dwf_flame_cannon	False	-1	-1
dwf_grudgeboltthrowers	False	-1	-1
dwf_gyro_flame	False	-1	-1
dwf_gyros	False	-1	-1
dwf_hammerers	False	-1	-1
dwf_infantry	False	-1	-1
dwf_infantry_ranged	False	-1	-1
dwf_ironbreaker	False	-1	-1
dwf_irondrakes	False	-1	-1
dwf_longbeards	False	-1	-1
dwf_master_engineer	False	-1	-1
dwf_melee_infantry	False	-1	-1
dwf_miners	False	-1	-1
dwf_pro01_grombrindal	False	-1	-1
dwf_quarrelers	False	-1	-1
dwf_ranged_tier_1	False	-1	-1
dwf_ranged_tier_2	False	-1	-1
dwf_runesmith	False	-1	-1
dwf_shield_units	False	-1	-1
dwf_slayers	False	-1	-1
dwf_slayers_and_ungrim	False	-1	-1
dwf_thane	False	-1	-1
dwf_thunderers	False	-1	-1
dwf_warriors	False	-1	-1
dwf_wpn_greataxe	False	-1	-1
dwf_wpn_hammer	False	-1	-1
dwf_wpn_handweapon	False	-1	-1
dwf_wpn_picks	False	-1	-1
elephants	False	-1	-1
emp_artillery	False	-1	-1
emp_characters	False	-1	-1
emp_crossbow	False	-1	-1
emp_demigryphs	False	-1	-1
emp_flagellants	False	-1	-1
emp_freecompany	False	-1	-1
emp_greatcannon	False	-1	-1
emp_greatswords	False	-1	-1
emp_halberds	False	-1	-1
emp_handgunners	False	-1	-1
emp_infantry	False	-1	-1
emp_knights	False	-1	-1
emp_lances	False	-1	-1
emp_melee_infantry_tier_1	False	-1	-1
emp_melee_infantry_tier_2	False	-1	-1
emp_outriders	False	-1	-1
emp_pistoleers	False	-1	-1
emp_reiksguard	False	-1	-1
emp_spears	False	-1	-1
emp_state_troops	False	-1	-1
emp_steam_tank	False	-1	-1
emp_steam_tank_and_demigryph_knights	False	-1	-1
emp_swords	False	-1	-1
emp_warmachines	False	-1	-1
emp_wizards	False	-1	-1
ethereal	False	-1	-1
flying_units	False	-1	-1
grn_all_big_uns	False	-1	-1
grn_arachnarok	False	-1	-1
grn_archer_infantry	False	-1	-1
grn_archers	False	-1	-1
grn_arrer_boyz	False	-1	-1
grn_big_uns	False	-1	-1
grn_black_orcs	False	-1	-1
grn_boars	False	-1	-1
grn_boyz	False	-1	-1
grn_characters	False	-1	-1
grn_chariots	False	-1	-1
grn_dlc06_da_warlords_boyz	False	-1	-1
grn_dlc06_grn_inf_nasty_skukers	False	-1	-1
grn_dlc06_night_goblins	False	-1	-1
grn_dlc06_night_goblins_and_goblins	False	-1	-1
grn_dlc06_savage_orc_infantry	False	-1	-1
grn_dlc06_savage_orc_riders	False	-1	-1
grn_dlc06_savage_orcs	False	-1	-1
grn_dlc06_squigs	False	-1	-1
grn_doomdiver	False	-1	-1
grn_fanatics	False	-1	-1
grn_giants	False	-1	-1
grn_goblins	False	-1	-1
grn_infantry_goblin	False	-1	-1
grn_infantry_orc	False	-1	-1
grn_melee_infantry_tier_1	False	-1	-1
grn_melee_infantry_tier_2	False	-1	-1
grn_night_goblins	False	-1	-1
grn_normal_orcs	False	-1	-1
grn_orcs	False	-1	-1
grn_rocklobber	False	-1	-1
grn_spear_infantry	False	-1	-1
grn_spears	False	-1	-1
grn_spider_riders	False	-1	-1
grn_trolls	False	-1	-1
grn_wolf_riders	False	-1	-1
hef_all	False	-1	-1
hef_archer_seaguard_boltthrower_rank7	True	7	9
hef_archer_seaguard_rank7	False	7	9
hef_archers	False	-1	-1
hef_boltthrower	False	-1	-1
hef_casters	False	-1	-1
hef_chariots	False	-1	-1
hef_dragon_phoenix_related_rank7	True	7	9
hef_dragonprince	False	-1	-1
hef_dragons	False	-1	-1
hef_eagle_chariot_reavers_rank7	True	7	9
hef_eagles	False	-1	-1
hef_loremaster	False	-1	-1
hef_mages	False	-1	-1
hef_phoenix	False	-1	-1
hef_phoenixguard	False	-1	-1
hef_reavers	False	-1	-1
hef_seaguard	False	-1	-1
hef_silverhelms	False	-1	-1
hef_spear_silver_swordmaster_lions_rank7	True	7	9
hef_spearmen	False	-1	-1
hef_spearmen_archers_silverhelms	False	-1	-1
hef_swordmasters	False	-1	-1
hef_whitelions	False	-1	-1
heroes	False	-1	-1
imperial_pegasus	False	-1	-1
infantry_monstrous	False	-1	-1
infantry_units	False	-1	-1
infantry_units_melee	False	-1	-1
infantry_units_missile	False	-1	-1
infantry_units_spears	False	-1	-1
lords	False	-1	-1
lzd_all	False	-1	-1
lzd_ancient_stegadon_mounts	False	-1	-1
lzd_astromancy_stance_guerilla_units	False	-1	-1
lzd_bastilidon	False	-1	-1
lzd_beasts	False	-1	-1
lzd_beasts_rank7	True	7	9
lzd_carnosaur	False	-1	-1
lzd_cold_one_mount	False	-1	-1
lzd_coldones	False	-1	-1
lzd_dinos	False	-1	-1
lzd_kroq_gar_mounted	False	-1	-1
lzd_kroxigor	False	-1	-1
lzd_saurus	False	-1	-1
lzd_saurus_coldones	False	-1	-1
lzd_saurus_templeg_rank7	True	7	9
lzd_skink_kroxigor_rank7	True	7	9
lzd_skinks	False	-1	-1
lzd_stegadon	False	-1	-1
lzd_templeguard	False	-1	-1
lzd_terradon	False	-1	-1
lzd_terradon_coldones_rank7	True	7	9
manticore	False	-1	-1
melee_units	False	-1	-1
missile_units	False	-1	-1
monsters	False	-1	-1
naval_all	False	-1	-1
naval_units_artillery	False	-1	-1
naval_units_assault	False	-1	-1
naval_units_support	False	-1	-1
skv_all	False	-1	-1
skv_artillery	False	-1	-1
skv_artillery_warmachines_rank7	True	7	9
