unit_variants_ships_tables
0
unknown0	unknown1	unknown2	unknown3	unknown4
	wh_main_brt_shp_buccaneer	wh_main_brt_shp_buccaneer	wh_main_brt_shp_buccaneer	dummy_data
	wh_main_brt_shp_corsair	wh_main_brt_shp_corsair	wh_main_brt_shp_corsair	dummy_data
	wh_main_brt_shp_galleon	wh_main_brt_shp_galleon	wh_main_brt_shp_galleon	dummy_data
	wh_main_chs_shp_bloodship	wh_main_chs_shp_bloodship	wh_main_chs_shp_bloodship	dummy_data
	wh_main_chs_shp_deathgalley	wh_main_chs_shp_deathgalley	wh_main_chs_shp_deathgalley	dummy_data
	wh_main_chs_shp_norscan_longship	wh_main_chs_shp_norscan_longship	wh_main_chs_shp_norscan_longship	dummy_data
	wh_main_dwf_shp_dreadnaught	wh_main_dwf_shp_dreadnaught	wh_main_dwf_shp_dreadnaught	dummy_data
	wh_main_dwf_shp_ironclad	wh_main_dwf_shp_ironclad	wh_main_dwf_shp_ironclad	dummy_data
	wh_main_dwf_shp_monitor	wh_main_dwf_shp_monitor	wh_main_dwf_shp_monitor	dummy_data
	wh_main_emp_shp_greatship	wh_main_emp_shp_greatship	wh_main_emp_shp_greatship	dummy_data
	wh_main_emp_shp_wargalley	wh_main_emp_shp_wargalley	wh_main_emp_shp_wargalley	dummy_data
	wh_main_emp_shp_wolfship	wh_main_emp_shp_wolfship	wh_main_emp_shp_wolfship	dummy_data
	wh_main_grn_shp_bigchukka	wh_main_grn_shp_bigchukka	wh_main_grn_shp_bigchukka	dummy_data
	wh_main_grn_shp_drillakilla	wh_main_grn_shp_drillakilla	wh_main_grn_shp_drillakilla	dummy_data
	wh_main_grn_shp_hulk	wh_main_grn_shp_hulk	wh_main_grn_shp_hulk	dummy_data
	wh_main_vmp_shp_direwolf_ship	wh_main_vmp_shp_direwolf_ship	wh_main_vmp_shp_direwolf_ship	dummy_data
	wh_main_vmp_shp_griefship	wh_main_vmp_shp_griefship	wh_main_vmp_shp_griefship	dummy_data
	wh_main_vmp_shp_vargalley	wh_main_vmp_shp_vargalley	wh_main_vmp_shp_vargalley	dummy_data
