units_custom_battle_mounts_tables
1
base_unit	icon_name	mounted_unit
wh2_main_def_cha_death_hag_0	ui/campaign ui/mounts/mount_cauldron_of_blood.png	wh2_main_def_cha_death_hag_1
wh2_main_def_cha_dreadlord_0	ui/campaign ui/mounts/mount_dark_steed.png	wh2_main_def_cha_dreadlord_1
wh2_main_def_cha_dreadlord_0	ui/campaign ui/mounts/mount_cold_one.png	wh2_main_def_cha_dreadlord_2
wh2_main_def_cha_dreadlord_0	ui/campaign ui/mounts/mount_black_dragon.png	wh2_main_def_cha_dreadlord_4
wh2_main_def_cha_dreadlord_0	ui/campaign ui/mounts/mount_dark_pegasus.png	wh2_main_def_cha_dreadlord_5
wh2_main_def_cha_dreadlord_female_0	ui/campaign ui/mounts/mount_dark_steed.png	wh2_main_def_cha_dreadlord_female_1
wh2_main_def_cha_dreadlord_female_0	ui/campaign ui/mounts/mount_cold_one.png	wh2_main_def_cha_dreadlord_female_2
wh2_main_def_cha_dreadlord_female_0	ui/campaign ui/mounts/mount_black_dragon.png	wh2_main_def_cha_dreadlord_female_4
wh2_main_def_cha_dreadlord_female_0	ui/campaign ui/mounts/mount_dark_pegasus.png	wh2_main_def_cha_dreadlord_female_5
wh2_main_def_cha_malekith_0	ui/campaign ui/mounts/mount_cold_one.png	wh2_main_def_cha_malekith_1
wh2_main_def_cha_malekith_0	ui/campaign ui/mounts/mount_cold_one_chariot.png	wh2_main_def_cha_malekith_2
wh2_main_def_cha_malekith_0	ui/campaign ui/mounts/mount_black_dragon.png	wh2_main_def_cha_malekith_3
wh2_main_def_cha_morathi_0	ui/campaign ui/mounts/mount_dark_pegasus.png	wh2_main_def_cha_morathi_1
wh2_main_def_cha_sorceress_dark_0	ui/campaign ui/mounts/mount_dark_steed.png	wh2_main_def_cha_sorceress_dark_1
wh2_main_def_cha_sorceress_dark_0	ui/campaign ui/mounts/mount_cold_one.png	wh2_main_def_cha_sorceress_dark_2
wh2_main_def_cha_sorceress_dark_0	ui/campaign ui/mounts/mount_dark_pegasus.png	wh2_main_def_cha_sorceress_dark_3
wh2_main_def_cha_sorceress_fire_0	ui/campaign ui/mounts/mount_dark_steed.png	wh2_main_def_cha_sorceress_fire_1
wh2_main_def_cha_sorceress_fire_0	ui/campaign ui/mounts/mount_cold_one.png	wh2_main_def_cha_sorceress_fire_2
wh2_main_def_cha_sorceress_fire_0	ui/campaign ui/mounts/mount_dark_pegasus.png	wh2_main_def_cha_sorceress_fire_3
wh2_main_def_cha_sorceress_shadow_0	ui/campaign ui/mounts/mount_dark_steed.png	wh2_main_def_cha_sorceress_shadow_1
wh2_main_def_cha_sorceress_shadow_0	ui/campaign ui/mounts/mount_cold_one.png	wh2_main_def_cha_sorceress_shadow_2
wh2_main_def_cha_sorceress_shadow_0	ui/campaign ui/mounts/mount_dark_pegasus.png	wh2_main_def_cha_sorceress_shadow_3
wh2_main_hef_cha_alastair_0	ui/campaign ui/mounts/mount_great_eagle.png	wh2_main_hef_cha_alastair_3
wh2_main_hef_cha_alastair_0	ui/campaign ui/mounts/mount_sun_dragon.png	wh2_main_hef_cha_alastair_4
wh2_main_hef_cha_alastair_0	ui/campaign ui/mounts/mount_star_dragon.png	wh2_main_hef_cha_alastair_5
wh2_main_hef_cha_mage_high_0	ui/campaign ui/mounts/mount_elven_steed.png	wh2_main_hef_cha_mage_high_1
wh2_main_hef_cha_mage_high_0	ui/campaign ui/mounts/mount_ithilmar_chariot.png	wh2_main_hef_cha_mage_high_4
wh2_main_hef_cha_mage_life_0	ui/campaign ui/mounts/mount_elven_steed.png	wh2_main_hef_cha_mage_life_1
wh2_main_hef_cha_mage_life_0	ui/campaign ui/mounts/mount_ithilmar_chariot.png	wh2_main_hef_cha_mage_life_4
wh2_main_hef_cha_mage_light_0	ui/campaign ui/mounts/mount_elven_steed.png	wh2_main_hef_cha_mage_light_1
wh2_main_hef_cha_mage_light_0	ui/campaign ui/mounts/mount_ithilmar_chariot.png	wh2_main_hef_cha_mage_light_4
wh2_main_hef_cha_noble_0	ui/campaign ui/mounts/mount_barded_ithilmar_steed.png	wh2_main_hef_cha_noble_2
wh2_main_hef_cha_noble_0	ui/campaign ui/mounts/mount_great_eagle.png	wh2_main_hef_cha_noble_3
wh2_main_hef_cha_noble_0	ui/campaign ui/mounts/mount_ithilmar_chariot.png	wh2_main_hef_cha_noble_4
wh2_main_hef_cha_prince_0	ui/campaign ui/mounts/mount_barded_ithilmar_steed.png	wh2_main_hef_cha_prince_2
wh2_main_hef_cha_prince_0	ui/campaign ui/mounts/mount_great_eagle.png	wh2_main_hef_cha_prince_3
wh2_main_hef_cha_prince_0	ui/campaign ui/mounts/mount_sun_dragon.png	wh2_main_hef_cha_prince_4
wh2_main_hef_cha_prince_0	ui/campaign ui/mounts/mount_star_dragon.png	wh2_main_hef_cha_prince_5
wh2_main_hef_cha_princess_0	ui/campaign ui/mounts/mount_elven_steed.png	wh2_main_hef_cha_princess_1
wh2_main_hef_cha_princess_0	ui/campaign ui/mounts/mount_great_eagle.png	wh2_main_hef_cha_princess_3
wh2_main_hef_cha_princess_0	ui/campaign ui/mounts/mount_moon_dragon.png	wh2_main_hef_cha_princess_4
wh2_main_hef_cha_princess_0	ui/campaign ui/mounts/mount_star_dragon.png	wh2_main_hef_cha_princess_5
wh2_main_hef_cha_teclis_0	ui/campaign ui/mounts/mount_barded_ithilmar_steed.png	wh2_main_hef_cha_teclis_1
wh2_main_hef_cha_tyrion_0	ui/campaign ui/mounts/mount_elven_steed.png	wh2_main_hef_cha_tyrion_1
wh2_main_lzd_cha_kroq_gar_0	ui/campaign ui/mounts/mount_grymloq.png	wh2_main_lzd_cha_kroq_gar_1
wh2_main_lzd_cha_kroq_gar_0	ui/campaign ui/mounts/mount_cold_one.png	wh2_main_lzd_cha_kroq_gar_2
wh2_main_lzd_cha_kroq_gar_0	ui/campaign ui/mounts/mount_horned_one.png	wh2_main_lzd_cha_kroq_gar_3
wh2_main_lzd_cha_lord_mazdamundi_0	ui/campaign ui/mounts/mount_ancient_stegadon.png	wh2_main_lzd_cha_lord_mazdamundi_1
wh2_main_lzd_cha_saurus_old_blood_0	ui/campaign ui/mounts/mount_cold_one.png	wh2_main_lzd_cha_saurus_old_blood_1
wh2_main_lzd_cha_saurus_old_blood_0	ui/campaign ui/mounts/mount_carnosaur.png	wh2_main_lzd_cha_saurus_old_blood_2
wh2_main_lzd_cha_saurus_scar_veteran_0	ui/campaign ui/mounts/mount_cold_one.png	wh2_main_lzd_cha_saurus_scar_veteran_1
wh2_main_lzd_cha_saurus_scar_veteran_0	ui/campaign ui/mounts/mount_carnosaur.png	wh2_main_lzd_cha_saurus_scar_veteran_2
wh2_main_lzd_cha_skink_chief_0	ui/campaign ui/mounts/mount_terradon.png	wh2_main_lzd_cha_skink_chief_1
wh2_main_lzd_cha_skink_chief_0	ui/campaign ui/mounts/mount_stegadon.png	wh2_main_lzd_cha_skink_chief_2
wh2_main_lzd_cha_skink_chief_0	ui/campaign ui/mounts/mount_ancient_stegadon.png	wh2_main_lzd_cha_skink_chief_3
wh2_main_lzd_cha_skink_priest_beasts_0	ui/campaign ui/mounts/mount_terradon.png	wh2_main_lzd_cha_skink_priest_beasts_1
wh2_main_lzd_cha_skink_priest_beasts_0	ui/campaign ui/mounts/mount_stegadon.png	wh2_main_lzd_cha_skink_priest_beasts_2
wh2_main_lzd_cha_skink_priest_beasts_0	ui/campaign ui/mounts/mount_ancient_stegadon.png	wh2_main_lzd_cha_skink_priest_beasts_3
wh2_main_lzd_cha_skink_priest_heavens_0	ui/campaign ui/mounts/mount_terradon.png	wh2_main_lzd_cha_skink_priest_heavens_1
wh2_main_lzd_cha_skink_priest_heavens_0	ui/campaign ui/mounts/mount_stegadon.png	wh2_main_lzd_cha_skink_priest_heavens_2
wh2_main_lzd_cha_skink_priest_heavens_0	ui/campaign ui/mounts/mount_ancient_stegadon.png	wh2_main_lzd_cha_skink_priest_heavens_3
wh2_main_skv_cha_grey_seer_plague_0	ui/campaign ui/mounts/mount_screaming_bell.png	wh2_main_skv_cha_grey_seer_plague_1
wh2_main_skv_cha_grey_seer_ruin_0	ui/campaign ui/mounts/mount_screaming_bell.png	wh2_main_skv_cha_grey_seer_ruin_1
wh2_main_skv_cha_plague_priest_0	ui/campaign ui/mounts/mount_plague_furnace.png	wh2_main_skv_cha_plague_priest_2
wh2_main_skv_cha_warlord_0	ui/campaign ui/mounts/mount_rat_ogre.png	wh2_main_skv_cha_warlord_1
wh_dlc01_chs_cha_chaos_sorcerer_lord_death_0	ui/campaign ui/mounts/mount_chaos_dragon.png	wh_dlc01_chs_cha_chaos_sorcerer_lord_death_10
wh_dlc01_chs_cha_chaos_sorcerer_lord_death_0	ui/campaign ui/mounts/mount_chaos_steed.png	wh_dlc01_chs_cha_chaos_sorcerer_lord_death_12
wh_dlc01_chs_cha_chaos_sorcerer_lord_death_0	ui/campaign ui/mounts/mount_barded_chaos_steed.png	wh_dlc01_chs_cha_chaos_sorcerer_lord_death_13
wh_dlc01_chs_cha_chaos_sorcerer_lord_death_0	ui/campaign ui/mounts/mount_manticore.png	wh_dlc01_chs_cha_chaos_sorcerer_lord_death_9
wh_dlc01_chs_cha_chaos_sorcerer_lord_fire_0	ui/campaign ui/mounts/mount_chaos_dragon.png	wh_dlc01_chs_cha_chaos_sorcerer_lord_fire_10
wh_dlc01_chs_cha_chaos_sorcerer_lord_fire_0	ui/campaign ui/mounts/mount_chaos_steed.png	wh_dlc01_chs_cha_chaos_sorcerer_lord_fire_12
wh_dlc01_chs_cha_chaos_sorcerer_lord_fire_0	ui/campaign ui/mounts/mount_barded_chaos_steed.png	wh_dlc01_chs_cha_chaos_sorcerer_lord_fire_13
wh_dlc01_chs_cha_chaos_sorcerer_lord_fire_0	ui/campaign ui/mounts/mount_manticore.png	wh_dlc01_chs_cha_chaos_sorcerer_lord_fire_9
wh_dlc01_chs_cha_chaos_sorcerer_lord_metal_0	ui/campaign ui/mounts/mount_chaos_dragon.png	wh_dlc01_chs_cha_chaos_sorcerer_lord_metal_10
wh_dlc01_chs_cha_chaos_sorcerer_lord_metal_0	ui/campaign ui/mounts/mount_chaos_steed.png	wh_dlc01_chs_cha_chaos_sorcerer_lord_metal_12
wh_dlc01_chs_cha_chaos_sorcerer_lord_metal_0	ui/campaign ui/mounts/mount_barded_chaos_steed.png	wh_dlc01_chs_cha_chaos_sorcerer_lord_metal_13
wh_dlc01_chs_cha_chaos_sorcerer_lord_metal_0	ui/campaign ui/mounts/mount_manticore.png	wh_dlc01_chs_cha_chaos_sorcerer_lord_metal_9
