Changes between .\Exports\tmp\db\effect_bundles_to_effects_junctions_tables\effect_bundles_to_effects.tsv (old) and .\Exports\tmp\db\effect_bundles_to_effects_junctions_tables\spreadsheet.tsv (new)
Entry	Column	Old Value	New Value
EK:  wh_main_edict_high_kings_tribute  TO  wh_main_effect_public_order_edict	ENTIRE_ENTRY	MISSING	{'advancement_stage': 'start_turn_completed', 'effect_key': 'wh_main_effect_public_order_edict', 'effect_bundle_key': 'wh_main_edict_high_kings_tribute', 'value': '-3', 'effect_scope': 'province_to_province_own'}
EK:  wh_main_bundle_stance_army_fortification  TO  wh_main_effect_force_all_campaign_stance_ap_cost	value	50	25
EK:  wh_main_bundle_stance_army_channelling  TO  wh_main_effect_force_all_campaign_stance_ap_cost	value	50	25
EK:  wh_main_bundle_stance_navy_raiding  TO  wh_main_effect_force_all_campaign_stance_ap_cost	value	50	25
EK:  wh2_main_edict_skv_devious_planning  TO  wh_main_effect_province_tax_rate	value	-30	-50
EK:  wh2_main_edict_skv_martial_planning  TO  wh_main_effect_force_army_campaign_recruitment_cost_land	value	-5	-25
EK:  wh2_main_edict_def_enforce_tribute  TO  wh_main_effect_province_tax_rate	value	5	7
EK:  wh2_pooled_resource_skaven_food_plentiful  TO  wh_main_effect_force_all_campaign_upkeep	ENTIRE_ENTRY	MISSING	{'advancement_stage': 'start_turn_completed', 'effect_key': 'wh_main_effect_force_all_campaign_upkeep', 'effect_bundle_key': 'wh2_pooled_resource_skaven_food_plentiful', 'value': '-10', 'effect_scope': 'faction_to_character_own_factionwide'}
EK:  wh2_main_edict_skv_devious_planning  TO  wh_main_effect_religion_conversion_skaven	value	2	4
EK:  wh2_pooled_resource_skaven_food_starvation  TO  wh2_main_effect_force_all_campaign_sacking_income	value	-25	-50
EK:  wh2_main_edict_hef_rebuild_lost_splendour  TO  wh_main_effect_province_growth_province	value	20	15
EK:  wh_main_edict_evocation_of_nagash  TO  wh_main_effect_force_all_campaign_experience_base_all	value	1	2
EK:  wh_main_edict_foster_terror  TO  wh_main_effect_religion_conversion_undeath	value	1	2
EK:  wh_main_edict_venerate_the_lady  TO  wh_main_effect_religion_conversion_untainted	value	2	3
EK:  wh_main_bundle_stance_army_channelling_vmp  TO  wh_main_effect_force_all_campaign_stance_ap_cost	value	50	25
EK:  wh2_main_edict_hef_rebuild_lost_splendour  TO  wh_main_effect_building_construction_cost_mod	value	-10	-15
EK:  wh2_main_edict_skv_efficient_planning  TO  wh_main_effect_religion_conversion_untainted	value	1	2
EK:  wh2_pooled_resource_skaven_food_starvation  TO  wh_main_effect_force_all_campaign_upkeep	ENTIRE_ENTRY	MISSING	{'advancement_stage': 'start_turn_completed', 'effect_key': 'wh_main_effect_force_all_campaign_upkeep', 'effect_bundle_key': 'wh2_pooled_resource_skaven_food_starvation', 'value': '30', 'effect_scope': 'faction_to_character_own_factionwide'}
EK:  wh_main_bundle_stance_army_raiding  TO  wh_main_effect_force_all_campaign_stance_ap_cost	value	50	25
EK:  wh_main_edict_brag_about_da_boss  TO  wh_main_effect_unit_recruitment_points	value	1	2
EK:  wh2_pooled_resource_skaven_food_plentiful  TO  wh_main_effect_province_food_shortage_public_order_happiness	value	2	6
