_kv_morale_tables
0
key	value
army_destruction_alliance_strength_ratio	0.25
army_destruction_enemy_strength_ratio	2.6
artillery_near_miss_distance_squared	144
blood_bonus_12	4
blood_bonus_5	2
blood_bonus_7	3
broken_finish_base_timeout	200
broken_finish_timer_experience_bonus	10
cavalry_effect_range	20
charge_bonus	15
charge_timeout	60
commanding_general_alive_effect_amount_max	0
commanding_general_alive_effect_amount_min	0
difficulty_modifier_ai_easy	-1
difficulty_modifier_ai_hard	1
difficulty_modifier_ai_normal	0
difficulty_modifier_ai_very_hard	2
difficulty_modifier_player_easy	0
difficulty_modifier_player_hard	0
difficulty_modifier_player_normal	0
difficulty_modifier_player_very_hard	-3
enemy_control_land_defender_land_force_strength_modifier	10
enemy_effect_range	70
enemy_numbers_morale_penalty_multiplier	2
extended_casualties_penalty_10	-4
extended_casualties_penalty_15	-6
extended_casualties_penalty_33	-13
extended_casualties_penalty_50	-24
extended_casualties_penalty_80	-40
fear_effect_range	20
fighting_cavalry	0
general_aura_radius	85
general_inspire_effect_amount_max	3
general_inspire_effect_amount_min	3
inspiration_radius_max_effect_range_modifier	1.5
losing_combat	-3
losing_combat_significantly	-8
max_reinforcement_bonus	0
max_routing_enemies_to_consider	5
max_routing_friends_to_consider	4
minimium_increment_update_per_tick	1
morale_base	0
morale_shock_rout_immunity_timer	60
morale_shock_rout_timer_long	12
morale_shock_rout_timer_short	12
morale_shock_terror_morale_threshold_long	14
morale_shock_terror_morale_threshold_short	14
neighbour_effect_range	120
only_units_with_living_commanding_general_may_enter_non_shattered_rout_enabled	0
open_flanks_effect_range	120
percent_update_per_tick	0.15
post_rally_no_rout_timer	10
recent_casualties_penalty_10	-7
recent_casualties_penalty_15	-13
recent_casualties_penalty_33	-20
recent_casualties_penalty_50	-34
recent_casualties_penalty_6	-4
recent_casualties_shock_threshold	25
routing_enemies_effect_weighting	2.5
routing_friends_effect_weighting	3
routing_unit_effect_distance_flank	100
routing_unit_effect_distance_front	100
shatter_after_first_rout_if_casulties_higher_than	0.05
shatter_after_rout_count	3
shatter_after_second_rout_if_casulties_higher_than	0.1
surprise_timeout	200
terror_effect_range	5
total_casualties_penalty_10	-2
total_casualties_penalty_20	-4
total_casualties_penalty_30	-7
total_casualties_penalty_40	-9
total_casualties_penalty_50	-13
total_casualties_penalty_60	-20
total_casualties_penalty_70	-32
total_casualties_penalty_80	-60
total_casualties_penalty_90	-85
ume_concerned_army_destruction	-40
ume_concerned_attacked_by_artillery	-6
ume_concerned_attacked_by_projectile	-4
ume_concerned_captain_died_recently	-4
ume_concerned_damaged_by_artillery	-8
ume_concerned_elephants_frightened	-30
ume_concerned_exhausted	-8
ume_concerned_flanks_exposed_multiple	-6
ume_concerned_flanks_exposed_single	-3
ume_concerned_general_dead	-15
ume_concerned_general_dead_ai	-15
ume_concerned_general_died_recently	-18
ume_concerned_general_died_recently_ai	-18
ume_concerned_general_fled_recently	-15
ume_concerned_general_fled_recently_ai	-15
ume_concerned_horses_frightened	-13
ume_concerned_night_battle_unprepared	-5
ume_concerned_panic	-30
ume_concerned_settlement_destruction_max	0
ume_concerned_surprised	-24
ume_concerned_tired	-3
ume_concerned_under_friendly_fire	-1
ume_concerned_unit_frightened	-9
ume_concerned_very_tired	-5
ume_encouraged_flanks_secure	6
ume_encouraged_fortification	4
ume_encouraged_fortification_compromised	-2
ume_encouraged_inspired	30
ume_encouraged_on_the_hill	10
ume_encouraged_settlement_plaza	0
ums_broken_threshold_lower	-50
ums_broken_threshold_upper	0
ums_confident_threshold_lower	0.65
ums_confident_threshold_upper	1
ums_eager_threshold_lower	0.9
ums_eager_threshold_upper	1.1
ums_impetuous_threshold_lower	1.1
ums_shaken_threshold_lower	12
ums_shaken_threshold_upper	32
ums_steady_threshold_lower	30
ums_steady_threshold_upper	0.8
ums_wavering_threshold_lower	0
ums_wavering_threshold_upper	16
unit_inspire_effect_amount	8
use_hitpoints_instead_of_casualties_prop_in_morale_calculation	1
warcry_effect_range	225
was_attacked_in_flank	-8
was_attacked_in_front	0
was_attacked_in_rear	-15
waver_base_timeout	25
winning_combat	7
winning_combat_significantly	8
winning_combat_slightly	4
