autoresolver_modifier_group_lookups_tables
0
unknown0	unknown1	unknown2	unknown3	unknown4	unknown5
bridge_generic	1043734002	0	wh_difficulty_kps_multiplier_penalty_vhard	none	human_vs_ai_vhard
settlement_generic_land	1044782589	0	wh_difficulty_kps_multiplier_penalty_vhard	none	human_vs_ai_vhard
generic_battle	1046171241	0	wh_difficulty_kps_multiplier_penalty_hard	none	human_vs_ai_hard
minor_settlement_generic_land	1127239174	0	wh_global_cavalry_melee_kps_multiplier_bonus	none	any
ambush_generic	1170379648	0	wh_difficulty_kps_multiplier_penalty_easy	none	human_vs_ai_easy
ambush_generic	1174749249	0	wh_global_cavalry_melee_kps_multiplier_bonus	none	any
bridge_generic	1185348418	0	wh_difficulty_kps_multiplier_penalty_hard	none	human_vs_ai_hard
settlement_generic_land	1202167369	0	wh_difficulty_kps_multiplier_penalty_normal	none	human_vs_ai_normal
minor_settlement_generic_land	1221348411	0	wh_difficulty_kps_multiplier_penalty_normal	none	human_vs_ai_normal
settlement_generic_land	1235307824	0	wh_difficulty_kps_multiplier_penalty_legendary	none	human_vs_ai_legendary
settlement_generic_naval	1240625629	0	wh_difficulty_kps_multiplier_penalty_easy	none	human_vs_ai_easy
settlement_generic_land	1241690159	0	wh_global_cavalry_melee_kps_multiplier_bonus	none	any
bridge_generic	1291727635	0	wh_global_ranged_kps_penalty	none	any
ambush_generic	1308768290	0	wh_difficulty_kps_multiplier_penalty_vhard	none	human_vs_ai_vhard
settlement_generic_naval	1331381047	0	wh_difficulty_kps_multiplier_penalty_hard	none	human_vs_ai_hard
settlement_generic_naval	13817570	0	wh_difficulty_kps_multiplier_penalty_vhard	none	human_vs_ai_vhard
bridge_generic	1384650025	0	wh_global_cavalry_melee_kps_multiplier_bonus	none	any
settlement_generic_naval	1405293036	0	wh_difficulty_kps_multiplier_penalty_normal	none	human_vs_ai_normal
fortify_battle	1411367882	0	wh_difficulty_kps_multiplier_penalty_vhard	none	human_vs_ai_vhard
generic_battle	1468883184	0	wh_global_ranged_kps_penalty	none	any
minor_settlement_generic_land	154780141	0	wh_difficulty_kps_multiplier_penalty_legendary	none	human_vs_ai_legendary
fortify_battle	1558737803	0	wh_difficulty_kps_multiplier_penalty_normal	none	human_vs_ai_normal
minor_settlement_generic_land	1564832865	0	wh_difficulty_kps_multiplier_penalty_hard	none	human_vs_ai_hard
generic_battle	1581884186	0	wh_difficulty_kps_multiplier_penalty_normal	none	human_vs_ai_normal
settlement_generic_land	1791317654	0	wh_siege_eq_multiplier_bonus	siege_equipment_strength	any
settlement_generic_land	1810147711	0	wh_difficulty_kps_multiplier_penalty_hard	none	human_vs_ai_hard
minor_settlement_generic_land	1882174550	0	wh_global_ranged_kps_penalty	none	any
minor_settlement_generic_land	1905269117	0	wh_difficulty_kps_multiplier_penalty_easy	none	human_vs_ai_easy
fortify_battle	1932282026	0	wh_difficulty_kps_multiplier_penalty_easy	none	human_vs_ai_easy
settlement_generic_land	1948079639	0	wh_global_ranged_kps_penalty	none	any
minor_settlement_generic_naval	1993577141	0	wh_difficulty_kps_multiplier_penalty_easy	none	human_vs_ai_easy
generic_battle	2004997384	0	wh_difficulty_kps_multiplier_penalty_legendary	none	human_vs_ai_legendary
minor_settlement_generic_naval	2005502286	0	wh_difficulty_kps_multiplier_penalty_normal	none	human_vs_ai_normal
ambush_generic	2017673432	0	wh_strong_ranged_kps_multiplier_penalty	none	defender_target
minor_settlement_generic_naval	2101092419	0	wh_global_ranged_kps_penalty	none	any
minor_settlement_generic_naval	2123905617	0	wh_difficulty_kps_multiplier_penalty_vhard	none	human_vs_ai_vhard
generic_battle	28176345	0	wh_global_cavalry_melee_kps_multiplier_bonus	none	any
ambush_generic	302653893	0	wh_difficulty_kps_multiplier_penalty_normal	none	human_vs_ai_normal
fortify_battle	332382935	0	wh_global_cavalry_melee_kps_multiplier_bonus	none	any
fortify_battle	419495433	0	wh_global_ranged_kps_penalty	none	any
minor_settlement_generic_naval	420243805	0	wh_difficulty_kps_multiplier_penalty_legendary	none	human_vs_ai_legendary
settlement_generic_land	444908540	0	wh_strong_kps_multiplier_bonus	none	defender_target
settlement_generic_naval	488095027	0	wh_global_ranged_kps_penalty	none	any
settlement_generic_naval	495060402	0	wh_difficulty_kps_multiplier_penalty_legendary	none	human_vs_ai_legendary
settlement_generic_land	505422286	0	wh_difficulty_kps_multiplier_penalty_easy	none	human_vs_ai_easy
minor_settlement_generic_naval	506022522	0	wh_difficulty_kps_multiplier_penalty_hard	none	human_vs_ai_hard
minor_settlement_generic_land	520792879	0	wh_difficulty_kps_multiplier_penalty_vhard	none	human_vs_ai_vhard
generic_battle	54370030	0	wh_difficulty_kps_multiplier_penalty_vhard	none	human_vs_ai_vhard
bridge_generic	544626621	0	wh_difficulty_kps_multiplier_penalty_normal	none	human_vs_ai_normal
settlement_generic_land	574777742	0	wh_siege_eq_multiplier_ai_v_human_bonus	siege_equipment_strength	ai_vs_human
generic_battle	602452303	0	wh_difficulty_kps_multiplier_penalty_easy	none	human_vs_ai_easy
bridge_generic	631794111	0	wh_difficulty_kps_multiplier_penalty_legendary	none	human_vs_ai_legendary
bridge_generic	675974344	0	wh_difficulty_kps_multiplier_penalty_easy	none	human_vs_ai_easy
fortify_battle	679356213	0	wh_difficulty_kps_multiplier_penalty_hard	none	human_vs_ai_hard
ambush_generic	692248369	0	wh_difficulty_kps_multiplier_penalty_hard	none	human_vs_ai_hard
ambush_generic	711464657	0	wh_strong_kps_multiplier_bonus	none	attacker_target
fortify_battle	812948677	0	wh_difficulty_kps_multiplier_penalty_legendary	none	human_vs_ai_legendary
settlement_generic_land	821715815	0	wh_settlement_human_v_ai_penalty	none	defending_human_vs_ai
fortify_battle	854525417	0	wh_moderate_kps_multiplier_bonus	none	defender_target
ambush_generic	858371654	0	wh_no_retreat	none	defender_target
ambush_generic	91250603	0	wh_difficulty_kps_multiplier_penalty_legendary	none	human_vs_ai_legendary
ambush_generic	978443428	0	wh_global_ranged_kps_penalty	none	any
ambush_generic	888888001	0	wh_zar_mis_vs_cav_ranged_kps_multiplier_penalty	none	any
bridge_generic	888888002	0	wh_zar_mis_vs_cav_ranged_kps_multiplier_penalty	none	any
fortify_battle	888888003	0	wh_zar_mis_vs_cav_ranged_kps_multiplier_penalty	none	any
generic_battle	888888004	0	wh_zar_mis_vs_cav_ranged_kps_multiplier_penalty	none	any
minor_settlement_generic_land	888888005	0	wh_zar_mis_vs_cav_ranged_kps_multiplier_penalty	none	any
settlement_generic_land	888888006	0	wh_zar_mis_vs_cav_ranged_kps_multiplier_penalty	none	any
minor_settlement_generic_naval	888888010	0	wh_zar_player_bonus_sea_battles	none	human_vs_ai
settlement_generic_naval	888888011	0	wh_zar_player_bonus_sea_battles	none	human_vs_ai
