battlefield_siege_vehicles_tables
18
hit_points	key	model	battle_entity	unknown4	unknown5	unknown6	unknown7	unknown8	unknown9	unknown10	unknown11	unknown12	unknown13	unknown14	unknown15	unknown16	unknown17	unknown18	unknown19	unknown20	unknown21	unknown22
17000	def_battering_ram	def_batteringram	battering_ram	False	2	False	UI/Battle UI/siege_vehicle_icons/battering_ram_medium.png	-1	True	True	False	False	False	False	UI/Battle UI/siege_vehicle_icons/battering_ram_cat.png	0	3000	1000	1	3	0.5	
500	def_batteringram	def_batteringram	battering_ram	False	2	False	UI/Battle UI/siege_vehicle_icons/siege_tower.png	-1	False	False	False	False	False	False	PLACEHOLDER	0	100	0	1	0	0.5	
12000	def_siege_tower_15m	def_siege_tower_15m	siege_tower	False	3.2	False	UI/Battle UI/siege_vehicle_icons/siege_tower_medium.png	-1	False	True	False	False	False	False	UI/Battle UI/siege_vehicle_icons/tower_cat.png	0	2000	0	2	14	1	
17000	hef_battering_ram	hef_batteringram	battering_ram	False	2	False	UI/Battle UI/siege_vehicle_icons/battering_ram_medium.png	-1	True	True	False	False	False	False	UI/Battle UI/siege_vehicle_icons/battering_ram_cat.png	0	3000	1000	1	3	0.5	
500	hef_batteringram	hef_batteringram	battering_ram	False	2	False	UI/Battle UI/siege_vehicle_icons/siege_tower.png	-1	False	False	False	False	False	False	PLACEHOLDER	0	100	0	1	0	0.5	
12000	hef_siege_tower_15m	hef_siege_tower_15m	siege_tower	False	3.2	False	UI/Battle UI/siege_vehicle_icons/siege_tower_medium.png	-1	False	True	False	False	False	False	UI/Battle UI/siege_vehicle_icons/tower_cat.png	0	2000	0	2	10	1	
17000	lzd_battering_ram	lzd_batteringram	battering_ram	False	2	False	UI/Battle UI/siege_vehicle_icons/battering_ram_medium.png	-1	True	True	False	False	False	False	UI/Battle UI/siege_vehicle_icons/battering_ram_cat.png	0	3000	1000	1	1	0.5	
500	lzd_batteringram	lzd_batteringram	battering_ram	False	2	False	UI/Battle UI/siege_vehicle_icons/siege_tower.png	-1	False	False	False	False	False	False	PLACEHOLDER	0	100	0	1	0	0.5	
12000	lzd_siege_tower_15m	lzd_siege_tower_15m	siege_tower	False	3.2	False	UI/Battle UI/siege_vehicle_icons/siege_tower_medium.png	-1	False	True	False	False	False	False	UI/Battle UI/siege_vehicle_icons/tower_cat.png	0	2000	0	2	7	1	wh2_siege_tower_lizardmen
17000	skv_battering_ram	skv_batteringram	battering_ram	False	2	False	UI/Battle UI/siege_vehicle_icons/battering_ram_medium.png	-1	True	True	False	False	False	False	UI/Battle UI/siege_vehicle_icons/battering_ram_cat.png	0	3000	1000	1	3	0.5	
500	skv_batteringram	skv_batteringram	battering_ram	False	2	False	UI/Battle UI/siege_vehicle_icons/siege_tower.png	-1	False	False	False	False	False	False	PLACEHOLDER	0	100	0	1	0	0.5	
12000	skv_siege_tower_15m	skv_siege_tower_15m	siege_tower	False	3.2	False	UI/Battle UI/siege_vehicle_icons/siege_tower_medium.png	-1	False	True	False	False	False	False	UI/Battle UI/siege_vehicle_icons/tower_cat.png	0	2000	0	2	10	1	wh2_siege_tower_skaven
17000	brt_battering_ram	brt_batteringram	battering_ram	False	2	False	UI/Battle UI/siege_vehicle_icons/battering_ram_medium.png	-1	True	True	False	False	False	False	UI/Battle UI/siege_vehicle_icons/battering_ram_cat.png	0	3000	1200	1	0	1	
500	brt_batteringram	brt_batteringram	battering_ram	False	2	False	UI/Battle UI/siege_vehicle_icons/siege_tower.png	-1	False	False	False	False	False	False	PLACEHOLDER	0	200	0	1	0	1	
12000	brt_siege_tower_15m	brt_siege_tower_15m	siege_tower	False	3.2	False	UI/Battle UI/siege_vehicle_icons/siege_tower_medium.png	-1	False	True	False	False	False	False	UI/Battle UI/siege_vehicle_icons/tower_cat.png	0	2000	0	2	6	1	
17000	bst_battering_ram	bst_batteringram	battering_ram	False	2	False	UI/Battle UI/siege_vehicle_icons/battering_ram_medium.png	-1	True	True	False	False	False	False	UI/Battle UI/siege_vehicle_icons/battering_ram_cat.png	0	3000	1500	1	13	1	
500	bst_batteringram	bst_batteringram	battering_ram	False	2	False	UI/Battle UI/siege_vehicle_icons/siege_tower.png	-1	False	False	False	False	False	False	PLACEHOLDER	0	200	0	1	0	1	
