building_effects_junction_tables
3
building	effect	effect_scope	value	value_damaged	value_ruined
wh_main_brt_garrison_1	wh_main_effect_public_order_base	province_to_province_own	1	2	0
wh_main_brt_garrison_2	wh_main_effect_public_order_base	province_to_province_own	2	3	0
wh_main_brt_walls_1	wh_main_effect_public_order_base	province_to_province_own	1	0	0
wh_main_brt_walls_1	wh_main_effect_economy_gdp_mod_all	province_to_region_own	-3	-6	0
wh_main_brt_walls_2	wh_main_effect_public_order_base	province_to_province_own	2	1	0
wh_main_brt_walls_2	wh_main_effect_economy_gdp_mod_all	province_to_region_own	-6	-9	0
wh_main_brt_walls_3	wh_main_effect_public_order_base	province_to_province_own	3	2	0
wh_main_brt_walls_3	wh_main_effect_economy_gdp_mod_all	province_to_region_own	-9	-12	0
wh_main_brt_garrison_1	wh_main_effect_economy_gdp_mod_all	province_to_region_own	-3	-6	0
wh_main_brt_garrison_2	wh_main_effect_economy_gdp_mod_all	province_to_region_own	-6	-9	0
wh_main_brt_barracks_1	wh_main_effect_province_growth_building	region_to_province_own	-5	-10	0
wh_main_brt_barracks_2	wh_main_effect_province_growth_building	region_to_province_own	-10	-15	0
wh_main_brt_barracks_3	wh_main_effect_province_growth_building	region_to_province_own	-15	-20	0
wh_main_brt_barracks_4	wh_main_effect_province_growth_building	region_to_province_own	-20	-25	0
wh_main_brt_carpenter_1	wh_main_effect_force_all_campaign_recruitment_cost_all	province_to_force_own_provincewide	-5	-2	0
wh_main_brt_carpenter_2	wh_main_effect_force_all_campaign_recruitment_cost_all	province_to_force_own_provincewide	-10	-5	0
wh_main_brt_farm_1	wh_main_effect_province_growth_building	region_to_province_own	10	5	0
wh_main_brt_farm_1	wh_dlc07_effect_dummy_peasant_building_chain	building_to_building_own	0	0	0
wh_main_brt_farm_1	wh_dlc07_effect_economy_gdp_agriculture_farming	building_to_building_own	100	50	0
wh_main_brt_farm_2	wh_main_effect_province_growth_building	region_to_province_own	15	7	0
wh_main_brt_farm_2	wh_dlc07_effect_dummy_peasant_building_chain	building_to_building_own	0	0	0
wh_main_brt_farm_2	wh_dlc07_effect_economy_gdp_agriculture_farming	building_to_building_own	175	75	0
wh_main_brt_farm_3	wh_main_effect_province_growth_building	region_to_province_own	25	12	0
