building_effects_junction_tables
3
building	effect	effect_scope	value	value_damaged	value_ruined
wh2_main_def_defence_major_1	wh_main_effect_public_order_base	province_to_province_own	1	0	0
wh2_main_def_defence_major_1	wh_main_effect_economy_gdp_mod_all	province_to_region_own	-3	-6	0
wh2_main_def_defence_major_2	wh_main_effect_public_order_base	province_to_province_own	2	1	0
wh2_main_def_defence_major_2	wh_main_effect_economy_gdp_mod_all	province_to_region_own	-6	-9	0
wh2_main_def_defence_major_3	wh_main_effect_public_order_base	province_to_province_own	3	2	0
wh2_main_def_defence_major_3	wh_main_effect_economy_gdp_mod_all	province_to_region_own	-9	-12	0
wh2_main_def_defence_minor_1	wh_main_effect_public_order_base	province_to_province_own	1	0	0
wh2_main_def_defence_minor_1	wh_main_effect_economy_gdp_mod_all	province_to_region_own	-3	-6	0
wh2_main_def_defence_minor_2	wh_main_effect_public_order_base	province_to_province_own	2	1	0
wh2_main_def_defence_minor_2	wh_main_effect_economy_gdp_mod_all	province_to_region_own	-6	-9	0
wh2_main_def_beasts_1	wh_main_effect_region_resource_animals_production	building_to_building_own	8	4	0
wh2_main_def_beasts_2	wh_main_effect_region_resource_animals_production	building_to_building_own	12	6	0
wh2_main_def_beasts_3	wh_main_effect_region_resource_animals_production	building_to_building_own	16	8	0
wh2_main_def_coldones_1	wh_main_effect_public_order_base	province_to_province_own	3	2	0
wh2_main_def_coldones_1	wh_main_effect_unit_recruitment_points	province_to_province_own	1	1	0
wh2_main_def_coldones_2	wh_main_effect_public_order_base	province_to_province_own	5	3	0
wh2_main_def_coldones_2	wh_main_effect_unit_recruitment_points	province_to_province_own	2	1	0
wh2_main_def_coldones_2	wh_main_faction_xp_increase_generals	province_to_province_own	2	1	0
wh2_main_def_coldones_2	wh_main_faction_xp_increase_generals_hidden	faction_to_force_own_factionwide	1	1	0
wh2_main_def_defence_major_1	wh2_main_effect_ability_army_enable_shadows_of_anlec	region_to_force_own	1	1	0
wh2_main_def_defence_major_1	wh2_main_effect_building_major_settlement_only_dummy	building_to_building_own	1	1	1
wh2_main_def_defence_major_1	wh2_main_effect_textonly_tower_projectile_def_1	region_to_region_own	1	1	0
wh2_main_def_defence_major_2	wh2_main_effect_ability_army_enable_shadows_of_anlec	region_to_force_own	1	1	0
wh2_main_def_defence_major_2	wh2_main_effect_textonly_tower_projectile_def_2	region_to_region_own	1	1	0
wh2_main_def_defence_major_3	wh2_main_effect_ability_army_enable_shadows_of_anlec	region_to_force_own	1	1	0
wh2_main_def_defence_major_3	wh2_main_effect_textonly_tower_projectile_def_3	region_to_region_own	1	1	0
wh2_main_def_defence_minor_1	wh2_main_effect_building_minor_settlement_only_dummy	building_to_building_own	1	1	1
wh2_main_def_defence_minor_2	wh2_main_effect_ability_army_enable_shadows_of_anlec	region_to_force_own	1	1	0
wh2_main_def_defence_minor_2	wh2_main_effect_building_minor_settlement_only_dummy	building_to_building_own	1	1	1
wh2_main_def_defence_minor_2	wh_main_effect_settlement_walls_hidden	region_to_region_own	1	1	1
wh2_main_def_defence_minor_2	wh_main_effect_textonly_walls	region_to_region_own	1	1	0
wh2_main_def_farm_1	wh_main_effect_force_unit_stat_morale	province_to_force_enemy_provincewide	-1	0	0
wh2_main_def_farm_1	wh_main_effect_province_growth_building	region_to_province_own	10	10	0
wh2_main_def_farm_2	wh_main_effect_force_unit_stat_morale	province_to_force_enemy_provincewide	-2	-1	0
wh2_main_def_farm_2	wh_main_effect_province_growth_building	region_to_province_own	20	15	0
wh2_main_def_farm_3	wh_main_effect_force_unit_stat_morale	province_to_force_enemy_provincewide	-3	-2	0
wh2_main_def_farm_3	wh_main_effect_province_growth_building	region_to_province_own	30	20	0
wh2_main_def_industry_1	wh_main_effect_economy_gdp_industry	building_to_building_own	100	50	0
wh2_main_def_industry_2	wh_main_effect_economy_gdp_industry	building_to_building_own	150	75	0
wh2_main_def_industry_3	wh_main_effect_economy_gdp_industry	building_to_building_own	250	125	0
wh2_main_def_murder_1	wh2_main_effect_agent_cap_increase_def_khainite_assassin	faction_to_faction_own_unseen	1	1	0
wh2_main_def_murder_1	wh2_main_effect_agent_enable_recruitment_spy_def	province_to_province_own	1	1	0
wh2_main_def_murder_1	wh_main_effect_agent_action_success_chance	region_to_character_own	10	5	0
wh2_main_def_murder_1	wh_main_effect_agent_action_success_chance_enemy_building	region_to_character_enemy	-10	-5	0
wh2_main_def_murder_2	wh2_main_effect_agent_cap_increase_def_khainite_assassin	faction_to_faction_own_unseen	1	1	0
wh2_main_def_murder_2	wh2_main_effect_agent_enable_recruitment_spy_def	province_to_province_own	1	1	0
wh2_main_def_murder_2	wh2_main_effect_agent_recruitment_xp_def_khainite_assassin	province_to_province_own	4	2	0
wh2_main_def_murder_2	wh_main_effect_agent_action_success_chance	province_to_character_own_text	15	8	0
wh2_main_def_murder_2	wh_main_effect_agent_action_success_chance_enemy_building	region_to_character_enemy	-15	-8	0
wh2_main_def_order_1	wh_main_effect_public_order_base	province_to_province_own	4	2	0
wh2_main_def_order_2	wh_main_effect_public_order_base	province_to_province_own	6	3	0
wh2_main_def_order_3	wh_main_effect_public_order_base	province_to_province_own	10	5	0
wh2_main_def_port_1	wh_main_effect_economy_gdp_trade_sea	building_to_building_own	200	100	0
wh2_main_def_port_1	wh_main_effect_province_growth_building	region_to_province_own	10	5	0
wh2_main_def_port_2	wh_main_effect_economy_gdp_trade_sea	building_to_building_own	400	200	0
wh2_main_def_port_2	wh_main_effect_province_growth_building	region_to_province_own	20	10	0
wh2_main_def_port_3	wh_main_effect_economy_gdp_trade_sea	building_to_building_own	800	400	0
wh2_main_def_port_3	wh_main_effect_province_growth_building	region_to_province_own	30	15	0
wh2_main_def_roads_1	wh2_main_effect_force_own_campaign_movement_range	province_to_force_own_provincewide	15	8	0
wh2_main_def_roads_1	wh2_main_effect_slave_income_modifier	province_to_province_own	10	5	0
wh2_main_def_roads_1	wh_main_effect_economy_trade_tariff_mod	faction_to_faction_own	3	2	0
wh2_main_def_roads_1	wh_main_effect_province_growth_building	region_to_province_own	5	3	0
