building_effects_junction_tables
3
building	effect	effect_scope	value	value_damaged	value_ruined
wh_main_emp_garrison_1	wh_main_effect_public_order_base	province_to_province_own	1	2	0
wh_main_emp_garrison_2	wh_main_effect_public_order_base	province_to_province_own	2	3	0
wh_main_emp_garrison_2	wh_main_effect_economy_gdp_mod_all	province_to_region_own	-6	-9	0
wh_main_emp_walls_2	wh_main_effect_public_order_base	province_to_province_own	2	1	0
wh_main_emp_walls_2	wh_main_effect_economy_gdp_mod_all	province_to_region_own	-6	-9	0
wh_main_emp_walls_3	wh_main_effect_public_order_base	province_to_province_own	3	2	0
wh_main_emp_walls_1	wh_main_effect_public_order_base	province_to_province_own	1	0	0
wh_main_emp_walls_1	wh_main_effect_economy_gdp_mod_all	province_to_region_own	-3	-6	0
wh_main_emp_walls_3	wh_main_effect_economy_gdp_mod_all	province_to_region_own	-9	-12	0
wh_main_teb_walls_1	wh_main_effect_public_order_base	province_to_province_own	1	0	0
wh_main_teb_walls_1	wh_main_effect_economy_gdp_mod_all	province_to_region_own	-3	-6	0
wh_main_teb_walls_2	wh_main_effect_public_order_base	province_to_province_own	2	1	0
wh_main_teb_walls_2	wh_main_effect_economy_gdp_mod_all	province_to_region_own	-6	-9	0
wh_main_teb_walls_3	wh_main_effect_public_order_base	province_to_province_own	3	2	0
wh_main_teb_walls_3	wh_main_effect_economy_gdp_mod_all	province_to_region_own	-9	-12	0
wh_main_ksl_walls_1	wh_main_effect_public_order_base	province_to_province_own	1	0	0
wh_main_ksl_walls_1	wh_main_effect_economy_gdp_mod_all	province_to_region_own	-3	-6	0
wh_main_ksl_walls_2	wh_main_effect_public_order_base	province_to_province_own	2	1	0
wh_main_ksl_walls_2	wh_main_effect_economy_gdp_mod_all	province_to_region_own	-6	-9	0
wh_main_ksl_walls_3	wh_main_effect_public_order_base	province_to_province_own	3	2	0
wh_main_ksl_walls_3	wh_main_effect_economy_gdp_mod_all	province_to_region_own	-9	-12	0
wh_main_emp_garrison_1	wh_main_effect_economy_gdp_mod_all	province_to_region_own	-3	-6	0
wh_main_emp_barracks_2	wh_main_effect_province_growth_building	region_to_province_own	-5	-7	0
wh_main_emp_barracks_3	wh_main_effect_agent_cap_increase_champion_captain	faction_to_faction_own_unseen	1	1	0
wh_main_emp_barracks_3	wh_main_effect_agent_enable_recruitment_champion_empire	province_to_province_own	1	1	0
wh_main_emp_barracks_3	wh_main_effect_agent_enable_recruitment_champion_kteb	province_to_province_own	1	1	0
wh_main_emp_barracks_3	wh_main_effect_agent_recruitment_xp_champion_empire	province_to_province_own	2	2	0
wh_main_emp_barracks_3	wh_main_effect_province_growth_building	region_to_province_own	-10	-15	0
wh_main_emp_farm_basic_1	wh_main_effect_economy_gdp_agriculture_farming	building_to_building_own	50	20	0
wh_main_emp_farm_basic_1	wh_main_effect_force_army_campaign_siege_defend_attrition	province_to_force_own_provincewide	-10	-5	0
wh_main_emp_farm_basic_1	wh_main_effect_province_growth_building	region_to_province_own	10	10	0
wh_main_emp_farm_basic_2	wh_main_effect_economy_gdp_agriculture_farming	building_to_building_own	100	40	0
wh_main_emp_farm_basic_2	wh_main_effect_force_army_campaign_siege_defend_attrition	province_to_force_own_provincewide	-15	-10	0
wh_main_emp_farm_basic_2	wh_main_effect_province_growth_building	region_to_province_own	20	15	0
wh_main_emp_farm_basic_3	wh_main_effect_economy_gdp_agriculture_farming	building_to_building_own	150	50	0
wh_main_emp_farm_basic_3	wh_main_effect_force_army_campaign_siege_defend_attrition	province_to_force_own_provincewide	-20	-15	0
wh_main_emp_farm_basic_3	wh_main_effect_province_growth_building	region_to_province_own	30	20	0
wh_main_emp_forges_2	wh_main_effect_province_growth_building	region_to_province_own	-5	-7	0
