building_effects_junction_tables
3
building	effect	effect_scope	value	value_damaged	value_ruined
wh_dlc06_grn_garrison_1_skarsnik	wh_main_effect_public_order_base	province_to_province_own	1	0	0
wh_dlc06_grn_garrison_1_wurrzag	wh_main_effect_public_order_base	province_to_province_own	1	0	0
wh_dlc06_grn_garrison_2_skarsnik	wh_main_effect_public_order_base	province_to_province_own	2	1	0
wh_dlc06_grn_garrison_2_skarsnik	wh_main_effect_economy_gdp_mod_all	province_to_region_own	-6	-9	0
wh_dlc06_grn_garrison_2_wurrzag	wh_main_effect_public_order_base	province_to_province_own	2	1	0
wh_dlc06_grn_garrison_2_wurrzag	wh_main_effect_economy_gdp_mod_all	province_to_region_own	-6	-6	0
wh_dlc06_grn_walls_1_skarsnik	wh_main_effect_public_order_base	province_to_province_own	1	0	0
wh_dlc06_grn_walls_1_skarsnik	wh_main_effect_economy_gdp_mod_all	province_to_region_own	-3	-6	0
wh_dlc06_grn_walls_1_wurrzag	wh_main_effect_public_order_base	province_to_province_own	1	0	0
wh_dlc06_grn_walls_1_wurrzag	wh_main_effect_economy_gdp_mod_all	province_to_region_own	-3	-6	0
wh_dlc06_grn_walls_2_skarsnik	wh_main_effect_public_order_base	province_to_province_own	2	1	0
wh_dlc06_grn_walls_2_skarsnik	wh_main_effect_economy_gdp_mod_all	province_to_region_own	-6	-6	0
wh_dlc06_grn_walls_2_wurrzag	wh_main_effect_public_order_base	province_to_province_own	2	1	0
wh_dlc06_grn_walls_2_wurrzag	wh_main_effect_economy_gdp_mod_all	province_to_region_own	-6	-9	0
wh_dlc06_grn_walls_3_skarsnik	wh_main_effect_public_order_base	province_to_province_own	3	2	0
wh_dlc06_grn_walls_3_skarsnik	wh_main_effect_economy_gdp_mod_all	province_to_region_own	-9	-12	0
wh_dlc06_grn_walls_3_wurrzag	wh_main_effect_public_order_base	province_to_province_own	3	2	0
wh_dlc06_grn_walls_3_wurrzag	wh_main_effect_economy_gdp_mod_all	province_to_region_own	-9	-12	0
wh_main_grn_garrison_1	wh_main_effect_public_order_base	province_to_province_own	1	0	0
wh_main_grn_garrison_1	wh_main_effect_economy_gdp_mod_all	province_to_region_own	-3	-6	0
wh_main_grn_garrison_2	wh_main_effect_public_order_base	province_to_province_own	2	1	0
wh_main_grn_garrison_2	wh_main_effect_economy_gdp_mod_all	province_to_region_own	-6	-9	0
wh_main_grn_walls_1	wh_main_effect_public_order_base	province_to_province_own	1	0	0
wh_main_grn_walls_1	wh_main_effect_economy_gdp_mod_all	province_to_region_own	-3	-6	0
wh_main_grn_walls_2	wh_main_effect_public_order_base	province_to_province_own	2	1	0
wh_main_grn_walls_2	wh_main_effect_economy_gdp_mod_all	province_to_region_own	-6	-9	0
wh_main_grn_walls_3	wh_main_effect_public_order_base	province_to_province_own	3	2	0
wh_main_grn_walls_3	wh_main_effect_economy_gdp_mod_all	province_to_region_own	-9	-12	0
wh_dlc06_grn_garrison_1_skarsnik	wh_main_effect_economy_gdp_mod_all	province_to_region_own	-3	-6	0
wh_dlc06_grn_garrison_1_wurrzag	wh_main_effect_economy_gdp_mod_all	province_to_region_own	-3	-6	0
wh_main_grn_boars_1	wh2_main_effect_force_enemy_campaign_movement_range	province_to_force_own_provincewide	-5	0	0
wh_dlc06_grn_boars_2_skarsnik	wh2_main_effect_force_enemy_campaign_movement_range	province_to_force_own_provincewide	-10	-5	0
wh_main_grn_boss_1	wh_main_effect_public_order_base	province_to_province_own	6	3	0
wh_main_grn_boss_1	wh_main_effect_religion_conversion_untainted	region_to_region_own	3	1	0
wh_main_grn_boss_2	wh_main_effect_agent_enable_recruitment_spy_greenskins	province_to_province_own	1	1	0
wh_main_grn_boss_2	wh_main_effect_public_order_base	province_to_province_own	10	5	0
wh_main_grn_boss_2	wh_main_effect_religion_conversion_untainted	region_to_region_own	4	1	0
wh_main_grn_boss_3	wh_main_effect_agent_cap_increase_spy_goblin_big_boss	faction_to_faction_own_unseen	1	1	0
wh_main_grn_boss_3	wh_main_effect_agent_enable_recruitment_spy_greenskins	province_to_province_own	1	1	0
wh_main_grn_boss_3	wh_main_effect_agent_recruitment_xp_spy_greenskins	province_to_province_own	3	2	0
wh_main_grn_boss_3	wh_main_effect_public_order_base	province_to_province_own	14	7	0
wh_main_grn_boss_3	wh_main_effect_religion_conversion_untainted	region_to_region_own	5	2	0
wh_main_grn_farm_1	wh_main_effect_force_all_campaign_replenishment_rate	province_to_army_own	5	1	0
wh_main_grn_farm_1	wh_main_effect_province_growth_building	region_to_province_own	30	10	0
wh_main_grn_farm_1	wh_main_effect_religion_conversion_untainted	region_to_region_own	3	10	0
wh_main_grn_farm_2	wh_main_effect_force_all_campaign_replenishment_rate	province_to_army_own	8	2	0
wh_main_grn_farm_2	wh_main_effect_province_growth_building	region_to_province_own	45	15	0
wh_main_grn_farm_2	wh_main_effect_religion_conversion_untainted	region_to_region_own	5	15	0
wh_main_grn_farm_3	wh_main_effect_force_all_campaign_replenishment_rate	province_to_army_own	10	2	0
wh_main_grn_farm_3	wh_main_effect_province_growth_building	region_to_province_own	60	20	0
wh_main_grn_farm_3	wh_main_effect_religion_conversion_untainted	region_to_region_own	7	20	0
wh_main_grn_forest_beasts_1	wh_main_effect_force_unit_stat_morale	province_to_force_enemy_provincewide	-1	0	0
wh_main_grn_forest_beasts_2	wh_main_effect_force_unit_stat_morale	province_to_force_enemy_provincewide	-2	-1	0
wh_main_grn_forest_beasts_3	wh_main_effect_force_unit_stat_morale	province_to_force_enemy_provincewide	-3	-2	0
wh_main_grn_industry_1	wh_main_effect_economy_gdp_industry	building_to_building_own	150	50	0
wh_main_grn_industry_1	wh_main_effect_public_order_base	province_to_province_own	-1	-2	0
wh_main_grn_industry_2	wh_main_effect_economy_gdp_industry	building_to_building_own	250	100	0
wh_main_grn_industry_2	wh_main_effect_public_order_base	province_to_province_own	-2	-3	0
wh_main_grn_industry_3	wh_main_effect_economy_gdp_industry	building_to_building_own	400	200	0
wh_main_grn_industry_3	wh_main_effect_public_order_base	province_to_province_own	-3	-4	0
wh_main_grn_military_1	wh_main_effect_economy_gdp_subsistance	building_to_building_own	50	25	0
wh_main_grn_military_1	wh_main_effect_province_growth_building	region_to_province_own	-5	-10	0
wh_main_grn_military_2	wh_main_effect_economy_gdp_subsistance	building_to_building_own	75	35	0
wh_main_grn_military_2	wh_main_effect_province_growth_building	region_to_province_own	-10	-15	0
wh_main_grn_military_3	wh_main_effect_economy_gdp_subsistance	building_to_building_own	100	50	0
wh_main_grn_military_3	wh_main_effect_province_growth_building	region_to_province_own	-15	-20	0
wh_main_grn_military_4	wh_main_effect_economy_gdp_subsistance	building_to_building_own	125	65	0
wh_main_grn_military_4	wh_main_effect_province_growth_building	region_to_province_own	-20	-25	0
wh_main_grn_monsters_2	wh_main_effect_force_army_campaign_siege_defend_holdout_time	region_to_region_own	2	1	0
wh_main_grn_monsters_2	wh_main_effect_tech_hitpoints_increase_giants	building_to_force_own_factionwide	10	10	0
wh_main_grn_port_1	wh_main_effect_economy_gdp_trade_sea	building_to_building_own	150	100	0
wh_main_grn_port_1	wh_main_effect_province_growth_building	region_to_province_own	25	5	0
wh_main_grn_port_1	wh_main_effect_force_army_campaign_siege_defend_holdout_time	region_to_region_own	1	0	0
wh_main_grn_port_2	wh_main_effect_economy_gdp_trade_sea	building_to_building_own	300	200	0
wh_main_grn_port_2	wh_main_effect_province_growth_building	region_to_province_own	35	10	0
wh_main_grn_port_2	wh_main_effect_force_army_campaign_siege_defend_holdout_time	region_to_region_own	2	1	0
wh_main_grn_port_3	wh_main_effect_economy_gdp_trade_sea	building_to_building_own	450	250	0
wh_main_grn_port_3	wh_main_effect_province_growth_building	region_to_province_own	45	15	0
wh_main_grn_port_3	wh_main_effect_force_army_campaign_siege_defend_holdout_time	region_to_region_own	3	2	0
wh_main_grn_resource_gems_1	wh_main_effect_economy_gdp_industry	building_to_building_own	400	200	0
wh_main_grn_resource_gems_1	wh_main_effect_public_order_base	province_to_province_own	-1	-2	0
wh_main_grn_resource_gems_2	wh_main_effect_economy_gdp_industry	building_to_building_own	600	300	0
wh_main_grn_resource_gems_2	wh_main_effect_public_order_base	province_to_province_own	-2	-3	0
wh_main_grn_resource_gems_3	wh_main_effect_economy_gdp_industry	building_to_building_own	800	400	0
wh_main_grn_resource_gems_3	wh_main_effect_public_order_base	province_to_province_own	-3	-4	0
wh_main_grn_resource_gold_1	wh_main_effect_economy_gdp_industry	building_to_building_own	500	250	0
wh_main_grn_resource_gold_1	wh_main_effect_public_order_base	province_to_province_own	-1	-2	0
wh_main_grn_resource_gold_2	wh_main_effect_economy_gdp_industry	building_to_building_own	750	375	0
wh_main_grn_resource_gold_2	wh_main_effect_public_order_base	province_to_province_own	-2	-3	0
wh_main_grn_resource_gold_3	wh_main_effect_economy_gdp_industry	building_to_building_own	1000	500	0
wh_main_grn_resource_gold_3	wh_main_effect_public_order_base	province_to_province_own	-3	-4	0
wh_main_grn_shaman_1	wh_main_effect_agent_cap_increase_wizard_orc_shaman	faction_to_faction_own_unseen	1	1	0
wh_main_grn_shaman_1	wh_main_effect_agent_enable_recruitment_wizard_greenskins_goblin_shaman	province_to_province_own	1	1	0
wh_main_grn_shaman_1	wh_main_effect_agent_enable_recruitment_wizard_greenskins_orc_shaman	province_to_province_own	1	1	0
wh_main_grn_shaman_1	wh_main_effect_religion_conversion_untainted	region_to_region_own	5	3	0
wh_main_grn_shaman_1	wh_main_effect_military_force_winds_of_magic_depletion_mod_other	building_to_force_own_provincewide_unseen	4	4	0
wh_main_grn_shaman_2	wh_main_effect_agent_cap_increase_wizard_orc_shaman	faction_to_faction_own_unseen	1	1	0
wh_main_grn_shaman_2	wh_main_effect_agent_enable_recruitment_wizard_greenskins_goblin_shaman	province_to_province_own	1	1	0
wh_main_grn_shaman_2	wh_main_effect_agent_enable_recruitment_wizard_greenskins_orc_shaman	province_to_province_own	1	1	0
wh_main_grn_shaman_2	wh_main_effect_agent_recruitment_xp_wizard_greenskins	province_to_province_own	3	2	0
wh_main_grn_shaman_2	wh_main_effect_force_army_campaign_recruitment_points	province_to_faction_unseen	1	1	0
wh_main_grn_shaman_2	wh_main_effect_religion_conversion_untainted	region_to_region_own	8	4	0
wh_main_grn_shaman_2	wh_main_effect_unit_recruitment_points	province_to_province_own	1	1	0
wh_main_grn_shaman_2	wh_main_effect_military_force_winds_of_magic_depletion_mod_other	building_to_force_own_provincewide_unseen	8	8	0
wh_main_grn_workshop_1	wh_main_effect_public_order_base	province_to_province_own	-2	-3	0
wh_main_grn_workshop_2	wh_main_effect_public_order_base	province_to_province_own	-4	-5	0
wh_main_horde_savage_farm_1	wh_main_effect_force_all_campaign_replenishment_rate	force_to_force_own	10	1	0
wh_main_horde_savage_farm_1	wh_main_effect_hordebuilding_growth_core	force_to_force_own	10	5	0
wh_main_horde_savage_farm_1	wh_main_effect_economy_gdp_agriculture_farming	force_to_force_building	75	10	0
