building_effects_junction_tables
3
building	effect	effect_scope	value	value_damaged	value_ruined
wh2_main_hef_defence_major_1	wh_main_effect_public_order_base	province_to_province_own	1	0	0
wh2_main_hef_defence_major_1	wh_main_effect_economy_gdp_mod_all	province_to_region_own	-3	-6	0
wh2_main_hef_defence_major_2	wh_main_effect_public_order_base	province_to_province_own	2	1	0
wh2_main_hef_defence_major_2	wh_main_effect_economy_gdp_mod_all	province_to_region_own	-6	-9	0
wh2_main_hef_defence_major_3	wh_main_effect_public_order_base	province_to_province_own	3	2	0
wh2_main_hef_defence_major_3	wh_main_effect_economy_gdp_mod_all	province_to_region_own	-9	-12	0
wh2_main_hef_defence_minor_1	wh_main_effect_public_order_base	province_to_province_own	1	0	0
wh2_main_hef_defence_minor_1	wh_main_effect_economy_gdp_mod_all	province_to_region_own	-3	-6	0
wh2_main_hef_defence_minor_2	wh_main_effect_public_order_base	province_to_province_own	2	1	0
wh2_main_hef_defence_minor_2	wh_main_effect_economy_gdp_mod_all	province_to_region_own	-6	-9	0
wh2_main_hef_court_1	wh2_main_effect_agent_enable_recruitment_hef_noble	province_to_province_own	1	1	0
wh2_main_hef_court_1	wh2_main_effect_economy_gdp_mod_culture_hef	province_to_region_own	10	5	0
wh2_main_hef_court_2	wh2_main_effect_agent_cap_increase_hef_noble	faction_to_faction_own_unseen	1	1	0
wh2_main_hef_court_2	wh2_main_effect_agent_enable_recruitment_hef_noble	province_to_province_own	1	1	0
wh2_main_hef_court_2	wh2_main_effect_agent_recruitment_xp_hef_noble	province_to_province_own	5	5	0
wh2_main_hef_court_2	wh2_main_effect_economy_gdp_mod_culture_hef	province_to_region_own	30	15	0
wh2_main_hef_defence_major_1	wh2_main_effect_ability_army_enable_channeling_spire	region_to_force_own	1	1	0
wh2_main_hef_defence_major_1	wh2_main_effect_building_major_settlement_only_dummy	building_to_building_own	1	1	1
wh2_main_hef_defence_major_1	wh2_main_effect_textonly_tower_projectile_hef_1	region_to_region_own	1	1	0
