building_effects_junction_tables
3
building	effect	effect_scope	value	value_damaged	value_ruined
wh2_main_lzd_defence_major_1	wh_main_effect_public_order_base	province_to_province_own	1	0	0
wh2_main_lzd_defence_major_1	wh_main_effect_economy_gdp_mod_all	province_to_region_own	-3	-6	0
wh2_main_lzd_defence_major_2	wh_main_effect_public_order_base	province_to_province_own	2	1	0
wh2_main_lzd_defence_major_2	wh_main_effect_economy_gdp_mod_all	province_to_region_own	-6	-9	0
wh2_main_lzd_defence_major_3	wh_main_effect_public_order_base	province_to_province_own	3	2	0
wh2_main_lzd_defence_major_3	wh_main_effect_economy_gdp_mod_all	province_to_region_own	-9	-12	0
wh2_main_lzd_defence_minor_1	wh_main_effect_public_order_base	province_to_province_own	1	0	0
wh2_main_lzd_defence_minor_1	wh_main_effect_economy_gdp_mod_all	province_to_region_own	-3	-6	0
wh2_main_lzd_defence_minor_2	wh_main_effect_public_order_base	province_to_province_own	2	1	0
wh2_main_lzd_defence_minor_2	wh_main_effect_economy_gdp_mod_all	province_to_region_own	-6	-9	0
wh2_main_lzd_beasts_1	wh_main_effect_region_resource_animals_production	building_to_building_own	8	4	0
wh2_main_lzd_beasts_2	wh_main_effect_region_resource_animals_production	building_to_building_own	12	6	0
wh2_main_lzd_beasts_3	wh_main_effect_region_resource_animals_production	building_to_building_own	20	10	0
wh2_main_lzd_defence_major_1	wh2_main_effect_ability_army_enable_holy_stela	region_to_force_own	1	1	0
wh2_main_lzd_defence_major_1	wh2_main_effect_building_major_settlement_only_dummy	building_to_building_own	1	1	1
wh2_main_lzd_defence_major_1	wh2_main_effect_textonly_tower_projectile_lzd_1	region_to_region_own	1	1	0
wh2_main_lzd_defence_major_2	wh2_main_effect_ability_army_enable_holy_stela	region_to_force_own	1	1	0
wh2_main_lzd_defence_major_2	wh2_main_effect_textonly_tower_projectile_lzd_2	region_to_region_own	1	1	0
wh2_main_lzd_defence_major_3	wh2_main_effect_ability_army_enable_holy_stela	region_to_force_own	1	1	0
wh2_main_lzd_defence_major_3	wh2_main_effect_textonly_tower_projectile_lzd_3	region_to_region_own	1	1	0
wh2_main_lzd_defence_minor_1	wh2_main_effect_building_minor_settlement_only_dummy	building_to_building_own	1	1	1
wh2_main_lzd_defence_minor_2	wh2_main_effect_ability_army_enable_holy_stela	region_to_force_own	1	1	0
wh2_main_lzd_defence_minor_2	wh2_main_effect_building_minor_settlement_only_dummy	building_to_building_own	1	1	1
wh2_main_lzd_defence_minor_2	wh_main_effect_settlement_walls_hidden	region_to_region_own	1	1	1
wh2_main_lzd_defence_minor_1	wh_main_effect_textonly_walls	region_to_region_own	1	1	0
wh2_main_lzd_energy_1	wh2_main_effect_building_minor_settlement_only_dummy	region_to_region_own	1	1	1
wh2_main_lzd_energy_1	wh_main_effect_economy_gdp_mod_all	province_to_region_own	5	3	0
wh2_main_lzd_energy_2	wh2_main_effect_building_minor_settlement_only_dummy	region_to_region_own	1	1	1
wh2_main_lzd_energy_2	wh_main_effect_economy_gdp_mod_all	province_to_region_own	10	5	0
wh2_main_lzd_energy_2	wh_main_effect_unit_recruitment_points	province_to_province_own	1	1	0
wh2_main_lzd_energy_3	wh2_main_effect_building_major_settlement_only_dummy	region_to_region_own	1	1	1
wh2_main_lzd_energy_3	wh2_main_effect_geomancy_building_dummy	region_to_province_own	3	3	3
wh2_main_lzd_energy_3	wh_main_effect_economy_gdp_mod_all	province_to_region_own	15	7	0
wh2_main_lzd_energy_4	wh2_main_effect_geomancy_building_dummy	region_to_province_own	4	4	4
wh2_main_lzd_energy_4	wh_main_effect_economy_gdp_mod_all	province_to_region_own	20	10	0
wh2_main_lzd_energy_5	wh2_main_effect_geomancy_building_dummy	region_to_province_own	5	5	5
wh2_main_lzd_energy_5	wh_main_effect_economy_gdp_mod_all	province_to_region_own	25	12	0
wh2_main_lzd_farm_1	wh_main_effect_force_all_campaign_replenishment_rate	province_to_army_own	4	2	0
wh2_main_lzd_farm_1	wh_main_effect_province_growth_building	region_to_province_own	10	5	0
wh2_main_lzd_farm_2	wh_main_effect_force_all_campaign_replenishment_rate	province_to_army_own	8	4	0
wh2_main_lzd_farm_2	wh_main_effect_province_growth_building	region_to_province_own	20	10	0
wh2_main_lzd_farm_3	wh_main_effect_force_all_campaign_replenishment_rate	province_to_army_own	12	6	0
wh2_main_lzd_farm_3	wh_main_effect_province_growth_building	region_to_province_own	30	15	0
wh2_main_lzd_industry_1	wh_main_effect_economy_gdp_industry	building_to_building_own	100	50	0
wh2_main_lzd_industry_2	wh_main_effect_economy_gdp_industry	building_to_building_own	250	125	0
