building_effects_junction_tables
3
building	effect	effect_scope	value	value_damaged	value_ruined
wh2_main_rogue_outpostnorsca_major_1	wh_main_effect_construction_slot_dummy	this_building	1	1	1
wh2_main_rogue_outpostnorsca_major_1	wh_main_effect_province_growth_building	region_to_province_own	20	5	0
wh2_main_rogue_outpostnorsca_major_1	wh_main_effect_public_order_base	province_to_province_own	2	1	0
wh2_main_rogue_outpostnorsca_major_1	wh_main_effect_religion_conversion_state	region_to_region_own	4	2	0
wh2_main_rogue_outpostnorsca_major_2	wh_main_effect_construction_slot_multiple_dummy	this_building	2	2	2
wh2_main_rogue_outpostnorsca_major_2	wh_main_effect_province_growth_building	region_to_province_own	40	10	0
wh2_main_rogue_outpostnorsca_major_2	wh_main_effect_public_order_base	province_to_province_own	4	2	0
wh2_main_rogue_outpostnorsca_major_2	wh_main_effect_religion_conversion_state	region_to_region_own	5	3	0
wh2_main_rogue_outpostnorsca_major_3	wh_main_effect_construction_slot_multiple_dummy	this_building	3	3	3
wh2_main_rogue_outpostnorsca_major_3	wh_main_effect_economy_gdp_subsistance	building_to_building_own	150	75	0
wh2_main_rogue_outpostnorsca_major_3	wh_main_effect_province_growth_building	region_to_province_own	60	15	0
wh2_main_rogue_outpostnorsca_major_3	wh_main_effect_public_order_base	province_to_province_own	6	3	0
wh2_main_rogue_outpostnorsca_major_3	wh_main_effect_religion_conversion_state	region_to_region_own	6	3	0
wh2_main_rogue_outpostnorsca_major_3	wh_main_effect_unit_recruitment_points	province_to_province_own	1	1	0
wh2_main_rogue_outpostnorsca_major_coast_1	wh_main_effect_construction_slot_dummy	this_building	1	1	1
wh2_main_rogue_outpostnorsca_major_coast_1	wh_main_effect_province_growth_building	region_to_province_own	20	5	0
wh2_main_rogue_outpostnorsca_major_coast_1	wh_main_effect_public_order_base	province_to_province_own	2	1	0
wh2_main_rogue_outpostnorsca_major_coast_1	wh_main_effect_religion_conversion_state	region_to_region_own	4	2	0
wh2_main_rogue_outpostnorsca_major_coast_2	wh_main_effect_construction_slot_multiple_dummy	this_building	2	2	2
wh2_main_rogue_outpostnorsca_major_coast_2	wh_main_effect_province_growth_building	region_to_province_own	40	10	0
wh2_main_rogue_outpostnorsca_major_coast_2	wh_main_effect_public_order_base	province_to_province_own	4	2	0
wh2_main_rogue_outpostnorsca_major_coast_2	wh_main_effect_religion_conversion_state	region_to_region_own	5	3	0
