building_effects_junction_tables
3
building	effect	effect_scope	value	value_damaged	value_ruined
wh2_main_skv_defence_major_1	wh_main_effect_public_order_base	province_to_province_own	1	0	0
wh2_main_skv_defence_major_2	wh_main_effect_public_order_base	province_to_province_own	2	0	0
wh2_main_skv_defence_major_3	wh_main_effect_public_order_base	province_to_province_own	3	2	0
wh2_main_skv_defence_minor_1	wh_main_effect_public_order_base	province_to_province_own	1	0	0
wh2_main_skv_defence_minor_2	wh_main_effect_public_order_base	province_to_province_own	2	1	0
wh2_main_special_corrupted_spawning_pool_1	wh2_main_pooled_resource_skaven_food_buildings	faction_to_faction_own_unseen	5	3	0
wh2_main_special_mors_hq_1	wh2_main_pooled_resource_skaven_food_buildings	faction_to_faction_own_unseen	5	3	0
wh2_main_skv_assassins_1	wh_main_effect_economy_gdp_agriculture_animal_husbandry	building_to_building_own	60	30	0
wh2_main_skv_assassins_1	wh_main_effect_religion_conversion_skaven	region_to_region_own	1	1	0
wh2_main_skv_assassins_2	wh2_main_effect_agent_cap_increase_skv_assassin	faction_to_faction_own_unseen	1	1	0
wh2_main_skv_assassins_2	wh2_main_effect_agent_enable_recruitment_spy_skv	province_to_province_own	1	1	0
wh2_main_skv_assassins_2	wh_main_effect_economy_gdp_agriculture_animal_husbandry	building_to_building_own	60	30	0
wh2_main_skv_assassins_2	wh_main_effect_religion_conversion_skaven	region_to_region_own	1	1	0
wh2_main_skv_assassins_3	wh2_main_effect_agent_cap_increase_skv_assassin	faction_to_faction_own_unseen	2	2	0
wh2_main_skv_assassins_3	wh2_main_effect_agent_enable_recruitment_spy_skv	province_to_province_own	1	1	0
wh2_main_skv_assassins_3	wh2_main_effect_agent_recruitment_xp_skv_assassin	province_to_province_own	4	2	0
wh2_main_skv_assassins_3	wh_main_effect_economy_gdp_agriculture_animal_husbandry	building_to_building_own	60	30	0
wh2_main_skv_assassins_3	wh_main_effect_religion_conversion_skaven	region_to_region_own	1	1	0
wh2_main_skv_clanrats_1	wh_main_effect_economy_gdp_agriculture_farming	building_to_building_own	60	30	0
wh2_main_skv_clanrats_1	wh_main_effect_religion_conversion_skaven	region_to_region_own	1	1	0
wh2_main_skv_clanrats_2	wh_main_effect_economy_gdp_agriculture_farming	building_to_building_own	60	30	0
wh2_main_skv_clanrats_2	wh_main_effect_religion_conversion_skaven	region_to_region_own	1	1	0
wh2_main_skv_clanrats_3	wh_main_effect_economy_gdp_agriculture_farming	building_to_building_own	60	30	0
wh2_main_skv_clanrats_3	wh_main_effect_religion_conversion_skaven	region_to_region_own	1	1	0
wh2_main_skv_defence_major_1	wh2_main_effect_ability_army_enable_warpbomb	region_to_force_own	1	1	0
wh2_main_skv_defence_major_1	wh2_main_effect_building_major_settlement_only_dummy	building_to_building_own	1	1	1
wh2_main_skv_defence_major_1	wh2_main_effect_textonly_tower_projectile_skv_1	region_to_region_own	1	1	0
wh2_main_skv_defence_major_1	wh_main_effect_religion_conversion_skaven	region_to_region_own	1	1	0
wh2_main_skv_defence_major_2	wh2_main_effect_ability_army_enable_warpbomb	region_to_force_own	1	1	0
wh2_main_skv_defence_major_2	wh2_main_effect_textonly_tower_projectile_skv_2	region_to_region_own	1	1	0
wh2_main_skv_defence_major_2	wh_main_effect_religion_conversion_skaven	region_to_region_own	1	1	0
wh2_main_skv_defence_major_3	wh2_main_effect_ability_army_enable_warpbomb	region_to_force_own	1	1	0
wh2_main_skv_defence_major_3	wh2_main_effect_textonly_tower_projectile_skv_3	region_to_region_own	1	1	0
wh2_main_skv_defence_major_3	wh_main_effect_religion_conversion_skaven	region_to_region_own	1	1	0
wh2_main_skv_defence_minor_1	wh2_main_effect_building_minor_settlement_only_dummy	building_to_building_own	1	1	1
wh2_main_skv_defence_minor_1	wh_main_effect_religion_conversion_skaven	region_to_region_own	1	1	0
wh2_main_skv_defence_minor_2	wh2_main_effect_ability_army_enable_warpbomb	region_to_force_own	1	1	0
wh2_main_skv_defence_minor_2	wh2_main_effect_building_minor_settlement_only_dummy	building_to_building_own	1	1	1
wh2_main_skv_defence_minor_2	wh_main_effect_religion_conversion_skaven	region_to_region_own	1	1	0
wh2_main_skv_defence_minor_2	wh_main_effect_settlement_walls_hidden	region_to_region_own	1	1	1
wh2_main_skv_defence_minor_2	wh_main_effect_textonly_walls	region_to_region_own	1	1	0
wh2_main_skv_energy_1	wh2_main_effect_building_major_settlement_only_dummy	building_to_building_own	1	1	0
wh2_main_skv_energy_1	wh_main_effect_economy_gdp_mod_all	province_to_region_own	60	30	0
wh2_main_skv_energy_1	wh_main_effect_religion_conversion_skaven	region_to_region_own	1	1	0
wh2_main_skv_energy_2	wh2_main_effect_building_major_settlement_only_dummy	building_to_building_own	1	1	0
wh2_main_skv_energy_2	wh_main_effect_economy_gdp_mod_all	province_to_region_own	70	35	0
wh2_main_skv_energy_2	wh_main_effect_religion_conversion_skaven	region_to_region_own	1	1	0
wh2_main_skv_energy_3	wh2_main_effect_building_major_settlement_only_dummy	building_to_building_own	1	1	0
wh2_main_skv_energy_3	wh_main_effect_economy_gdp_mod_all	province_to_region_own	80	40	0
wh2_main_skv_energy_3	wh_main_effect_religion_conversion_skaven	region_to_region_own	1	1	0
wh2_main_skv_energy_4	wh_main_effect_economy_gdp_mod_all	province_to_region_own	90	45	0
wh2_main_skv_energy_4	wh_main_effect_religion_conversion_skaven	region_to_region_own	1	1	0
wh2_main_skv_energy_5	wh_main_effect_economy_gdp_mod_all	province_to_region_own	100	50	0
wh2_main_skv_energy_5	wh_main_effect_religion_conversion_skaven	region_to_region_own	1	1	0
wh2_main_skv_engineers_1	wh_main_effect_economy_gdp_culture	building_to_building_own	60	30	0
wh2_main_skv_engineers_1	wh_main_effect_religion_conversion_skaven	region_to_region_own	1	1	0
wh2_main_skv_engineers_2	wh2_main_effect_agent_enable_recruitment_engineer_skv	province_to_province_own	1	1	0
wh2_main_skv_engineers_2	wh_main_effect_economy_gdp_culture	building_to_building_own	60	30	0
wh2_main_skv_engineers_2	wh_main_effect_religion_conversion_skaven	region_to_region_own	1	1	0
wh2_main_skv_engineers_2	wh_main_effect_technology_research_points	faction_to_faction_own_unseen	3	2	0
wh2_main_skv_engineers_3	wh2_main_effect_agent_cap_increase_skv_warlock_engineer	faction_to_faction_own_unseen	1	1	0
wh2_main_skv_engineers_3	wh2_main_effect_agent_enable_recruitment_engineer_skv	province_to_province_own	1	1	0
wh2_main_skv_engineers_3	wh2_main_effect_agent_recruitment_xp_skv_warlock_engineer	province_to_province_own	4	2	0
wh2_main_skv_engineers_3	wh_main_effect_economy_gdp_culture	building_to_building_own	60	30	0
wh2_main_skv_engineers_3	wh_main_effect_religion_conversion_skaven	region_to_region_own	1	1	0
wh2_main_skv_engineers_3	wh_main_effect_technology_research_points	faction_to_faction_own_unseen	6	3	0
wh2_main_skv_farm_1	wh_main_effect_force_all_campaign_replenishment_rate	province_to_army_own	2	1	0
wh2_main_skv_farm_1	wh_main_effect_province_growth_building	region_to_province_own	30	15	0
wh2_main_skv_farm_1	wh_main_effect_religion_conversion_skaven	region_to_region_own	1	1	0
wh2_main_skv_farm_2	wh_main_effect_force_all_campaign_replenishment_rate	province_to_army_own	3	2	0
wh2_main_skv_farm_2	wh_main_effect_province_growth_building	region_to_province_own	50	25	0
wh2_main_skv_farm_2	wh_main_effect_religion_conversion_skaven	region_to_region_own	1	1	0
wh2_main_skv_farm_3	wh_main_effect_force_all_campaign_replenishment_rate	province_to_army_own	6	3	0
wh2_main_skv_farm_3	wh_main_effect_province_growth_building	region_to_province_own	100	50	0
wh2_main_skv_farm_3	wh_main_effect_religion_conversion_skaven	region_to_region_own	1	1	0
wh2_main_skv_monsters_1	wh_main_effect_economy_gdp_learning	building_to_building_own	60	30	0
wh2_main_skv_monsters_1	wh_main_effect_religion_conversion_skaven	region_to_region_own	2	2	0
wh2_main_skv_monsters_2	wh_main_effect_economy_gdp_learning	building_to_building_own	60	30	0
wh2_main_skv_monsters_2	wh_main_effect_religion_conversion_skaven	region_to_region_own	2	2	0
wh2_main_skv_order_1	wh_main_effect_economy_gdp_culture	building_to_building_own	80	40	0
wh2_main_skv_order_1	wh_main_effect_public_order_base	province_to_province_own	4	2	0
wh2_main_skv_order_1	wh_main_effect_religion_conversion_skaven	region_to_region_own	1	1	0
wh2_main_skv_order_2	wh_main_effect_economy_gdp_culture	building_to_building_own	80	40	0
wh2_main_skv_order_2	wh_main_effect_public_order_base	province_to_province_own	6	3	0
wh2_main_skv_order_2	wh_main_effect_religion_conversion_skaven	region_to_region_own	1	1	0
wh2_main_skv_order_3	wh_main_effect_economy_gdp_culture	building_to_building_own	80	40	0
wh2_main_skv_order_3	wh_main_effect_public_order_base	province_to_province_own	9	5	0
wh2_main_skv_order_3	wh_main_effect_religion_conversion_skaven	region_to_region_own	1	1	0
wh2_main_skv_salvage_1	wh_main_effect_economy_gdp_trade_local	building_to_building_own	40	20	0
wh2_main_skv_salvage_1	wh_main_effect_force_all_campaign_recruitment_cost_all	province_to_force_own_provincewide	-2	0	0
wh2_main_skv_salvage_1	wh_main_effect_religion_conversion_untainted	region_to_region_own	1	1	0
wh2_main_skv_salvage_2	wh_main_effect_economy_gdp_trade_local	building_to_building_own	80	40	0
wh2_main_skv_salvage_2	wh_main_effect_force_all_campaign_recruitment_cost_all	province_to_force_own_provincewide	-4	-2	0
wh2_main_skv_salvage_2	wh_main_effect_religion_conversion_untainted	region_to_region_own	2	1	0
wh2_main_skv_salvage_2	wh_main_effect_unit_recruitment_points	province_to_province_own	1	1	0
wh2_main_skv_salvage_3	wh_main_effect_economy_gdp_trade_local	building_to_building_own	120	60	0
wh2_main_skv_salvage_3	wh_main_effect_force_all_campaign_recruitment_cost_all	province_to_force_own_provincewide	-6	-3	0
wh2_main_skv_salvage_3	wh_main_effect_religion_conversion_untainted	region_to_region_own	3	2	0
wh2_main_skv_salvage_3	wh_main_effect_unit_recruitment_points	province_to_province_own	1	1	0
wh2_main_skv_plagues_1	wh2_main_effect_religion_osmosis_skaven	region_to_province_own	1	1	0
wh2_main_skv_plagues_1	wh_main_effect_economy_gdp_other	building_to_building_own	60	30	0
wh2_main_skv_plagues_1	wh_main_effect_public_order_base	province_to_province_own	1	1	0
wh2_main_skv_plagues_1	wh_main_effect_religion_conversion_skaven	region_to_region_own	2	1	0
wh2_main_skv_plagues_2	wh2_main_effect_ability_enable_garrison_heroes	building_to_forces_own_regionwide	1	1	1
wh2_main_skv_plagues_2	wh2_main_effect_agent_cap_increase_skv_plague_priest	faction_to_faction_own_unseen	1	1	0
wh2_main_skv_plagues_2	wh2_main_effect_agent_enable_recruitment_wizard_skv	province_to_province_own	1	1	0
wh2_main_skv_plagues_2	wh2_main_effect_religion_osmosis_skaven	region_to_province_own	2	1	0
wh2_main_skv_plagues_2	wh_main_effect_economy_gdp_other	building_to_building_own	60	30	0
wh2_main_skv_plagues_2	wh_main_effect_public_order_base	province_to_province_own	2	1	0
wh2_main_skv_plagues_2	wh_main_effect_religion_conversion_skaven	region_to_region_own	4	2	0
wh2_main_skv_plagues_3	wh2_main_effect_ability_enable_garrison_heroes	building_to_forces_own_regionwide	1	1	1
wh2_main_skv_plagues_3	wh2_main_effect_agent_cap_increase_skv_plague_priest	faction_to_faction_own_unseen	1	1	0
wh2_main_skv_plagues_3	wh2_main_effect_agent_enable_recruitment_wizard_skv	province_to_province_own	1	1	0
wh2_main_skv_plagues_3	wh2_main_effect_agent_recruitment_xp_skv_plague_priest	province_to_province_own	4	2	0
wh2_main_skv_plagues_3	wh2_main_effect_religion_osmosis_skaven	region_to_province_own	4	2	0
wh2_main_skv_plagues_3	wh_main_effect_economy_gdp_other	building_to_building_own	60	30	0
wh2_main_skv_plagues_3	wh_main_effect_public_order_base	province_to_province_own	4	2	0
wh2_main_skv_plagues_3	wh_main_effect_religion_conversion_skaven	region_to_region_own	6	2	0
wh2_main_skv_port_1	wh_main_effect_economy_gdp_trade_sea	building_to_building_own	150	75	0
wh2_main_skv_port_1	wh_main_effect_province_growth_building	region_to_province_own	10	5	0
wh2_main_skv_port_2	wh_main_effect_economy_gdp_trade_sea	building_to_building_own	300	150	0
wh2_main_skv_port_2	wh_main_effect_province_growth_building	region_to_province_own	20	10	0
wh2_main_skv_port_3	wh_main_effect_economy_gdp_trade_sea	building_to_building_own	600	300	0
wh2_main_skv_port_3	wh_main_effect_province_growth_building	region_to_province_own	30	15	0
wh2_main_skv_temple_1	wh_main_effect_agent_recruitment_xp_all_agents	province_to_province_own	2	1	0
wh2_main_skv_temple_1	wh_main_effect_economy_gdp_culture	building_to_building_own	80	40	0
wh2_main_skv_temple_1	wh_main_effect_force_all_campaign_experience_base_all	province_to_province_own	1	1	0
wh2_main_skv_temple_1	wh_main_effect_public_order_base	province_to_province_own	13	7	0
wh2_main_skv_temple_1	wh_main_effect_religion_conversion_skaven	region_to_region_own	2	1	0
wh2_main_skv_temple_1	wh_main_faction_xp_increase_generals	province_to_province_own	2	1	0
wh2_main_skv_temple_1	wh_main_faction_xp_increase_generals_hidden	province_to_force_own_provincewide	1	1	0
wh2_main_skv_weaponteams_1	wh_main_effect_economy_gdp_manufacture	building_to_building_own	60	30	0
wh2_main_skv_weaponteams_1	wh_main_effect_religion_conversion_skaven	region_to_region_own	1	1	0
wh2_main_skv_weaponteams_2	wh_main_effect_economy_gdp_manufacture	building_to_building_own	60	30	0
wh2_main_skv_weaponteams_2	wh_main_effect_religion_conversion_skaven	region_to_region_own	1	1	0
wh2_main_special_corrupted_spawning_pool_1	wh_main_effect_economy_gdp_learning	building_to_building_own	300	150	0
wh2_main_special_corrupted_spawning_pool_1	wh_main_effect_economy_gdp_mod_all	province_to_region_own	75	38	0
wh2_main_special_corrupted_spawning_pool_1	wh_main_effect_province_growth_building	region_to_province_own	13	7	0
wh2_main_special_mors_hq_1	wh2_main_effect_tech_recruitment_cost_reduction_skv_slave_clanrats	region_to_force_own	-30	-15	0
wh2_main_special_mors_hq_1	wh2_main_effect_tech_unit_xp_levels_skv_clanrats	province_to_province_own	1	1	0
wh2_main_special_mors_hq_1	wh_main_effect_economy_gdp_learning	building_to_building_own	300	150	0
wh2_main_special_mors_hq_1	wh_main_effect_economy_gdp_mod_all	province_to_region_own	75	38	0
wh2_main_special_mors_hq_1	wh_main_effect_province_growth_building	region_to_province_own	13	7	0
wh2_main_skv_order_1	wh_main_effect_force_army_battle_unit_morale_siege_defence	region_to_force_own	1	0	0
wh2_main_skv_order_2	wh_main_effect_force_army_battle_unit_morale_siege_defence	region_to_force_own	2	1	0
wh2_main_skv_order_3	wh_main_effect_force_army_battle_unit_morale_siege_defence	region_to_force_own	3	2	0
wh2_main_skv_temple_1	wh_main_effect_force_army_battle_unit_morale_siege_defence	region_to_force_own	6	5	0
wh2_main_skv_temple_1	wh_main_effect_public_order_osmosis	province_to_province_adjacent_unseen	3	3	0
wh2_main_skv_order_2	wh_main_effect_public_order_osmosis	province_to_province_adjacent_unseen	1	1	0
wh2_main_skv_order_3	wh_main_effect_public_order_osmosis	province_to_province_adjacent_unseen	2	2	0
wh2_main_skv_farm_1	wh_main_effect_public_order_base	province_to_province_own	-1	-2	0
wh2_main_skv_farm_2	wh_main_effect_public_order_base	province_to_province_own	-2	-3	0
wh2_main_skv_farm_3	wh_main_effect_public_order_base	province_to_province_own	-4	-5	0
wh2_main_skv_farm_3	wh2_main_pooled_resource_skaven_food_buildings	faction_to_faction_own_unseen	3	2	0
wh2_main_skv_port_1	wh_main_effect_force_army_campaign_siege_defend_holdout_time	region_to_region_own	1	0	0
wh2_main_skv_port_2	wh_main_effect_force_army_campaign_siege_defend_holdout_time	region_to_region_own	2	1	0
wh2_main_skv_port_3	wh_main_effect_force_army_campaign_siege_defend_holdout_time	region_to_region_own	3	2	0
wh2_main_skv_clanrats_1	wh_main_effect_force_army_battle_unit_melee_defence_siege_defence	region_to_force_own	1	0	0
wh2_main_skv_clanrats_2	wh_main_effect_force_army_battle_unit_melee_defence_siege_defence	region_to_force_own	2	1	0
wh2_main_skv_clanrats_3	wh_main_effect_force_army_battle_unit_melee_defence_siege_defence	region_to_force_own	3	2	0
wh2_main_skv_plagues_1	wh_main_effect_force_army_battle_unit_melee_defence_siege_defence	region_to_force_own	1	0	0
wh2_main_skv_plagues_2	wh_main_effect_force_army_battle_unit_melee_defence_siege_defence	region_to_force_own	2	1	0
wh2_main_skv_plagues_3	wh_main_effect_force_army_battle_unit_melee_defence_siege_defence	region_to_force_own	3	2	0
wh2_main_skv_port_1	wh_main_effect_religion_conversion_skaven	region_to_region_own	1	1	0
wh2_main_skv_port_2	wh_main_effect_religion_conversion_skaven	region_to_region_own	1	1	0
wh2_main_skv_port_3	wh_main_effect_religion_conversion_skaven	region_to_region_own	1	1	0
wh2_main_skv_farm_1	wh2_main_effect_force_own_campaign_movement_range	province_to_force_own_provincewide	5	0	0
wh2_main_skv_farm_2	wh2_main_effect_force_own_campaign_movement_range	province_to_force_own_provincewide	10	5	0
wh2_main_skv_farm_3	wh2_main_effect_force_own_campaign_movement_range	province_to_force_own_provincewide	15	10	0
wh2_main_skv_assassins_1	wh_dlc05_effect_force_army_battle_unit_reload_speed_siege_defence	region_to_force_own	5	0	0
wh2_main_skv_assassins_2	wh_dlc05_effect_force_army_battle_unit_reload_speed_siege_defence	region_to_force_own	10	5	0
wh2_main_skv_assassins_3	wh_dlc05_effect_force_army_battle_unit_reload_speed_siege_defence	region_to_force_own	15	10	0
wh2_main_skv_defence_major_1	wh_main_effect_province_growth_building	region_to_province_own	-20	-30	0
wh2_main_skv_defence_major_2	wh_main_effect_province_growth_building	region_to_province_own	-40	-60	0
wh2_main_skv_defence_major_3	wh_main_effect_province_growth_building	region_to_province_own	-60	-80	0
wh2_main_skv_defence_minor_1	wh_main_effect_province_growth_building	region_to_province_own	-20	-30	0
wh2_main_skv_defence_minor_2	wh_main_effect_province_growth_building	region_to_province_own	-40	-60	0
wh2_main_skv_order_2	wh_main_effect_force_army_campaign_siege_defend_holdout_time	region_to_region_own	1	0	0
wh2_main_skv_order_3	wh_main_effect_force_army_campaign_siege_defend_holdout_time	region_to_region_own	2	1	0
wh2_main_skv_temple_1	wh_main_effect_force_army_campaign_siege_defend_holdout_time	region_to_region_own	3	2	0
wh2_main_skv_weaponteams_1	wh_dlc05_effect_force_army_battle_unit_ammo_siege_defence	region_to_force_own	20	10	0
wh2_main_skv_weaponteams_2	wh_dlc05_effect_force_army_battle_unit_ammo_siege_defence	region_to_force_own	40	20	0
wh2_main_skv_farm_1	wh_main_effect_economy_gdp_trade_land	building_to_building_own	40	20	0
wh2_main_skv_farm_2	wh_main_effect_economy_gdp_trade_land	building_to_building_own	40	20	0
wh2_main_skv_farm_3	wh_main_effect_economy_gdp_trade_land	building_to_building_own	40	20	0
wh2_main_skv_farm_2	wh2_main_pooled_resource_skaven_food_buildings	faction_to_faction_own_unseen	2	1	0
wh2_main_skv_resource_animals_1	wh2_main_pooled_resource_skaven_food_buildings	faction_to_faction_own_unseen	1	0	0
wh2_main_skv_resource_animals_3	wh2_main_pooled_resource_skaven_food_buildings	faction_to_faction_own_unseen	3	2	0
wh2_main_skv_defence_minor_1	wh_main_effect_force_army_battle_unit_morale_siege_defence	region_to_force_own	1	0	0
wh2_main_skv_defence_minor_2	wh_main_effect_force_army_battle_unit_morale_siege_defence	region_to_force_own	2	1	0
wh2_main_skv_farm_1	wh2_main_pooled_resource_skaven_food_buildings	faction_to_faction_own_unseen	1	0	0
wh2_main_skv_resource_animals_2	wh2_main_pooled_resource_skaven_food_buildings	faction_to_faction_own_unseen	2	1	0
