building_effects_junction_tables
3
building	effect	effect_scope	value	value_damaged	value_ruined
wh_main_vmp_walls_1	wh_main_effect_public_order_base	province_to_province_own	1	0	0
wh_main_vmp_walls_1	wh_main_effect_economy_gdp_mod_all	province_to_region_own	-3	-6	0
wh_main_vmp_garrison_1	wh_main_effect_public_order_base	province_to_province_own	1	0	0
wh_main_vmp_walls_3	wh_main_effect_public_order_base	province_to_province_own	3	2	0
wh_main_vmp_walls_3	wh_main_effect_economy_gdp_mod_all	province_to_region_own	-9	-12	0
wh_main_vmp_garrison_1	wh_main_effect_economy_gdp_mod_all	province_to_region_own	-3	-6	0
wh_main_vmp_garrison_2	wh_main_effect_public_order_base	province_to_province_own	2	1	0
wh_main_vmp_walls_2	wh_main_effect_public_order_base	province_to_province_own	2	1	0
wh_main_vmp_walls_2	wh_main_effect_economy_gdp_mod_all	province_to_region_own	-6	-9	0
wh_main_vmp_garrison_2	wh_main_effect_economy_gdp_mod_all	province_to_region_own	-6	-9	0
wh_main_vmp_armoury_1	wh_main_effect_building_vampiric_mercenary_capacity_black_knights_0	faction_to_faction_own	1	0	0
wh_main_vmp_armoury_1	wh_main_effect_building_vampiric_mercenary_capacity_black_knights_1	faction_to_faction_own	1	0	0
wh_main_vmp_armoury_1	wh_main_effect_building_vampiric_mercenary_capacity_cairn_wraiths	faction_to_faction_own	1	0	0
wh_main_vmp_armoury_1	wh_main_effect_building_vampiric_mercenary_capacity_graveguard_0	faction_to_faction_own	1	0	0
wh_main_vmp_armoury_1	wh_main_effect_building_vampiric_mercenary_capacity_graveguard_1	faction_to_faction_own	1	0	0
wh_main_vmp_armoury_1	wh_main_effect_force_army_campaign_experience_base_infantry	province_to_province_own	1	1	0
wh_main_vmp_armoury_1	wh_main_effect_force_all_campaign_recruitment_cost_all	province_to_force_own_provincewide	4	8	0
wh_main_vmp_armoury_2	wh_main_effect_building_vampiric_mercenary_capacity_black_knights_0	faction_to_faction_own	1	0	0
wh_main_vmp_armoury_2	wh_main_effect_building_vampiric_mercenary_capacity_black_knights_1	faction_to_faction_own	1	0	0
wh_main_vmp_armoury_2	wh_main_effect_building_vampiric_mercenary_capacity_cairn_wraiths	faction_to_faction_own	1	0	0
wh_main_vmp_armoury_2	wh_main_effect_building_vampiric_mercenary_capacity_graveguard_0	faction_to_faction_own	1	0	0
wh_main_vmp_armoury_2	wh_main_effect_building_vampiric_mercenary_capacity_graveguard_1	faction_to_faction_own	1	0	0
wh_main_vmp_armoury_2	wh_main_effect_building_vampiric_mercenary_capacity_hexwraiths	faction_to_faction_own	1	0	0
wh_main_vmp_armoury_2	wh_main_effect_force_army_campaign_experience_base_cavalry	province_to_province_own	1	1	0
wh_main_vmp_armoury_2	wh_main_effect_force_army_campaign_experience_base_infantry	province_to_province_own	2	1	0
wh_main_vmp_armoury_2	wh_main_effect_force_all_campaign_recruitment_cost_all	province_to_force_own_provincewide	8	12	0
wh_main_vmp_balefire_1	wh_main_effect_religion_conversion_undeath	region_to_region_own	4	2	0
wh_main_vmp_balefire_1	wh_main_effect_public_order_base	province_to_province_own	1	0	0
wh_main_vmp_balefire_1	wh_main_faction_diplomacy_penalty_empire	faction_to_faction_own_unseen	-2	-3	0
wh_main_vmp_balefire_2	wh_main_effect_religion_conversion_undeath	region_to_region_own	8	4	0
wh_main_vmp_balefire_2	wh_main_effect_religion_osmosis_undeath	region_to_province_own	2	1	0
wh_main_vmp_balefire_2	wh_main_effect_public_order_base	province_to_province_own	1	0	0
wh_main_vmp_balefire_2	wh_main_faction_diplomacy_penalty_empire	faction_to_faction_own_unseen	-3	-4	0
wh_main_vmp_balefire_3	wh_main_effect_religion_conversion_undeath	region_to_region_own	12	8	0
wh_main_vmp_balefire_3	wh_main_effect_religion_osmosis_undeath	region_to_province_own	2	1	0
wh_main_vmp_balefire_3	wh_main_effect_public_order_base	province_to_province_own	3	2	0
wh_main_vmp_balefire_3	wh_main_faction_diplomacy_penalty_empire	faction_to_faction_own_unseen	-5	-6	0
wh_main_vmp_bindingcircle_1	wh_main_effect_building_vampiric_mercenary_capacity_crypt_ghouls	faction_to_faction_own	1	0	0
wh_main_vmp_bindingcircle_1	wh_main_effect_building_vampiric_mercenary_replenishment_crypt_ghouls	faction_to_faction_own	1	0	0
wh_main_vmp_bindingcircle_1	wh_main_effect_public_order_base	province_to_province_own	-1	-2	0
wh_main_vmp_bindingcircle_2	wh_main_effect_agent_cap_increase_spy_banshee	faction_to_faction_own_unseen	1	1	0
wh_main_vmp_bindingcircle_2	wh_main_effect_agent_enable_recruitment_spy_vampire_counts	province_to_province_own	1	1	0
wh_main_vmp_bindingcircle_2	wh_main_effect_building_vampiric_mercenary_capacity_crypt_ghouls	faction_to_faction_own	1	0	0
wh_main_vmp_bindingcircle_2	wh_main_effect_building_vampiric_mercenary_capacity_crypt_horrors	faction_to_faction_own	1	0	0
wh_main_vmp_bindingcircle_2	wh_main_effect_building_vampiric_mercenary_replenishment_crypt_ghouls	faction_to_faction_own	1	0	0
wh_main_vmp_bindingcircle_2	wh_main_effect_building_vampiric_mercenary_replenishment_crypt_horrors	faction_to_faction_own	1	0	0
wh_main_vmp_bindingcircle_2	wh_main_effect_public_order_base	province_to_province_own	-2	-3	0
wh_main_vmp_bindingcircle_3	wh_main_effect_agent_cap_increase_champion_wight_kings	faction_to_faction_own_unseen	1	1	0
wh_main_vmp_bindingcircle_3	wh_main_effect_agent_cap_increase_spy_banshee	faction_to_faction_own_unseen	1	1	0
wh_main_vmp_bindingcircle_3	wh_main_effect_agent_enable_recruitment_champion_vampire_counts	province_to_province_own	1	1	0
wh_main_vmp_bindingcircle_3	wh_main_effect_agent_enable_recruitment_spy_vampire_counts	province_to_province_own	1	1	0
wh_main_vmp_bindingcircle_3	wh_main_effect_agent_recruitment_xp_champion_vampire_counts	province_to_province_own	2	1	0
wh_main_vmp_bindingcircle_3	wh_main_effect_agent_recruitment_xp_spy_vampire_counts	province_to_province_own	3	1	0
wh_main_vmp_bindingcircle_3	wh_main_effect_building_vampiric_mercenary_capacity_crypt_ghouls	faction_to_faction_own	1	0	0
wh_main_vmp_bindingcircle_3	wh_main_effect_building_vampiric_mercenary_capacity_crypt_horrors	faction_to_faction_own	1	0	0
wh_main_vmp_bindingcircle_3	wh_main_effect_building_vampiric_mercenary_replenishment_cairn_wraiths	faction_to_faction_own	1	0	0
wh_main_vmp_bindingcircle_3	wh_main_effect_building_vampiric_mercenary_replenishment_crypt_ghouls	faction_to_faction_own	1	0	0
