building_effects_junction_tables
3
building	effect	effect_scope	value	value_damaged	value_ruined
wh_dlc05_wef_agent_protection_1	wh_main_effect_agent_action_success_chance_enemy_building	region_to_character_enemy	-20	-10	0
wh_dlc05_wef_agent_protection_2	wh_main_effect_agent_action_success_chance_enemy_building	region_to_character_enemy	-50	-25	0
wh_dlc05_wef_growth_1	wh_main_effect_force_all_campaign_replenishment_rate	province_to_army_own	4	1	0
wh_dlc05_wef_growth_1	wh_main_effect_province_growth_building	region_to_province_own	8	4	0
wh_dlc05_wef_growth_1	wh_main_effect_region_resource_furs_production	building_to_building_own	8	2	0
wh_dlc05_wef_growth_1	wh_main_effect_economy_trade_tariff_mod	building_to_building_own	8	5	0
wh_dlc05_wef_growth_2	wh_main_effect_force_all_campaign_replenishment_rate	province_to_army_own	5	2	0
wh_dlc05_wef_growth_2	wh_main_effect_province_growth_building	region_to_province_own	16	8	0
wh_dlc05_wef_growth_2	wh_main_effect_region_resource_furs_production	building_to_building_own	12	2	0
wh_dlc05_wef_growth_2	wh_main_effect_economy_trade_tariff_mod	building_to_building_own	12	10	0
wh_dlc05_wef_growth_3	wh_main_effect_force_all_campaign_replenishment_rate	province_to_army_own	6	3	0
wh_dlc05_wef_income_1	wh_main_effect_economy_gdp_agriculture_farming	building_to_building_own	800	400	0
wh_dlc05_wef_income_2	wh_main_effect_economy_gdp_agriculture_farming	building_to_building_own	1000	500	0
wh_dlc05_wef_income_3	wh_main_effect_economy_gdp_agriculture_farming	building_to_building_own	1200	600	0
wh_dlc05_wef_income_buff_1	wh_dlc05_effect_economy_gdp_mod_wines	province_to_regions_own_in_adjacent_province	20	20	0
wh_dlc05_wef_income_buff_1	wh_main_effect_region_resource_wine_production	building_to_building_own	2	1	0
wh_dlc05_wef_income_buff_2	wh_dlc05_effect_economy_gdp_mod_wines	province_to_regions_own_in_adjacent_province	40	20	0
wh_dlc05_wef_income_buff_2	wh_main_effect_region_resource_wine_production	building_to_building_own	4	2	0
wh_dlc05_wef_oak_of_ages_1	wh_dlc05_effect_amber_building_hidden	region_to_region_own	1	1	1
wh_dlc05_wef_oak_of_ages_1	wh_main_effect_agent_action_success_chance_enemy_hidden	region_to_character_enemy	-100	-100	0
wh_dlc05_wef_oak_of_ages_1	wh_main_effect_religion_conversion_untainted_all_regions	faction_to_region_own	1	1	0
wh_dlc05_wef_oak_of_ages_2	wh_dlc05_effect_amber_building_hidden	region_to_region_own	1	1	1
wh_dlc05_wef_oak_of_ages_2	wh_main_effect_agent_action_success_chance_enemy_hidden	region_to_character_enemy	-100	-100	0
wh_dlc05_wef_oak_of_ages_2	wh_main_effect_force_all_campaign_upkeep	faction_to_force_own_unseen	-8	-8	0
wh_dlc05_wef_oak_of_ages_2	wh_main_effect_public_order_base	province_to_province_own_factionwide	2	2	0
wh_dlc05_wef_oak_of_ages_2	wh_main_effect_religion_conversion_untainted_all_regions	faction_to_region_own	3	1	0
wh_dlc05_wef_oak_of_ages_2	wh_main_faction_xp_increase_generals	province_to_province_own_factionwide	2	1	0
wh_dlc05_wef_oak_of_ages_2	wh_main_faction_xp_increase_generals_hidden	province_to_force_own_factionwide	2	1	0
wh_dlc05_wef_oak_of_ages_3	wh_dlc05_effect_amber_building_hidden	region_to_region_own	1	1	1
wh_dlc05_wef_oak_of_ages_3	wh_dlc05_effect_faction_confederation_oak_of_ages_dummy	this_building	1	1	1
wh_dlc05_wef_oak_of_ages_3	wh_main_effect_agent_action_success_chance_enemy_hidden	region_to_character_enemy	-100	-100	0
wh_dlc05_wef_oak_of_ages_3	wh_main_effect_force_all_campaign_upkeep	faction_to_force_own_unseen	-12	-12	0
wh_dlc05_wef_oak_of_ages_3	wh_main_effect_public_order_base	province_to_province_own_factionwide	3	3	0
wh_dlc05_wef_oak_of_ages_3	wh_main_effect_religion_conversion_untainted_all_regions	faction_to_region_own	6	3	0
wh_dlc05_wef_oak_of_ages_3	wh_main_faction_xp_increase_generals	province_to_province_own_factionwide	3	2	0
wh_dlc05_wef_oak_of_ages_3	wh_main_faction_xp_increase_generals_hidden	province_to_force_own_factionwide	3	2	0
wh_dlc05_wef_oak_of_ages_4	wh_dlc05_effect_amber_building_hidden	region_to_region_own	1	1	1
wh_dlc05_wef_oak_of_ages_4	wh_dlc05_effect_faction_confederation_oak_of_ages_dummy	this_building	1	1	1
wh_dlc05_wef_oak_of_ages_4	wh_main_effect_agent_action_success_chance_enemy_hidden	region_to_character_enemy	-100	-100	0
wh_dlc05_wef_oak_of_ages_4	wh_main_effect_agent_recruitment_xp_all_agents	faction_to_province_own_unseen	3	1	0
wh_dlc05_wef_oak_of_ages_4	wh_main_effect_force_all_campaign_upkeep	faction_to_force_own_unseen	-16	-16	0
wh_dlc05_wef_oak_of_ages_4	wh_main_effect_public_order_base	province_to_province_own_factionwide	4	4	0
wh_dlc05_wef_oak_of_ages_4	wh_main_effect_religion_conversion_untainted_all_regions	faction_to_region_own	9	4	0
wh_dlc05_wef_oak_of_ages_4	wh_main_faction_xp_increase_generals	province_to_province_own_factionwide	4	2	0
wh_dlc05_wef_oak_of_ages_4	wh_main_faction_xp_increase_generals_hidden	province_to_force_own_factionwide	4	2	0
wh_dlc05_wef_oak_of_ages_5	wh_dlc05_effect_amber_building_hidden	region_to_region_own	1	1	1
wh_dlc05_wef_oak_of_ages_5	wh_dlc05_effect_faction_confederation_oak_of_ages_dummy	this_building	1	1	1
wh_dlc05_wef_oak_of_ages_5	wh_main_effect_agent_action_success_chance_enemy_hidden	region_to_character_enemy	-100	-100	0
wh_dlc05_wef_oak_of_ages_5	wh_main_effect_agent_recruitment_xp_all_agents	faction_to_province_own_unseen	6	3	0
wh_dlc05_wef_oak_of_ages_5	wh_main_effect_force_all_campaign_upkeep	faction_to_force_own_unseen	-20	-20	0
wh_dlc05_wef_oak_of_ages_5	wh_main_effect_public_order_base	province_to_province_own_factionwide	5	5	0
wh_dlc05_wef_oak_of_ages_5	wh_main_effect_religion_conversion_untainted_all_regions	faction_to_region_own	12	6	0
wh_dlc05_wef_oak_of_ages_5	wh_main_faction_xp_increase_generals	province_to_province_own_factionwide	5	3	0
wh_dlc05_wef_oak_of_ages_5	wh_main_faction_xp_increase_generals_hidden	province_to_force_own_factionwide	5	3	0
wh_dlc05_wef_oak_of_ages_mini_1	wh_dlc05_effect_amber_building_hidden	region_to_region_own	1	1	1
wh_dlc05_wef_oak_of_ages_mini_1	wh_dlc05_effect_occupation_decision_colonise_cost_increase_hidden	building_to_faction_own	-2	0	0
wh_dlc05_wef_oak_of_ages_mini_1	wh_main_effect_agent_action_success_chance_enemy_hidden	region_to_character_enemy	-100	-100	0
wh_dlc05_wef_oak_of_ages_mini_1	wh_main_effect_public_order_base	province_to_province_own_factionwide	6	2	0
wh_dlc05_wef_oak_of_ages_mini_1	wh_main_effect_religion_conversion_untainted_all_regions	faction_to_region_own	2	1	0
wh_dlc05_wef_oak_of_ages_mini_2	wh_dlc05_effect_amber_building_hidden	region_to_region_own	1	1	1
wh_dlc05_wef_oak_of_ages_mini_2	wh_dlc05_effect_occupation_decision_colonise_cost_increase_hidden	building_to_faction_own	-2	0	0
wh_dlc05_wef_oak_of_ages_mini_2	wh_main_effect_agent_action_success_chance_enemy_hidden	region_to_character_enemy	-100	-100	0
wh_dlc05_wef_oak_of_ages_mini_2	wh_main_effect_force_all_campaign_upkeep	faction_to_force_own_unseen	-10	-5	0
wh_dlc05_wef_oak_of_ages_mini_2	wh_main_effect_public_order_base	province_to_province_own_factionwide	9	3	0
wh_dlc05_wef_oak_of_ages_mini_2	wh_main_effect_religion_conversion_untainted_all_regions	faction_to_region_own	4	2	0
wh_dlc05_wef_oak_of_ages_mini_2	wh_main_faction_xp_increase_generals	province_to_province_own_factionwide	2	1	0
wh_dlc05_wef_oak_of_ages_mini_2	wh_main_faction_xp_increase_generals_hidden	province_to_force_own_factionwide	2	1	0
wh_dlc05_wef_oak_of_ages_mini_3	wh_dlc05_effect_amber_building_hidden	region_to_region_own	1	1	1
wh_dlc05_wef_oak_of_ages_mini_3	wh_dlc05_effect_occupation_decision_colonise_cost_increase_hidden	building_to_faction_own	-2	0	0
wh_dlc05_wef_oak_of_ages_mini_3	wh_main_effect_agent_action_success_chance_enemy_hidden	region_to_character_enemy	-100	-100	0
wh_dlc05_wef_oak_of_ages_mini_3	wh_main_effect_force_all_campaign_upkeep	faction_to_force_own_unseen	-15	-7	0
wh_dlc05_wef_oak_of_ages_mini_3	wh_main_effect_public_order_base	province_to_province_own_factionwide	12	4	0
wh_dlc05_wef_oak_of_ages_mini_3	wh_main_effect_religion_conversion_untainted_all_regions	faction_to_region_own	8	4	0
wh_dlc05_wef_oak_of_ages_mini_3	wh_main_faction_xp_increase_generals	province_to_province_own_factionwide	3	2	0
wh_dlc05_wef_oak_of_ages_mini_3	wh_main_faction_xp_increase_generals_hidden	province_to_force_own_factionwide	3	2	0
wh_dlc05_wef_oak_of_ages_mini_4	wh_dlc05_effect_amber_building_hidden	region_to_region_own	1	1	1
wh_dlc05_wef_oak_of_ages_mini_4	wh_dlc05_effect_occupation_decision_colonise_cost_increase_hidden	building_to_faction_own	-2	0	0
wh_dlc05_wef_oak_of_ages_mini_4	wh_main_effect_agent_action_success_chance_enemy_hidden	region_to_character_enemy	-100	-100	0
wh_dlc05_wef_oak_of_ages_mini_4	wh_main_effect_agent_recruitment_xp_all_agents	faction_to_province_own_unseen	3	1	0
wh_dlc05_wef_oak_of_ages_mini_4	wh_main_effect_force_all_campaign_upkeep	faction_to_force_own_unseen	-20	-10	0
wh_dlc05_wef_oak_of_ages_mini_4	wh_main_effect_public_order_base	province_to_province_own_factionwide	15	0	0
wh_dlc05_wef_oak_of_ages_mini_4	wh_main_effect_religion_conversion_untainted_all_regions	faction_to_region_own	12	6	0
wh_dlc05_wef_oak_of_ages_mini_4	wh_main_faction_xp_increase_generals	province_to_province_own_factionwide	4	2	0
wh_dlc05_wef_oak_of_ages_mini_4	wh_main_faction_xp_increase_generals_hidden	province_to_force_own_factionwide	4	2	0
wh_dlc05_wef_oak_of_ages_mini_ruin	wh_dlc05_effect_amber_building_hidden	region_to_region_own	1	1	1
wh_dlc05_wef_oak_of_ages_ruin	wh_dlc05_effect_amber_building_hidden	region_to_region_own	1	1	1
wh_dlc05_wef_office_starlight_forge_1	wh_dlc05_effect_dummy_enable_office_starlight_forge	faction_to_faction_own_unseen	1	1	0
