building_level_armed_citizenry_junctions_tables
1
building_level	id	unknown3	unit_group
wh2_main_skv_assassins_1	1000	0	wh2_main_skv_inf_night_runners_0
wh2_main_skv_assassins_2	1002	0	wh2_main_skv_inf_gutter_runners_0
wh2_main_skv_assassins_3	1004	0	wh2_main_skv_inf_gutter_runner_slingers_0
wh2_main_skv_clanrats_1	1006	0	wh2_main_skv_inf_clanrats_0
wh2_main_skv_clanrats_2	1008	0	wh2_main_skv_inf_clanrats_1
wh2_main_skv_clanrats_3	1010	0	wh2_main_skv_inf_stormvermin_0
wh2_main_skv_energy_1	1012	0	wh2_main_skv_inf_skavenslave_spearmen_0
wh2_main_skv_energy_2	1013	0	wh2_main_skv_inf_skavenslave_spearmen_0
wh2_main_skv_energy_3	1014	0	wh2_main_skv_inf_skavenslave_spearmen_0
wh2_main_skv_energy_4	1015	0	wh2_main_skv_inf_skavenslave_spearmen_0
wh2_main_skv_energy_5	1016	0	wh2_main_skv_inf_clanrat_spearmen_0
wh2_main_skv_engineers_1	1017	0	wh2_main_skv_art_plagueclaw_catapult
wh2_main_skv_engineers_2	1018	0	wh2_main_skv_art_plagueclaw_catapult
wh2_main_skv_engineers_3	1019	0	wh2_main_skv_art_plagueclaw_catapult
wh2_main_skv_farm_1	1020	0	wh2_main_skv_inf_skavenslaves_0
wh2_main_skv_farm_2	1021	0	wh2_main_skv_inf_skavenslaves_0
wh2_main_skv_farm_3	1022	0	wh2_main_skv_inf_clanrats_0
wh2_main_skv_monsters_1	1023	0	wh2_main_skv_mon_rat_ogres
wh2_main_skv_monsters_2	1024	0	wh2_main_skv_mon_hell_pit_abomination
wh2_main_skv_order_1	1025	0	wh2_main_skv_inf_skavenslaves_0
wh2_main_skv_order_2	1026	0	wh2_main_skv_inf_skavenslaves_0
wh2_main_skv_order_3	1027	0	wh2_main_skv_inf_clanrats_0
wh2_main_skv_plagues_1	1028	0	wh2_main_skv_inf_plague_monks
wh2_main_skv_port_1	1029	0	wh2_main_skv_inf_clanrats_1
wh2_main_skv_port_2	1031	0	wh2_main_skv_inf_clanrats_1
wh2_main_skv_port_3	1033	0	wh2_main_skv_inf_clanrats_1
wh2_main_skv_temple_1	1083	0	wh2_main_skv_inf_clanrats_1
wh2_main_skv_weaponteams_1	1084	0	wh2_main_skv_inf_poison_wind_globadiers
wh2_main_skv_weaponteams_2	1085	0	wh2_main_skv_inf_death_globe_bombardiers
wh2_main_skv_resource_animals_1	1035	0	wh2_main_skv_inf_skavenslave_spearmen_0
wh2_main_skv_resource_animals_2	1036	0	wh2_main_skv_inf_skavenslave_spearmen_0
wh2_main_skv_resource_animals_3	1037	0	wh2_main_skv_inf_clanrat_spearmen_0
wh2_main_skv_resource_dyes_1	1038	0	wh2_main_skv_inf_skavenslaves_0
wh2_main_skv_resource_dyes_2	1039	0	wh2_main_skv_inf_skavenslaves_0
wh2_main_skv_resource_dyes_3	1040	0	wh2_main_skv_inf_clanrats_0
wh2_main_skv_resource_furs_1	1041	0	wh2_main_skv_inf_skavenslave_spearmen_0
wh2_main_skv_resource_furs_2	1042	0	wh2_main_skv_inf_skavenslave_spearmen_0
wh2_main_skv_resource_furs_3	1043	0	wh2_main_skv_inf_clanrat_spearmen_0
wh2_main_skv_resource_gems_1	1044	0	wh2_main_skv_inf_skavenslaves_0
wh2_main_skv_resource_gems_2	1045	0	wh2_main_skv_inf_skavenslaves_0
wh2_main_skv_resource_gems_3	1046	0	wh2_main_skv_inf_clanrats_0
wh2_main_skv_resource_gold_1	1047	0	wh2_main_skv_inf_skavenslave_spearmen_0
wh2_main_skv_resource_gold_2	1048	0	wh2_main_skv_inf_skavenslave_spearmen_0
wh2_main_skv_resource_gold_3	1049	0	wh2_main_skv_inf_clanrat_spearmen_0
wh2_main_skv_resource_iron_1	1050	0	wh2_main_skv_inf_skavenslaves_0
wh2_main_skv_resource_iron_2	1051	0	wh2_main_skv_inf_skavenslaves_0
wh2_main_skv_resource_iron_3	1052	0	wh2_main_skv_inf_clanrats_0
wh2_main_skv_resource_marble_1	1053	0	wh2_main_skv_inf_skavenslave_spearmen_0
wh2_main_skv_resource_marble_2	1054	0	wh2_main_skv_inf_skavenslave_spearmen_0
wh2_main_skv_resource_marble_3	1055	0	wh2_main_skv_inf_clanrat_spearmen_0
wh2_main_skv_resource_medicine_1	1056	0	wh2_main_skv_inf_skavenslaves_0
wh2_main_skv_resource_medicine_2	1057	0	wh2_main_skv_inf_skavenslaves_0
wh2_main_skv_resource_medicine_3	1058	0	wh2_main_skv_inf_clanrats_0
wh2_main_skv_resource_obsidian_1	1059	0	wh2_main_skv_inf_skavenslave_spearmen_0
wh2_main_skv_resource_obsidian_2	1060	0	wh2_main_skv_inf_skavenslave_spearmen_0
wh2_main_skv_resource_obsidian_3	1061	0	wh2_main_skv_inf_clanrat_spearmen_0
wh2_main_skv_resource_pasture_1	1062	0	wh2_main_skv_inf_skavenslaves_0
wh2_main_skv_resource_pasture_2	1063	0	wh2_main_skv_inf_skavenslaves_0
wh2_main_skv_resource_pasture_3	1064	0	wh2_main_skv_inf_clanrats_0
wh2_main_skv_resource_pottery_1	1065	0	wh2_main_skv_inf_skavenslave_spearmen_0
wh2_main_skv_resource_pottery_2	1066	0	wh2_main_skv_inf_skavenslave_spearmen_0
wh2_main_skv_resource_pottery_3	1067	0	wh2_main_skv_inf_clanrat_spearmen_0
wh2_main_skv_resource_salt_1	1068	0	wh2_main_skv_inf_skavenslaves_0
wh2_main_skv_resource_salt_2	1069	0	wh2_main_skv_inf_skavenslaves_0
wh2_main_skv_resource_salt_3	1070	0	wh2_main_skv_inf_clanrats_0
wh2_main_skv_resource_spices_1	1071	0	wh2_main_skv_inf_skavenslave_spearmen_0
wh2_main_skv_resource_spices_2	1072	0	wh2_main_skv_inf_skavenslave_spearmen_0
wh2_main_skv_resource_spices_3	1073	0	wh2_main_skv_inf_clanrat_spearmen_0
wh2_main_skv_resource_wine_1	1074	0	wh2_main_skv_inf_skavenslaves_0
wh2_main_skv_resource_wine_2	1075	0	wh2_main_skv_inf_skavenslaves_0
wh2_main_skv_resource_wine_3	1076	0	wh2_main_skv_inf_clanrats_0
wh2_main_skv_resource_wood_1	1077	0	wh2_main_skv_inf_skavenslave_spearmen_0
wh2_main_skv_resource_wood_2	1078	0	wh2_main_skv_inf_skavenslave_spearmen_0
wh2_main_skv_resource_wood_3	1079	0	wh2_main_skv_inf_clanrat_spearmen_0
wh2_main_skv_salvage_1	1080	0	wh2_main_skv_inf_skavenslaves_0
wh2_main_skv_salvage_2	1081	0	wh2_main_skv_inf_skavenslaves_0
wh2_main_skv_salvage_3	1082	0	wh2_main_skv_inf_clanrats_0
wh2_main_skv_port_1	1030	0	wh2_main_skv_inf_clanrat_spearmen_1
wh2_main_skv_port_2	1032	0	wh2_main_skv_inf_clanrat_spearmen_1
wh2_main_skv_port_3	1034	0	wh2_main_skv_inf_clanrat_spearmen_1
wh2_main_skv_clanrats_1	1007	0	wh2_main_skv_inf_clanrat_spearmen_0
wh2_main_skv_clanrats_2	1009	0	wh2_main_skv_inf_clanrat_spearmen_1
wh2_main_skv_clanrats_3	1011	0	wh2_main_skv_inf_stormvermin_1
wh2_main_skv_assassins_1	1001	0	wh2_main_skv_inf_night_runners_0
wh2_main_skv_assassins_2	1003	0	wh2_main_skv_inf_night_runners_1
wh2_main_skv_assassins_3	1005	0	wh2_main_skv_inf_gutter_runner_slingers_1
