building_level_armed_citizenry_junctions_tables
1
building_level	id	unknown3	unit_group
wh_main_vmp_bindingcircle_1	1200	0	wh_main_vmp_inf_cairn_wraiths
wh_main_vmp_bindingcircle_2	1201	0	wh_main_vmp_inf_cairn_wraiths
wh_main_vmp_bindingcircle_3	1202	0	wh_main_vmp_inf_cairn_wraiths
wh_main_vmp_cemetary_1	1203	0	wh_main_vmp_inf_crypt_ghouls
wh_main_vmp_cemetary_1	1204	0	wh_main_vmp_inf_crypt_ghouls
wh_main_vmp_cemetary_2	1205	0	wh_main_vmp_inf_crypt_ghouls
wh_main_vmp_cemetary_2	1206	0	wh_main_vmp_inf_crypt_ghouls
wh_main_vmp_cemetary_3	1207	0	wh_main_vmp_mon_crypt_horrors
wh_main_vmp_cemetary_3	1208	0	wh_main_vmp_inf_crypt_ghouls
wh_main_vmp_forest_1	1209	0	wh_main_vmp_mon_fell_bats
wh_main_vmp_forest_2	1210	0	wh_main_vmp_mon_vargheists
wh_main_vmp_forest_3	1211	0	wh_main_vmp_mon_varghulf
wh_main_vmp_necromancers_2	1212	0	wh_dlc04_vmp_veh_mortis_engine_0
wh_main_vmp_ossuary_1	1213	0	wh_main_vmp_inf_skeleton_warriors_0
wh_main_vmp_ossuary_2	1214	0	wh_main_vmp_inf_skeleton_warriors_0
wh_main_vmp_ossuary_3	1215	0	wh_main_vmp_inf_grave_guard_0
wh_main_vmp_port_1	1216	0	wh_main_vmp_inf_grave_guard_0
wh_main_vmp_port_2	1217	0	wh_main_vmp_inf_grave_guard_0
wh_main_vmp_port_3	1218	0	wh_main_vmp_inf_grave_guard_0
wh_main_vmp_repression_1	1219	0	wh_main_vmp_inf_zombie
wh_main_vmp_repression_2	1220	0	wh_main_vmp_inf_skeleton_warriors_0
wh_main_vmp_vampires_2	1221	0	wh_dlc02_vmp_cav_blood_knights_0
wh_main_vmp_ossuary_1	1222	0	wh_main_vmp_inf_skeleton_warriors_0
wh_main_vmp_ossuary_2	1223	0	wh_main_vmp_inf_skeleton_warriors_1
wh_main_vmp_ossuary_3	1224	0	wh_main_vmp_inf_grave_guard_1
wh_main_vmp_port_1	1225	0	wh_main_vmp_inf_skeleton_warriors_1
wh_main_vmp_port_2	1226	0	wh_main_vmp_inf_skeleton_warriors_1
wh_main_vmp_port_3	1227	0	wh_main_vmp_inf_skeleton_warriors_1
wh_main_vmp_repression_2	1228	0	wh_main_vmp_inf_zombie
wh2_main_vmp_terrorgheists_1	1229	0	wh_main_vmp_mon_terrorgheist
wh_main_vmp_balefire_1	1230	0	wh_main_vmp_inf_grave_guard_0
wh_main_vmp_balefire_2	1231	0	wh_main_vmp_inf_grave_guard_0
wh_main_vmp_balefire_3	1232	0	wh_main_vmp_inf_grave_guard_0
wh_main_vmp_forest_3	1233	0	wh_main_vmp_mon_vargheists
wh_main_vmp_armoury_1	1234	0	wh_main_vmp_veh_black_coach
wh_main_vmp_armoury_2	1235	0	wh_main_vmp_veh_black_coach
wh_main_vmp_necromancers_1	1236	0	wh_dlc04_vmp_veh_mortis_engine_0
wh_main_vmp_vampires_1	1237	0	wh_dlc02_vmp_cav_blood_knights_0
wh2_main_vmp_wraiths_1	1238	0	wh_main_vmp_inf_cairn_wraiths
wh2_main_vmp_wraiths_2	1239	0	wh_main_vmp_inf_cairn_wraiths
