building_units_allowed_tables
4
building	unit	unknown2	unknown3	unknown4	faction	unknown6
wh_main_brt_barracks_2	brt_macemen	0	17	0		False
wh_main_brt_barracks_3	brt_macemen	0	18	0		False
wh_main_brt_barracks_4	brt_macemen	0	19	0		False
wh_main_brt_legendary_grail_abbey	brt_tournament	0	58	0		False
wh_main_brt_farm_3	brt_crossbow	0	21	0		False
wh_dlc03_horde_beastmen_gors_4	bst_Khorngor	0	6	0		False
wh_dlc03_horde_beastmen_centigors_2	bst_Slaangor	0	3	0		False
wh_dlc03_horde_beastmen_centigors_3	bst_Slaangor	0	4	0		False
wh_dlc03_horde_beastmen_arcane_1	bst_Tzaangor	0	1	0		False
wh_dlc03_horde_beastmen_arcane_2	bst_Tzaangor	0	2	0		False
wh_dlc03_horde_beastmen_creatures_3	bst_Pestigor	0	5	0		False
wh_main_special_knights_panther_chapterhouse	emp_knights_panther	0	51	0		False
wh_main_special_nuln_gunnery_school	emp_nuln_ironsides	0	53	0		False
wh2_main_special_altdorf_imperial_palace	emp_imp_guard	0	55	0		False
wh_main_special_archecclesiatium	emp_sigmar_war	0	49	0		False
wh_main_emp_worship_2	emp_sigmar_war	0	32	0		False
wh_main_emp_worship_3	emp_sigmar_war	0	34	0		False
wh_main_emp_resource_timber_1	emp_huntsmen	0	26	0		False
wh_main_emp_resource_timber_2	emp_huntsmen	0	27	0		False
wh_main_emp_resource_timber_3	emp_huntsmen	0	28	0		False
wh_main_emp_worship_2	emp_witch_squad	0	33	0		False
wh_main_emp_worship_3	emp_witch_squad	0	35	0		False
wh_main_emp_tavern_1	emp_huntsmen	0	29	0		False
wh_main_emp_tavern_2	emp_huntsmen	0	30	0		False
wh_main_emp_tavern_3	emp_huntsmen	0	31	0		False
wh_main_special_nuln_cannon_foundry	emp_nuln_ironsides	0	52	0		False
wh_main_horde_chaos_magic_2	chs_zelot	0	45	0		False
wh_main_horde_chaos_marauders_3	chs_marauder_mutant	0	46	0		False
wh_main_horde_chaos_giants_1	chs_chaos_dragon	0	44	0		False
wh_main_dwf_engineer_1	dwf_sniper	0	23	0		False
wh_main_dwf_engineer_2	dwf_sniper	0	24	0		False
wh_main_dwf_slayer_2	dwf_giant_slayer	0	25	0		False
wh_main_special_great_slayer_shrine	dwf_giant_slayer	0	50	0		False
wh_main_dwf_barracks_4	dwf_oathsworn	0	22	0		False
wh_main_savage_military_3	grn_savage_big_great	0	48	0		False
wh_main_special_savage_orc_camp_3	grn_savage_big_great	0	54	0		False
wh_main_horde_savage_military_3	grn_savage_big_great	0	47	0		False
wh_dlc06_special_savage_orc_camp_wurrzag_3	grn_savage_big_great	0	16	0		False
wh_main_grn_military_4	grn_black_orc_shields	0	42	0		False
wh_main_grn_forest_beasts_1	grn_forest_spear	0	37	0		False
wh_main_grn_forest_beasts_2	grn_forest_spear	0	38	0		False
wh_main_grn_forest_beasts_3	grn_forest_spear	0	39	0		False
wh2_main_special_big_fort	grn_black_orc_boss	0	36	0		False
wh_main_grn_military_2	grn_nightgoblin_spearmen	0	40	0		False
wh_main_grn_military_3	grn_nightgoblin_spearmen	0	41	0		False
wh_main_grn_military_4	grn_nightgoblin_spearmen	0	43	0		False
wh_dlc06_grn_military_1_skarsnik	grn_nightgoblin_spearmen	0	12	0		False
wh_dlc06_grn_military_2_skarsnik	grn_nightgoblin_spearmen	0	13	0		False
wh_dlc06_grn_military_3_skarsnik	grn_nightgoblin_spearmen	0	14	0		False
wh_dlc06_grn_military_4_skarsnik	grn_nightgoblin_spearmen	0	15	0		False
wh_dlc06_grn_eight_peaks_3	grn_black_orc_shields	0	10	0		False
wh2_main_special_mousillon_merovech	vmp_black_grail	0	57	0		False
wh_main_vmp_vampires_1	vmp_blood_dragon	0	60	0		False
wh_main_vmp_necromancers_2	vmp_zombie_dragon	0	59	0		False
wh_main_vmp_vampires_2	vmp_blood_dragon	0	61	0		False
wh_dlc05_wef_melee_3	wef_wildwood_warden	0	8	0		False
wh_dlc05_wef_garrison_3	wef_eternal_sword	0	7	0		False
wh_dlc05_wef_agent_protection_2	wef_shadowdancer	0	9	0		False
