cai_construction_system_building_values_tables
0
unknown	unknown2	building_or_building_range_start_inclusive	building_range_end_inclusive	building_super_chain	cai_construction_system_category	cai_construction_system_category_group	unknown8	culture	unknown10	unknown11	unknown12	unknown13	unknown14	unknown15	unknown16	unknown17	unknown18	unknown19	unknown20	unknown21	unknown22	unknown23	unknown24	unknown25	unknown26	score_end_inclusive	score_or_score_start_inclusive	unknown29
		wh2_main_def_defence_major_1	wh2_main_def_defence_major_3			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	600	200	
		wh2_main_def_defence_minor_1	wh2_main_def_defence_minor_2			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	200	100	
		wh2_main_hef_defence_major_1	wh2_main_hef_defence_major_3			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	600	200	
		wh2_main_hef_defence_minor_1	wh2_main_hef_defence_minor_2			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	200	100	
		wh2_main_lzd_defence_major_1	wh2_main_lzd_defence_major_3			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	600	200	
		wh2_main_lzd_defence_minor_1	wh2_main_lzd_defence_minor_2			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	200	100	
		wh2_main_skv_defence_major_1	wh2_main_skv_defence_major_3			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	600	200	
		wh2_main_skv_defence_minor_1	wh2_main_skv_defence_minor_2			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	200	100	
		wh_dlc06_grn_garrison_1_skarsnik	wh_dlc06_grn_garrison_2_skarsnik			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	200	100	
		wh_dlc06_grn_garrison_1_wurrzag	wh_dlc06_grn_garrison_2_wurrzag			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	200	100	
		wh_dlc06_grn_walls_1_skarsnik	wh_dlc06_grn_walls_3_skarsnik			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	600	200	
		wh_dlc06_grn_walls_1_wurrzag	wh_dlc06_grn_walls_3_wurrzag			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	600	200	
		wh_main_brt_garrison_1	wh_main_brt_garrison_2			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	200	100	
		wh_main_brt_walls_1	wh_main_brt_walls_3			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	600	200	
		wh_main_dwf_garrison_1	wh_main_dwf_garrison_2			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	200	100	
		wh_main_dwf_wall_1	wh_main_dwf_wall_3			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	600	200	
		wh_main_emp_garrison_1	wh_main_emp_garrison_2			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	200	100	
		wh_main_emp_walls_1	wh_main_emp_walls_3			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	600	200	
		wh_main_grn_garrison_1	wh_main_grn_garrison_2			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	200	100	
		wh_main_grn_walls_1	wh_main_grn_walls_3			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	600	200	
		wh_main_ksl_walls_1	wh_main_ksl_walls_3			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	600	200	
		wh_main_teb_walls_1	wh_main_teb_walls_3			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	600	200	
		wh_main_vmp_garrison_1	wh_main_vmp_garrison_2			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	200	100	
		wh_main_vmp_walls_1	wh_main_vmp_walls_3			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	600	200	
		wh2_main_hef_smith_1	wh2_main_hef_smith_2			cai_military_group				-1	-1	0	0	0	0	0	0	0	0	250	250	250	250	0	0	360	180	
		wh2_main_lzd_smith_1	wh2_main_lzd_smith_1			cai_military_group				-1	-1	0	0	0	0	0	0	0	0	190	190	190	190	0	0	180	180	
		wh2_main_skv_engineers_1	wh2_main_skv_engineers_3			cai_military_group				-1	-1	0	0	0	0	0	0	0	0	200	160	150	120	50	40	250	180	
		wh_main_vmp_forest_1	wh_main_vmp_forest_3			cai_military_group				-1	-1	0	0	0	0	0	0	0	0	200	160	200	160	0	0	180	60	
