campaign_post_battle_captive_options_tables
4
unknown0	unknown1	unknown2	unknown3	unknown4	unknown5
wh2_main_captive_option_enslave_dark_elves	enslave		5	icon_captive_options_DEF_enslave.png	
wh2_main_captive_option_enslave_high_elves	enslave		5	icon_enslave.png	
wh2_main_captive_option_enslave_high_elves_to_high_elves	enslave		5	icon_enslave.png	
wh2_main_captive_option_enslave_lizardmen	enslave		5	icon_enslave.png	
wh2_main_captive_option_enslave_lizardmen_to_lizardmen	enslave		5	icon_enslave.png	
wh2_main_captive_option_enslave_skaven	enslave		5	icon_skv_consume.png	
wh_captive_option_enslave_bretonnia	enslave		1	icon_enslave.png	
wh_captive_option_enslave_chaos	enslave		1	icon_enslave.png	
wh_captive_option_enslave_dwarfs	enslave		1	icon_enslave.png	
wh_captive_option_enslave_greenskins	enslave		1	icon_grn_eat.png	
wh_captive_option_enslave_humans	enslave		1	icon_enslave.png	
wh_captive_option_enslave_vampire_counts	enslave		1	icon_dominate.png	
wh_dlc03_captive_option_enslave_beastmen	enslave		1	icon_bst_devour.png	
wh_dlc05_captive_option_enslave_wood_elves	enslave		1	icon_dominate.png	
wh2_main_captive_option_kill_dark_elves	kill	wh2_main_bundle_captives_kill_dark_elves	5	icon_kill.png	
wh2_main_captive_option_kill_high_elves	kill	wh2_main_bundle_captives_kill_high_elves	1	icon_kill.png	
wh2_main_captive_option_kill_lizardmen	kill	wh2_main_bundle_captives_kill_lizardmen	5	icon_liz_sacrifice_to_sotek.png	
wh2_main_captive_option_kill_lizardmen_to_skaven	kill	wh2_main_bundle_captives_kill_lizardmen_to_skaven	5	icon_liz_sacrifice_to_sotek.png	
wh2_main_captive_option_kill_skaven	kill	wh2_main_bundle_captives_kill_skaven	5	icon_enslave.png	wh2_main_resource_cost_skv_eat_captives_food
wh_captive_option_kill_bretonnia	kill	wh_main_bundle_captives_kill_bretonnia	5	icon_kill.png	
wh_captive_option_kill_chaos	kill	wh_main_bundle_captives_kill_chaos	5	icon_kill.png	
wh_captive_option_kill_dwarfs	kill	wh_main_bundle_captives_kill_dwarfs	5	icon_kill.png	
wh_captive_option_kill_greenskins	kill	wh_main_bundle_captives_kill_greenskins	5	icon_grn_slaughter.png	
wh_captive_option_kill_humans	kill	wh_main_bundle_captives_kill_humans	5	icon_kill.png	
wh_captive_option_kill_vampire_counts	kill	wh_main_bundle_captives_kill_vampire_counts	5	icon_kill.png	
wh_dlc03_captive_option_kill_beastmen	kill	wh_main_bundle_captives_kill_chaos	5	icon_kill.png	
wh_dlc05_captive_option_kill_wood_elves	kill	wh_dlc05_bundle_captives_kill_wood_elves	5	icon_kill.png	
wh2_main_captive_option_release_dark_elves	release	wh2_main_bundle_captives_release_dark_elves	5	icon_def_torture_ransom.png	
wh2_main_captive_option_release_high_elves	release	wh2_main_bundle_captives_release_high_elves	5	icon_ransom.png	
wh2_main_captive_option_release_lizardmen	release	wh2_main_bundle_captives_release_lizardmen	5	icon_release_captives.png	
wh2_main_captive_option_release_skaven	release	wh2_main_bundle_captives_release_skaven	5	icon_ransom.png	
wh2_main_captive_option_release_skaven_to_skaven	release	wh2_main_bundle_captives_release_skaven	5	icon_ransom.png	
wh_captive_option_release_bretonnia	release	wh_main_bundle_captives_release_bretonnia	0	icon_ransom.png	
wh_captive_option_release_chaos	release		1	icon_chs_ransom.png	
wh_captive_option_release_dwarfs	release	wh_main_bundle_captives_release_dwarfs	1	icon_release_captives.png	
wh_captive_option_release_greenskins	release		1	icon_ransom.png	
wh_captive_option_release_humans	release	wh_main_bundle_captives_release_humans	1	icon_ransom.png	
wh_captive_option_release_vampire_counts	release	wh_main_bundle_captives_release_vampire_counts	1	icon_vmp_ransom.png	
wh_dlc03_captive_option_release_beastmen	release		1	icon_chs_ransom.png	
wh_dlc05_captive_option_release_wood_elves	release		1	icon_ransom.png	
