campaign_variables_tables
0
variable_key	value
autoresolver_battle_tower_base_kps	0.55
unit_minimum_strength	0.1
autoresolver_unit_wipe_out_threshold	0.1
autoresolver_battle_tower_level_1_damage_multiplier	1
autoresolver_battle_tower_level_2_damage_multiplier	1.1
autoresolver_battle_tower_level_3_damage_multiplier	1.2
autoresolver_battle_tower_level_4_damage_multiplier	1.3
autoresolver_damage_transfer_min_health_remaining	0.2
autoresolver_damage_transfer_max_diff_from_average_after_transfer	0.3
autoresolver_damage_transfer_diff_from_average_to_transfer	-0.1
autoresolver_unit_base_retreat_threshold	0.2
autoresolver_battle_excess_melee_damage_multiplier	0.75
autoresolver_damage_transfer_enabled	1
autoresolver_chase_down_damage_multiplier	0.33
autoresolver_chase_down_loser_modifier	0.33
autoresolver_battle_missile_range_modifier_used_in_ranged_combat	0.65
autoresolver_battle_excess_melee_damage_received_from_target_multiplier	0.2
autoresolver_battle_excess_melee_damage_received_from_single_entity_target_multiplier	0.15
