campaign_variables_tables
0
variable_key	value
siege_attrition_resistance_turns_base	3
enslave_captives_hitpoints_replenished_per_man_captured	30
enslave_captives_maximum_replenishment_difference_scale	2
enslave_captives_maximum_replenishment_percentage_ai_vs_easy	20
enslave_captives_maximum_replenishment_percentage_ai_vs_hard	20
enslave_captives_maximum_replenishment_percentage_ai_vs_legendary	20
enslave_captives_maximum_replenishment_percentage_ai_vs_normal	20
enslave_captives_maximum_replenishment_percentage_ai_vs_very_hard	20
enslave_captives_maximum_replenishment_percentage_human_easy	20
enslave_captives_maximum_replenishment_percentage_human_hard	20
enslave_captives_maximum_replenishment_percentage_human_legendary	20
enslave_captives_maximum_replenishment_percentage_human_normal	20
enslave_captives_maximum_replenishment_percentage_human_very_hard	20
enslave_captives_minimum_replenishment_percentage_ai_vs_easy	5
enslave_captives_minimum_replenishment_percentage_ai_vs_hard	5
enslave_captives_minimum_replenishment_percentage_ai_vs_legendary	5
enslave_captives_minimum_replenishment_percentage_ai_vs_normal	5
enslave_captives_minimum_replenishment_percentage_ai_vs_very_hard	5
enslave_captives_minimum_replenishment_percentage_human_easy	5
enslave_captives_minimum_replenishment_percentage_human_hard	5
enslave_captives_minimum_replenishment_percentage_human_legendary	5
enslave_captives_minimum_replenishment_percentage_human_normal	5
enslave_captives_minimum_replenishment_percentage_human_very_hard	5
enslave_captives_replenishment_percentage_ai_vs_easy	100
enslave_captives_replenishment_percentage_ai_vs_hard	100
enslave_captives_replenishment_percentage_ai_vs_legendary	100
enslave_captives_replenishment_percentage_ai_vs_normal	100
enslave_captives_replenishment_percentage_ai_vs_very_hard	100
enslave_captives_replenishment_percentage_human_easy	100
enslave_captives_replenishment_percentage_human_hard	100
enslave_captives_replenishment_percentage_human_legendary	100
enslave_captives_replenishment_percentage_human_normal	100
enslave_captives_replenishment_percentage_human_very_hard	100
enslave_captives_slaves_gained_multiplier	1
