cdir_events_dilemma_choice_details_tables
0
choice_key	dilemma_key
FIRST	zar_sk_dilemma_ratcatchers
SECOND	zar_sk_dilemma_ratcatchers
FIRST	zar_sk_dilemma_trade_for_food
SECOND	zar_sk_dilemma_trade_for_food
FIRST	zar_sk_dilemma_furry_thieves
SECOND	zar_sk_dilemma_furry_thieves
FIRST	zar_sk_dilemma_false_prophet
SECOND	zar_sk_dilemma_false_prophet
FIRST	zar_sk_dilemma_skaven_raid_1
SECOND	zar_sk_dilemma_skaven_raid_1
FIRST	zar_sk_dilemma_skaven_raid_2
SECOND	zar_sk_dilemma_skaven_raid_2
FIRST	zar_sk_dilemma_sewer_patrols
SECOND	zar_sk_dilemma_sewer_patrols
FIRST	zar_sk_dilemma_sewer_patrols_emp
SECOND	zar_sk_dilemma_sewer_patrols_emp
FIRST	zar_sk_dilemma_skaven_raid_3
SECOND	zar_sk_dilemma_skaven_raid_3
FIRST	zar_sk_dilemma_skaven_raid_1p
SECOND	zar_sk_dilemma_skaven_raid_1p
FIRST	zar_sk_dilemma_skaven_raid_2p
SECOND	zar_sk_dilemma_skaven_raid_2p
FIRST	zar_sk_dilemma_skaven_raid_3p
SECOND	zar_sk_dilemma_skaven_raid_3p
FIRST	zar_sk_dilemma_retake_skavenblight
SECOND	zar_sk_dilemma_retake_skavenblight
