cdir_events_dilemma_option_junctions_tables
2
dilemma_key	id	unknown3	option_key	value
wh_twh_emp_rule_dilemma	60001	0	VAR_CHANCE	100
wh_twh_emp_rule_dilemma	60002	0	GEN_TARGET_NONE	
wh_twh_emp_rule_dilemma	60003	0	CND_FACTION	wh_main_emp_empire
wh_twh_emp_rule_dilemma	60004	0	CND_FIRST_ROUND	4
wh_twh_emp_rule_dilemma	60005	0	CND_ROUNDS_UNTIL_NEXT	30
wh_twh_emp_marienburg	60011	0	VAR_CHANCE	100
wh_twh_emp_marienburg	60012	0	GEN_TARGET_FACTION	
wh_twh_emp_marienburg	60014	0	CND_FACTION	wh_main_emp_empire
wh_twh_emp_marienburg	60015	0	CND_FIRST_ROUND	6
wh_twh_emp_marienburg	60016	0	CND_NEUTRAL_WITH	wh_main_emp_marienburg
wh_twh_emp_marienburg	60017	0	GEN_CND_FACTION	wh_main_emp_marienburg
wh_twh_emp_marienburg	60018	0	GEN_CND_DIPLOMACY_AVAILABLE	
wh_twh_emp_marienburg	60020	0	CND_ROUNDS_UNTIL_NEXT	30
wh_twh_dilemma_beer_for_the_fish	60031	0	VAR_CHANCE	10
wh_twh_dilemma_beer_for_the_fish	60032	0	CND_UNIQUE	
wh_twh_dilemma_beer_for_the_fish	60034	0	CND_FACTION	wh_main_emp_empire
wh_twh_dilemma_beer_for_the_fish	60035	0	CND_FIRST_ROUND	20
wh_twh_dilemma_beer_for_the_fish	60036	0	CND_MIN_TRADE	1
wh_twh_dilemma_beer_for_the_fish	60037	0	GEN_CND_SUBCULTURE	wh_main_sc_dwf_dwarfs
wh_twh_dilemma_beer_for_the_fish	60038	0	CND_MIN_TREASURY	1000
wh_twh_dilemma_beer_for_the_fish	60039	0	GEN_CND_DIPLOMACY_AVAILABLE	
wh_twh_dilemma_witchhunters	60051	0	VAR_CHANCE	10
wh_twh_dilemma_witchhunters	60052	0	GEN_TARGET_NONE	
wh_twh_dilemma_witchhunters	60054	0	CND_FACTION	wh_main_emp_empire
wh_twh_dilemma_witchhunters	60055	0	CND_FIRST_ROUND	40
wh_twh_dilemma_witchhunters	60056	0	CND_ROUNDS_UNTIL_NEXT	40
wh_twh_dilemma_witchhunters	60058	0	CND_MIN_TREASURY	1000
wh_twh_dilemma_beer_for_the_fish	60033	0	GEN_TARGET_FACTION	
wh_twh_dilemma_mordheim	60070	0	VAR_CHANCE	10
wh_twh_dilemma_mordheim	60071	0	GEN_CND_OWNS	
wh_twh_dilemma_mordheim	60072	0	GEN_TARGET_REGION	
wh_twh_dilemma_mordheim	60074	0	GEN_CND_NOT_SUBCULTURE	wh_dlc05_sc_wef_wood_elves
wh_twh_dilemma_mordheim	60075	0	CND_FIRST_ROUND	20
wh_twh_dilemma_mordheim	60076	0	CND_ROUNDS_UNTIL_NEXT	40
wh_twh_dilemma_mordheim	60078	0	GEN_CND_REGION	wh_main_ostermark_essen
wh_twh_dilemma_taxes	60081	0	VAR_CHANCE	100
wh_twh_dilemma_taxes	60082	0	GEN_TARGET_NONE	
wh_twh_dilemma_taxes	60083	0	CND_FACTION	wh_main_emp_empire
wh_twh_dilemma_taxes	60084	0	CND_FIRST_ROUND	10
wh_twh_dilemma_taxes	60085	0	CND_ROUNDS_UNTIL_NEXT	20
wh_twh_dilemma_taxes	60090	0	CND_FACTION	wh_main_brt_bretonnia
wh_twh_dilemma_taxes	60091	0	CND_FACTION	wh_main_brt_bordeleaux
wh_twh_dilemma_taxes	60092	0	CND_FACTION	wh_main_brt_carcassonne
wh_twh_dilemma_taxes	60094	0	CND_FACTION	wh_main_dwf_dwarfs
wh_twh_dilemma_taxes	60095	0	CND_FACTION	wh_main_dwf_karak_izor
