cdir_events_dilemma_payloads_tables
2
choice_key	dilemma_key	id	unknown4	payload_key	unknown6	value
FIRST	wh_twh_emp_rule_dilemma	6001	0	wh_twh_empire_rule_choice_iron_fist	True	DURATION[30];GLOBAL
THIRD	wh_twh_emp_rule_dilemma	6003	0	wh_twh_empire_rule_choice_building_up	True	DURATION[30];GLOBAL
SECOND	wh_twh_emp_rule_dilemma	6002	0	wh_twh_empire_rule_choice_religion	True	DURATION[30];GLOBAL
FOURTH	wh_twh_emp_rule_dilemma	6004	0	TEXT_DISPLAY	True	LOOKUP[dummy_do_nothing]
FIRST	wh_twh_emp_marienburg	6010	0	DIPLOMATIC_STANDING	True	AMOUNT[3]
SECOND	wh_twh_emp_marienburg	6011	0	DIPLOMATIC_STANDING	True	AMOUNT[-3]
FIRST	wh_twh_emp_marienburg	6015	0	wh_twh_empire_please_marienburg	True	DURATION[30];GLOBAL
FIRST	wh_twh_dilemma_beer_for_the_fish	6033	0	TREASURY	True	AMOUNT[-750]
SECOND	wh_twh_dilemma_beer_for_the_fish	6034	0	DIPLOMATIC_STANDING	True	AMOUNT[-2]
SECOND	wh_twh_dilemma_beer_for_the_fish	6031	0	wh_twh_payload_beer_for_the_fish_negative	True	DURATION[10]
FIRST	wh_twh_dilemma_witchhunters	6050	0	TREASURY	True	AMOUNT[-1000]
FIRST	wh_twh_dilemma_witchhunters	6052	0	wh_main_payload_untainted	True	DURATION[10]
SECOND	wh_twh_dilemma_witchhunters	6055	0	TEXT_DISPLAY	True	LOOKUP[dummy_do_nothing]
FIRST	wh_twh_dilemma_mordheim	6070	0	TARGET	True	EVENT
FIRST	wh_twh_dilemma_mordheim	6071	0	wh_twh_payload_mordheim_warpstone	True	DURATION[6]
SECOND	wh_twh_dilemma_mordheim	6072	0	TEXT_DISPLAY	True	LOOKUP[dummy_do_nothing]
FIRST	wh_twh_emp_marienburg	6016	0	TREASURY	True	AMOUNT[3000]
SECOND	wh_twh_emp_rule_dilemma	6005	0	TARGET	True	CAPITAL
SECOND	wh_twh_emp_rule_dilemma	6006	0	SPAWN_AGENT	True	AGENT[dignitary];AP_FACTOR[1.0]
FIRST	wh_twh_dilemma_taxes	60881	0	wh_twh_empire_taxes_very_high	True	DURATION[20]
THIRD	wh_twh_dilemma_taxes	60883	0	TEXT_DISPLAY	True	LOOKUP[dummy_do_nothing]
SECOND	wh_twh_dilemma_taxes	60882	0	wh_twh_empire_taxes_high	True	DURATION[20]
FOURTH	wh_twh_dilemma_taxes	60884	0	wh_twh_empire_taxes_low	True	DURATION[20]
FIRST	wh_twh_emp_kislev	6890	0	DIPLOMATIC_STANDING	True	AMOUNT[3]
SECOND	wh_twh_emp_kislev	6891	0	TEXT_DISPLAY	True	LOOKUP[dummy_do_nothing]
FIRST	wh_twh_emp_kislev	6892	0	wh_twh_payload_kislev_friendship	True	DURATION[30];GLOBAL
FIRST	wh_twh_emp_kislev	6893	0	TREASURY	True	AMOUNT[-2000]
FIRST	wh_twh_emp_pax_imperia	6900	0	TARGET	True	EVENT
SECOND	wh_twh_emp_pax_imperia	6901	0	TEXT_DISPLAY	True	LOOKUP[dummy_do_nothing]
FIRST	wh_twh_emp_pax_imperia	6902	0	wh_twh_empire_rule_choice_leader	True	DURATION[30];GLOBAL
FIRST	wh_twh_emp_pax_imperia_AI	6905	0	TARGET	True	EVENT
FIRST	wh_twh_emp_pax_imperia_AI	6907	0	wh_twh_emp_payload_pax_imperia_AI	True	DURATION[1]
FIRST	wh_twh_emp_manoeuvres	6911	0	wh_twh_emp_payload_manoeuvres_positive	True	DURATION[4]
SECOND	wh_twh_emp_manoeuvres	6912	0	TEXT_DISPLAY	True	LOOKUP[dummy_do_nothing]
FIRST	wh_twh_emp_skaven	6915	0	wh_twh_emp_payload_skaven_exist	True	DURATION[30];GLOBAL
SECOND	wh_twh_emp_skaven	6916	0	wh_twh_emp_payload_skaven_dont_exist	True	DURATION[30];GLOBAL
