cdir_events_payloads_tables
0
effect_bundle_key	payload_key
wh_twh_empire_rule_choice_iron_fist	wh_twh_empire_rule_choice_iron_fist
wh_twh_empire_rule_choice_leader	wh_twh_empire_rule_choice_leader
wh_twh_empire_rule_choice_building_up	wh_twh_empire_rule_choice_building_up
wh_twh_empire_rule_choice_religion	wh_twh_empire_rule_choice_religion
wh_twh_empire_please_marienburg	wh_twh_empire_please_marienburg
wh_twh_empire_please_nordland	wh_twh_empire_please_nordland
wh_twh_payload_beer_for_the_fish_negative	wh_twh_payload_beer_for_the_fish_negative
wh_main_payload_untainted	wh_main_payload_untainted
wh_twh_payload_mordheim_warpstone	wh_twh_payload_mordheim_warpstone
wh_twh_payload_for_sigmar	wh_twh_payload_for_sigmar
wh_twh_empire_taxes_very_high	wh_twh_empire_taxes_very_high
wh_twh_empire_taxes_high	wh_twh_empire_taxes_high
wh_twh_empire_taxes_low	wh_twh_empire_taxes_low
wh_twh_payload_refugees	wh_twh_payload_refugees
wh_twh_payload_kislev_friendship	wh_twh_payload_kislev_friendship
wh_twh_emp_payload_pax_imperia_AI	wh_twh_emp_payload_pax_imperia_AI
wh_twh_emp_payload_manoeuvres_positive	wh_twh_emp_payload_manoeuvres_positive
wh_twh_emp_payload_skaven_exist	wh_twh_emp_payload_skaven_exist
wh_twh_emp_payload_skaven_dont_exist	wh_twh_emp_payload_skaven_dont_exist
