cdir_military_generator_template_ratios_tables
0
ratio	template_key	unit_group_key
3	WH_Beastmen_land	Default_land_animal_pack
1	WH_Beastmen_land	Default_land_animal_pack_flying
5	WH_Beastmen_land	Default_land_artillery
6	WH_Beastmen_land	Default_land_cavalry_melee
6	WH_Beastmen_land	Default_land_cavalry_missile
6	WH_Beastmen_land	Default_land_cavalry_shock
1	WH_Beastmen_land	Default_land_command
3	WH_Beastmen_land	Default_land_giant
30	WH_Beastmen_land	Default_land_infantry_melee
5	WH_Beastmen_land	Default_land_infantry_missile
5	WH_Beastmen_land	Default_land_infantry_spearmen
5	WH_Beastmen_land	Default_land_magic
22	WH_Beastmen_land	Default_land_monster
1	WH_Beastmen_land	Default_land_vehicle
1	WH_Beastmen_land	Default_land_vehicle_flying
5	WH_Bretonnia_land	Default_land_artillery
5	WH_Bretonnia_land	Default_land_aura
20	WH_Bretonnia_land	Default_land_cavalry_melee
1	WH_Bretonnia_land	Default_land_command
30	WH_Bretonnia_land	Default_land_infantry_melee
14	WH_Bretonnia_land	Default_land_infantry_missile
5	WH_Bretonnia_land	Default_land_magic
10	WH_Bretonnia_land	Default_land_support
5	WH_Bretonnia_land_cav	Default_land_artillery
5	WH_Bretonnia_land_cav	Default_land_aura
30	WH_Bretonnia_land_cav	Default_land_cavalry_melee
1	WH_Bretonnia_land_cav	Default_land_command
30	WH_Bretonnia_land_cav	Default_land_infantry_melee
4	WH_Bretonnia_land_cav	Default_land_infantry_missile
5	WH_Bretonnia_land_cav	Default_land_magic
10	WH_Bretonnia_land_cav	Default_land_support
5	WH_Bretonnia_land_flying	Default_land_artillery
4	WH_Bretonnia_land_flying	Default_land_aura
10	WH_Bretonnia_land_flying	Default_land_cavalry_melee
1	WH_Bretonnia_land_flying	Default_land_command
35	WH_Bretonnia_land_flying	Default_land_infantry_melee
10	WH_Bretonnia_land_flying	Default_land_infantry_missile
5	WH_Bretonnia_land_flying	Default_land_magic
20	WH_Bretonnia_land_flying	Default_land_support
5	WH_Chaos_land	Default_land_animal_pack
5	WH_Chaos_land	Default_land_artillery
5	WH_Chaos_land	Default_land_cavalry_melee
1	WH_Chaos_land	Default_land_cavalry_missile
1	WH_Chaos_land	Default_land_command
3	WH_Chaos_land	Default_land_giant
41	WH_Chaos_land	Default_land_infantry_melee
14	WH_Chaos_land	Default_land_infantry_monterous
5	WH_Chaos_land	Default_land_magic
5	WH_Chaos_land	Default_land_monster
5	WH_Dark_Elves_land	Default_land_artillery
10	WH_Dark_Elves_land	Default_land_cavalry_melee
1	WH_Dark_Elves_land	Default_land_command
40	WH_Dark_Elves_land	Default_land_infantry_melee
19	WH_Dark_Elves_land	Default_land_infantry_missile
5	WH_Dark_Elves_land	Default_land_magic
5	WH_Dark_Elves_land	Default_land_monster
5	WH_Dark_Elves_land	Default_land_support
5	WH_Dark_Elves_land_2	Default_land_artillery
20	WH_Dark_Elves_land_2	Default_land_cavalry_melee
1	WH_Dark_Elves_land_2	Default_land_command
35	WH_Dark_Elves_land_2	Default_land_infantry_melee
14	WH_Dark_Elves_land_2	Default_land_infantry_missile
5	WH_Dark_Elves_land_2	Default_land_magic
10	WH_Dark_Elves_land_2	Default_land_monster
10	WH_Dark_Elves_land_rare	Default_land_artillery
10	WH_Dark_Elves_land_rare	Default_land_cavalry_melee
1	WH_Dark_Elves_land_rare	Default_land_command
25	WH_Dark_Elves_land_rare	Default_land_infantry_melee
9	WH_Dark_Elves_land_rare	Default_land_infantry_missile
5	WH_Dark_Elves_land_rare	Default_land_magic
10	WH_Dark_Elves_land_rare	Default_land_monster
20	WH_Dark_Elves_land_rare	Default_land_support
10	WH_Dwarfs_land	Default_land_artillery
1	WH_Dwarfs_land	Default_land_command
45	WH_Dwarfs_land	Default_land_infantry_melee
24	WH_Dwarfs_land	Default_land_infantry_missile
10	WH_Dwarfs_land	Default_land_support
10	WH_Empire_land	Default_land_artillery
15	WH_Empire_land	Default_land_cavalry_melee
1	WH_Empire_land	Default_land_command
40	WH_Empire_land	Default_land_infantry_melee
14	WH_Empire_land	Default_land_infantry_missile
5	WH_Empire_land	Default_land_magic
5	WH_Empire_land	Default_land_support
5	WH_Greenskin_Rebels_land	Default_land_artillery
12	WH_Greenskin_Rebels_land	Default_land_cavalry_melee
2	WH_Greenskin_Rebels_land	Default_land_cavalry_missile
0	WH_Greenskin_Rebels_land	Default_land_command
6	WH_Greenskin_Rebels_land	Default_land_giant
45	WH_Greenskin_Rebels_land	Default_land_infantry_melee
5	WH_Greenskin_Rebels_land	Default_land_infantry_missile
10	WH_Greenskin_Rebels_land	Default_land_infantry_monterous
5	WH_Greenskin_Rebels_land	Default_land_infantry_spearmen
5	WH_Greenskin_Rebels_land	Default_land_magic
4	WH_Greenskin_Rebels_land	Default_land_monster
1	WH_Greenskin_Rebels_land	Default_land_vehicle
5	WH_Greenskins_Waaagh_land	Default_land_artillery
8	WH_Greenskins_Waaagh_land	Default_land_cavalry_melee
2	WH_Greenskins_Waaagh_land	Default_land_cavalry_missile
0	WH_Greenskins_Waaagh_land	Default_land_command
6	WH_Greenskins_Waaagh_land	Default_land_giant
45	WH_Greenskins_Waaagh_land	Default_land_infantry_melee
5	WH_Greenskins_Waaagh_land	Default_land_infantry_missile
14	WH_Greenskins_Waaagh_land	Default_land_infantry_monterous
5	WH_Greenskins_Waaagh_land	Default_land_infantry_spearmen
5	WH_Greenskins_Waaagh_land	Default_land_magic
4	WH_Greenskins_Waaagh_land	Default_land_monster
1	WH_Greenskins_Waaagh_land	Default_land_vehicle
5	WH_Greenskins_land	Default_land_artillery
8	WH_Greenskins_land	Default_land_cavalry_melee
2	WH_Greenskins_land	Default_land_cavalry_missile
1	WH_Greenskins_land	Default_land_command
8	WH_Greenskins_land	Default_land_giant
35	WH_Greenskins_land	Default_land_infantry_melee
5	WH_Greenskins_land	Default_land_infantry_missile
10	WH_Greenskins_land	Default_land_infantry_monterous
5	WH_Greenskins_land	Default_land_infantry_spearmen
5	WH_Greenskins_land	Default_land_magic
5	WH_Greenskins_land	Default_land_monster
1	WH_Greenskins_land	Default_land_vehicle
5	WH_High_Elves_land	Default_land_artillery
15	WH_High_Elves_land	Default_land_cavalry_melee
2	WH_High_Elves_land	Default_land_cavalry_missile
1	WH_High_Elves_land	Default_land_command
5	WH_High_Elves_land	Default_land_flying
3	WH_High_Elves_land	Default_land_flying_heavy
35	WH_High_Elves_land	Default_land_infantry_melee
19	WH_High_Elves_land	Default_land_infantry_missile
5	WH_High_Elves_land	Default_land_magic
5	WH_High_Elves_land_2	Default_land_artillery
