cdir_military_generator_unit_qualities_tables
1
group_key	quality	unit_key
Default_land_infantry_melee	5	brt_macemen
Default_land_infantry_missile	5	brt_crossbow
elite	100	brt_tournament
Default_land_infantry_melee	10	bst_Pestigor
Default_land_infantry_melee	10	bst_Khorngor
Default_land_infantry_melee	10	bst_Slaangor
Default_land_infantry_melee	10	bst_Tzaangor
Default_land_monster	5	wh_dlc03_bst_feral_manticore
Default_land_support	5	chs_zelot
elite	5	chs_marauder_mutant
elite	10	chs_chaos_dragon
elite	10	dwf_oathsworn
elite	10	dwf_giant_slayer
Default_land_support	10	dwf_sniper
elite	100	emp_imp_guard
Default_land_infantry_missile	5	emp_huntsmen
Default_land_support	10	emp_sigmar_war
elite	5	emp_witch_squad
elite	5	emp_nuln_ironsides
Default_land_cavalry_melee	10	emp_knights_panther
elite	10	grn_black_orc_shields
elite	100	grn_black_orc_boss
Default_land_infantry_melee	1	grn_forest_spear
Default_land_infantry_melee_low_quality	1	grn_nightgoblin_spearmen
Default_dlc06_land_infantry_melee_skarsnik_waaagh	1	grn_nightgoblin_spearmen
Default_dlc06_land_infantry_monterous_skarsnik_waaagh	10	grn_savage_big_great
elite	10	grn_savage_big_great
elite	100	vmp_black_grail
elite	5	vmp_blood_dragon
elite	10	vmp_zombie_dragon
elite	100	wef_shadowdancer
elite	10	wef_eternal_sword
elite	10	wef_wildwood_warden
